Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
3.5	20.5	77.9362152680191	29.79751690179729	0.0367	0.0464	0.067	0.0576	0.0966	0.1961	0.232	0.2306	0.2459	0.2765	0.1623	0.0919	-0.17383556	0.6002776
4.5	20.5	77.93630750771386	29.79751690179729	0.0367	0.044	0.0736	0.0566	0.0966	0.1961	0.232	0.2325	0.2459	0.2765	0.1623	0.0919	-0.17781153	0.60844
5.5	20.5	77.93639974740864	29.79751690179729	0.0356	0.0454	0.0692	0.0579	0.0965	0.1985	0.2347	0.2349	0.2473	0.2532	0.1631	0.0921	-0.180402	0.6045082
6.5	20.5	77.93649198710342	29.79751690179729	0.0356	0.0458	0.07	0.0583	0.0965	0.1985	0.2347	0.2332	0.2473	0.2532	0.1631	0.0921	-0.17688619	0.6
7.5	20.5	77.9365842267982	29.79751690179729	0.0351	0.042	0.0683	0.0588	0.0932	0.1957	0.2334	0.232	0.2492	0.2532	0.1616	0.0931	-0.1788618	0.59559834
8.5	20.5	77.93667646649297	29.79751690179729	0.0351	0.041	0.0662	0.0582	0.0932	0.1957	0.2334	0.2288	0.2492	0.2532	0.1616	0.0931	-0.17213117	0.5944251
9.5	20.5	77.93676870618775	29.79751690179729	0.0357	0.0414	0.0676	0.0558	0.0915	0.1952	0.2338	0.2314	0.2483	0.2532	0.1593	0.0891	-0.18454057	0.61142063
10.5	20.5	77.93686094588253	29.79751690179729	0.0357	0.0441	0.0689	0.0556	0.0915	0.1952	0.2338	0.2315	0.2483	0.2532	0.1593	0.0891	-0.18474923	0.6126785
11.5	20.5	77.93695318557731	29.79751690179729	0.0357	0.0441	0.0689	0.0556	0.0915	0.1952	0.2338	0.2315	0.2483	0.2532	0.1593	0.0891	-0.18474923	0.6126785
12.5	20.5	77.93704542527207	29.79751690179729	0.0368	0.0415	0.0672	0.0534	0.0919	0.206	0.2469	0.2403	0.2592	0.2769	0.1532	0.0854	-0.22134688	0.6363636
13.5	20.5	77.93713766496685	29.79751690179729	0.0368	0.0402	0.0662	0.053	0.0919	0.206	0.2469	0.2509	0.2592	0.2769	0.1532	0.0854	-0.24177183	0.65120107
14.5	20.5	77.93722990466163	29.79751690179729	0.038	0.0447	0.0647	0.0528	0.0994	0.2204	0.2642	0.255	0.2838	0.2769	0.1564	0.0866	-0.23966943	0.6569201
15.5	20.5	77.93732214435641	29.79751690179729	0.038	0.044	0.0673	0.0566	0.0994	0.2204	0.2642	0.26	0.2838	0.2769	0.1564	0.0866	-0.24879923	0.64245105
16.5	20.5	77.93741438405118	29.79751690179729	0.0386	0.0495	0.0742	0.0592	0.1023	0.2256	0.2676	0.2612	0.2837	0.2769	0.1637	0.0912	-0.22946578	0.63046193
17.5	20.5	77.93750662374596	29.79751690179729	0.0386	0.0482	0.071	0.0604	0.1023	0.2256	0.2676	0.2539	0.2837	0.2769	0.1637	0.0912	-0.21599616	0.6156538
18.5	20.5	77.93759886344074	29.79751690179729	0.0389	0.0457	0.0732	0.0632	0.1071	0.2122	0.2465	0.25	0.2683	0.2609	0.1678	0.1004	-0.19674487	0.59642404
19.5	20.5	77.93769110313552	29.79751690179729	0.0389	0.0479	0.0794	0.0723	0.1071	0.2122	0.2465	0.229	0.2683	0.2609	0.1678	0.1004	-0.15423389	0.5200797
