Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
35.5	26.5	77.86297695036657	29.82657240565188	0.0794	0.1324	0.157	0.1582	0.1868	0.213	0.2204	0.2498	0.2424	0.2521	0.2298	0.1928	0.040201787	0.2245098	-0.04170141	-0.2281219
36.5	26.5	77.86306919006134	29.82657240565188	0.0794	0.1302	0.1558	0.169	0.1868	0.213	0.2204	0.2395	0.2424	0.2521	0.2298	0.1928	0.044306587	0.17258263	-0.020669082	-0.21173792
37.5	26.5	77.86316142975612	29.82657240565188	0.0745	0.1364	0.1662	0.1706	0.1929	0.2375	0.254	0.251	0.2656	0.2521	0.2385	0.1872	0.042790387	0.19070207	-0.025536237	-0.20325981
38.5	26.5	77.8632536694509	29.82657240565188	0.0745	0.1192	0.1504	0.1594	0.1929	0.2375	0.254	0.2762	0.2656	0.2521	0.2385	0.1872	0.014247941	0.2681359	-0.073246546	-0.29488984
39.5	26.5	77.86334590914568	29.82657240565188	0.0655	0.0564	0.0892	0.0804	0.1283	0.2499	0.2817	0.298	0.3002	0.2887	0.2151	0.1397	-0.049700122	0.57505286	-0.16156694	-0.5392562
40.5	26.5	77.86343814884044	29.82657240565188	0.0655	0.0564	0.0892	0.0804	0.1283	0.2499	0.2817	0.298	0.3002	0.2887	0.2151	0.1397	-0.049700122	0.57505286	-0.16156694	-0.5392562
41.5	26.5	77.86353038853522	29.82657240565188	0.0655	0.0578	0.0828	0.0758	0.1283	0.2499	0.2817	0.2943	0.3002	0.2887	0.2151	0.1397	-0.046431284	0.59038097	-0.155477	-0.56085914
42.5	26.5	77.86362262823	29.82657240565188	0.0574	0.0574	0.0786	0.0656	0.112	0.2347	0.2789	0.2712	0.2962	0.2887	0.1852	0.103	-0.03351112	0.6104513	-0.18843119	-0.55060035
43.5	26.5	77.86371486792478	29.82657240565188	0.0574	0.0508	0.077	0.0647	0.112	0.2347	0.2789	0.2721	0.2962	0.2887	0.1852	0.103	-0.03943399	0.61579573	-0.19002841	-0.55886567
44.5	26.5	77.86380710761955	29.82657240565188	0.052	0.0492	0.0776	0.0656	0.1098	0.2327	0.2776	0.2805	0.2974	0.2887	0.176	0.095	-0.045562107	0.6209188	-0.22891566	-0.5666015
45.5	26.5	77.86389934731433	29.82657240565188	0.052	0.0518	0.0756	0.0634	0.1098	0.2327	0.2776	0.2812	0.2974	0.2887	0.176	0.095	-0.043833636	0.63203716	-0.23009622	-0.5762332
46.5	26.5	77.86399158700911	29.82657240565188	0.0475	0.0525	0.0744	0.0633	0.1056	0.2298	0.2709	0.2746	0.2919	0.2723	0.1757	0.096	-0.039475102	0.62533295	-0.21963137	-0.573639
47.5	26.5	77.86408382670389	29.82657240565188	0.0475	0.0499	0.0768	0.0643	0.1056	0.2298	0.2709	0.2608	0.2919	0.2723	0.1757	0.096	-0.033690725	0.6044294	-0.19495994	-0.5450237
48.5	26.5	77.86417606639866	29.82657240565188	0.045	0.048	0.0758	0.0623	0.1071	0.2288	0.2643	0.2504	0.2846	0.2723	0.1825	0.1058	-0.029282803	0.601535	-0.15684916	-0.5352544
49.5	26.5	77.86426830609344	29.82657240565188	0.045	0.048	0.0758	0.0623	0.1071	0.2288	0.2643	0.2504	0.2846	0.2723	0.1825	0.1058	-0.029282803	0.601535	-0.15684916	-0.5352544
50.5	26.5	77.86436054578822	29.82657240565188	0.045	0.0501	0.0755	0.0616	0.1071	0.2288	0.2643	0.267	0.2846	0.2723	0.1825	0.1058	-0.037082575	0.62507606	-0.18798663	-0.5591241
51.5	26.5	77.864452785483	29.82657240565188	0.0446	0.0493	0.0784	0.0711	0.1093	0.2172	0.2564	0.2598	0.2763	0.2723	0.189	0.115	-0.03360873	0.5702629	-0.157754	-0.53636897
52.5	26.5	77.86454502517776	29.82657240565188	0.0446	0.052	0.0789	0.0723	0.1093	0.2172	0.2564	0.2534	0.2763	0.2723	0.189	0.115	-0.027726498	0.55603313	-0.14556962	-0.5251279
53.5	26.5	77.86463726487254	29.82657240565188	0.0463	0.049	0.0769	0.0648	0.107	0.2211	0.2593	0.2641	0.2796	0.2696	0.1768	0.1045	-0.03632054	0.60595924	-0.19800407	-0.5489736
54.5	26.5	77.86472950456732	29.82657240565188	0.0463	0.0487	0.0769	0.0625	0.107	0.2211	0.2593	0.2559	0.2796	0.2696	0.1768	0.1045	-0.031863607	0.60741204	-0.18280564	-0.5378606
55.5	26.5	77.8648217442621	29.82657240565188	0.0473	0.05	0.0748	0.0625	0.1032	0.2124	0.2485	0.2522	0.2766	0.2696	0.1763	0.0947	-0.028676704	0.6027963	-0.17712952	-0.54250765
56.5	26.5	77.86491398395687	29.82657240565188	0.0473	0.0466	0.075	0.0623	0.1032	0.2124	0.2485	0.252	0.2766	0.2696	0.1763	0.0947	-0.031347282	0.6035635	-0.17674527	-0.5412844
57.5	26.5	77.86500622365165	29.82657240565188	0.0473	0.0504	0.0753	0.0621	0.0981	0.2096	0.2422	0.2424	0.2632	0.2696	0.1783	0.1083	-0.022728723	0.5921182	-0.15236513	-0.5259679
58.5	26.5	77.86509846334643	29.82657240565188	0.0473	0.0482	0.0691	0.0625	0.0981	0.2096	0.2422	0.229	0.2632	0.2696	0.1783	0.1083	-0.01684606	0.57118356	-0.124478295	-0.53639716
59.5	26.5	77.86519070304121	29.82657240565188	0.0473	0.0482	0.0691	0.0625	0.0981	0.2096	0.2422	0.229	0.2632	0.2696	0.1783	0.1083	-0.01684606	0.57118356	-0.124478295	-0.53639716
60.5	26.5	77.86528294273597	29.82657240565188	0.047	0.0427	0.067	0.0588	0.1201	0.2175	0.2432	0.2452	0.264	0.2769	0.199	0.1343	-0.030642357	0.61315787	-0.104007185	-0.57078797
61.5	26.5	77.86537518243075	29.82657240565188	0.047	0.0566	0.0794	0.0809	0.1201	0.2175	0.2432	0.2622	0.264	0.2769	0.199	0.1343	-0.029004978	0.52841735	-0.13703382	-0.5351288
62.5	26.5	77.86546742212553	29.82657240565188	0.0472	0.0698	0.0973	0.0963	0.1263	0.2396	0.2796	0.2546	0.2824	0.2769	0.2121	0.1518	-0.013832936	0.45112565	-0.0910649	-0.44700196
63.5	26.5	77.86555966182031	29.82657240565188	0.0472	0.0691	0.0914	0.0828	0.1263	0.2396	0.2796	0.2508	0.2824	0.2769	0.2121	0.1518	-0.012227088	0.50359714	-0.0836034	-0.4658095
64.5	26.5	77.86565190151508	29.82657240565188	0.0491	0.0648	0.0912	0.0874	0.1154	0.2278	0.2642	0.2688	0.2799	0.2769	0.2092	0.1383	-0.026072633	0.50926447	-0.12468619	-0.4933333
65.5	26.5	77.86574414120986	29.82657240565188	0.0491	0.0582	0.0853	0.0755	0.1154	0.2278	0.2642	0.2579	0.2799	0.2769	0.2092	0.1383	-0.025228208	0.5470906	-0.10426034	-0.5029138
66.5	26.5	77.86583638090464	29.82657240565188	0.0519	0.0494	0.0718	0.0668	0.1248	0.2253	0.2587	0.2456	0.2732	0.289	0.2207	0.1392	-0.025383119	0.5723432	-0.05339911	-0.54757404
67.5	26.5	77.86592862059942	29.82657240565188	0.0519	0.062	0.0874	0.0806	0.1248	0.2253	0.2587	0.2596	0.2732	0.289	0.2207	0.1392	-0.023090208	0.5261611	-0.08099108	-0.49625364
68.5	26.5	77.86602086029419	29.82657240565188	0.0519	0.062	0.0874	0.0806	0.1248	0.2253	0.2587	0.2596	0.2732	0.289	0.2207	0.1392	-0.023090208	0.5261611	-0.08099108	-0.49625364
69.5	26.5	77.86611309998897	29.82657240565188	0.0541	0.0605	0.0937	0.0983	0.1282	0.2638	0.3143	0.31	0.3334	0.289	0.2391	0.1549	-0.0532234	0.5184913	-0.1291204	-0.5357939
70.5	26.5	77.86620533968375	29.82657240565188	0.0541	0.0522	0.0822	0.0614	0.1282	0.2638	0.3143	0.35	0.3334	0.289	0.2391	0.1549	-0.08296276	0.70150703	-0.18825327	-0.61962056
71.5	26.5	77.86629757937853	29.82657240565188	0.0549	0.0574	0.0867	0.0752	0.1412	0.262	0.3036	0.3328	0.3153	0.289	0.2435	0.1546	-0.06883872	0.6313726	-0.15495403	-0.5866508
72.5	26.5	77.8663898190733	29.82657240565188	0.0549	0.0712	0.1042	0.1048	0.1412	0.262	0.3036	0.2884	0.3153	0.289	0.2435	0.1546	-0.032070357	0.46693793	-0.08441436	-0.46917984
73.5	26.5	77.86648205876807	29.82657240565188	0.0552	0.0726	0.1068	0.1088	0.1481	0.2364	0.2656	0.3018	0.2968	0.2931	0.2441	0.1743	-0.038608387	0.47004384	-0.10569703	-0.47723937
74.5	26.5	77.86657429846285	29.82657240565188	0.0552	0.0614	0.0941	0.081	0.1481	0.2364	0.2656	0.303	0.2968	0.2931	0.2441	0.1743	-0.048471622	0.578125	-0.10765856	-0.526064
75.5	26.5	77.86666653815763	29.82657240565188	0.0554	0.0518	0.0797	0.0705	0.1308	0.2392	0.2731	0.267	0.3029	0.2931	0.2127	0.1336	-0.03568993	0.5822222	-0.11319574	-0.5402365
76.5	26.5	77.86675877785241	29.82657240565188	0.0554	0.0498	0.0788	0.0686	0.1308	0.2392	0.2731	0.2698	0.3029	0.2931	0.2127	0.1336	-0.038934145	0.59456265	-0.118342	-0.5479059
77.5	26.5	77.86685101754718	29.82657240565188	0.0554	0.0498	0.0788	0.0686	0.1308	0.2392	0.2731	0.2698	0.3029	0.2931	0.2127	0.1336	-0.038934145	0.59456265	-0.118342	-0.5479059
78.5	26.5	77.86694325724196	29.82657240565188	0.0557	0.05	0.0817	0.0747	0.1353	0.2483	0.288	0.2814	0.3187	0.2931	0.2043	0.1171	-0.045422897	0.58045495	-0.15873995	-0.54998624
79.5	26.5	77.86703549693674	29.82657240565188	0.0557	0.0526	0.0792	0.0718	0.1353	0.2483	0.288	0.2894	0.3187	0.2931	0.2043	0.1171	-0.047880985	0.6024363	-0.17237191	-0.5702659
80.5	26.5	77.86712773663152	29.82657240565188	0.0563	0.0554	0.0813	0.0684	0.1281	0.2572	0.3031	0.3006	0.3277	0.3082	0.195	0.1096	-0.052010417	0.6292683	-0.21307507	-0.57423407
81.5	26.5	77.86721997632628	29.82657240565188	0.0563	0.053	0.084	0.0696	0.1281	0.2572	0.3031	0.3041	0.3277	0.3082	0.195	0.1096	-0.055983756	0.6275087	-0.2185935	-0.56712186
82.5	26.5	77.86731221602106	29.82657240565188	0.0573	0.0557	0.084	0.0708	0.1176	0.2595	0.3014	0.3021	0.323	0.3082	0.189	0.1069	-0.05262491	0.62027353	-0.23029934	-0.5648796
83.5	26.5	77.86740445571584	29.82657240565188	0.0573	0.056	0.0861	0.071	0.1176	0.2595	0.3014	0.3001	0.323	0.3082	0.189	0.1069	-0.051232148	0.6173538	-0.22715192	-0.554117
84.5	26.5	77.86749669541062	29.82657240565188	0.0616	0.0542	0.0839	0.0696	0.1071	0.2406	0.2784	0.3018	0.297	0.3082	0.1849	0.114	-0.053681668	0.62520194	-0.24018905	-0.5649469
85.5	26.5	77.86758893510539	29.82657240565188	0.0616	0.0497	0.0792	0.0612	0.1071	0.2406	0.2784	0.2502	0.297	0.3082	0.1849	0.114	-0.027775463	0.6069364	-0.15008044	-0.5191257
86.5	26.5	77.86768117480017	29.82657240565188	0.0616	0.0497	0.0792	0.0612	0.1071	0.2406	0.2784	0.2502	0.297	0.3082	0.1849	0.114	-0.027775463	0.6069364	-0.15008044	-0.5191257
87.5	26.5	77.86777341449495	29.82657240565188	0.0664	0.0504	0.0688	0.0607	0.1453	0.2151	0.2411	0.2266	0.2558	0.2713	0.2138	0.1496	-0.013667423	0.5774452	-0.029064504	-0.53419095
88.5	26.5	77.86786565418973	29.82657240565188	0.0664	0.0672	0.0921	0.0918	0.1453	0.2151	0.2411	0.2108	0.2558	0.2713	0.2138	0.1496	0.009156434	0.39325845	0.0070654526	-0.39187852
89.5	26.5	77.8679578938845	29.82657240565188	0.0614	0.0828	0.1011	0.1048	0.1214	0.1923	0.2166	0.2099	0.2405	0.2713	0.2073	0.1605	0.022452107	0.33396888	-0.0062320214	-0.34983924
90.5	26.5	77.86805013357927	29.82657240565188	0.0614	0.0858	0.1118	0.121	0.1214	0.1923	0.2166	0.2207	0.2405	0.2713	0.2073	0.1605	0.018715912	0.29177642	-0.031308383	-0.3275188
91.5	26.5	77.86814237327405	29.82657240565188	0.0608	0.0737	0.1026	0.1106	0.1193	0.2144	0.2449	0.2338	0.26	0.2713	0.1981	0.142	0.0012907461	0.35772356	-0.08265801	-0.39001188
92.5	26.5	77.86823461296883	29.82657240565188	0.0608	0.0816	0.0996	0.0991	0.1193	0.2144	0.2449	0.2273	0.26	0.2713	0.1981	0.142	0.011490171	0.3927696	-0.06864128	-0.39063933
93.5	26.5	77.8683268526636	29.82657240565188	0.0585	0.066	0.0894	0.08	0.1059	0.2334	0.2743	0.2518	0.2755	0.2929	0.1669	0.1074	-0.015340101	0.5177818	-0.2027705	-0.47596717
94.5	26.5	77.86841909235838	29.82657240565188	0.0585	0.0474	0.075	0.0598	0.1059	0.2334	0.2743	0.257	0.2755	0.2929	0.1669	0.1074	-0.03355942	0.62247473	-0.21255015	-0.54819274
95.5	26.5	77.86851133205316	29.82657240565188	0.0585	0.0474	0.075	0.0598	0.1059	0.2334	0.2743	0.257	0.2755	0.2929	0.1669	0.1074	-0.03355942	0.62247473	-0.21255015	-0.54819274
96.5	26.5	77.86860357174794	29.82657240565188	0.0561	0.0351	0.0633	0.0505	0.0995	0.2541	0.2961	0.25	0.2948	0.2929	0.1572	0.0945	-0.039621077	0.6638935	-0.22789785	-0.5959145
97.5	26.5	77.8686958114427	29.82657240565188	0.0561	0.0482	0.0708	0.0616	0.0995	0.2541	0.2961	0.2626	0.2948	0.2929	0.1572	0.0945	-0.03611566	0.61998767	-0.25107196	-0.57528496
98.5	26.5	77.86878805113749	29.82657240565188	0.0546	0.0447	0.0686	0.0672	0.1055	0.2288	0.2542	0.2372	0.2808	0.2929	0.171	0.1087	-0.024415964	0.55847573	-0.1621754	-0.55134076
99.5	26.5	77.86888029083227	29.82657240565188	0.0546	0.0497	0.073	0.0652	0.1055	0.2288	0.2542	0.2141	0.2808	0.2929	0.171	0.1087	-0.0070721125	0.5331185	-0.11191898	-0.4914664
100.5	26.5	77.86897253052705	29.82657240565188	0.0531	0.0582	0.0766	0.0792	0.1124	0.2061	0.2332	0.208	0.2595	0.273	0.1828	0.1263	0.0033894388	0.44846797	-0.064483136	-0.46170065
101.5	26.5	77.86906477022181	29.82657240565188	0.0531	0.0562	0.0772	0.0744	0.1124	0.2061	0.2332	0.2104	0.2595	0.273	0.1828	0.1263	3.74641E-4	0.4775281	-0.0701933	-0.46314323
102.5	26.5	77.86915700991659	29.82657240565188	0.0522	0.0485	0.0739	0.0686	0.1073	0.2193	0.2572	0.2302	0.2761	0.273	0.1962	0.125	-0.017288495	0.54082996	-0.07973733	-0.5139757
103.5	26.5	77.86924924961137	29.82657240565188	0.0522	0.0505	0.0736	0.061	0.1073	0.2193	0.2572	0.2744	0.2761	0.273	0.1962	0.125	-0.040998798	0.6362552	-0.16617084	-0.57701147
104.5	26.5	77.86934148930615	29.82657240565188	0.0512	0.0446	0.0672	0.0636	0.1079	0.2439	0.2862	0.2775	0.2958	0.273	0.2034	0.132	-0.047609933	0.62708884	-0.1540861	-0.61009574
105.5	26.5	77.86943372900092	29.82657240565188	0.0512	0.0446	0.0672	0.0636	0.1079	0.2439	0.2862	0.2775	0.2958	0.273	0.2034	0.132	-0.047609933	0.62708884	-0.1540861	-0.61009574
106.5	26.5	77.8695259686957	29.82657240565188	0.0512	0.058	0.0845	0.0787	0.1079	0.2439	0.2862	0.2675	0.2958	0.273	0.2034	0.132	-0.030897658	0.54534954	-0.13612235	-0.5198864
107.5	26.5	77.86961820839048	29.82657240565188	0.0502	0.0678	0.0906	0.1012	0.1318	0.207	0.2354	0.244	0.2408	0.2669	0.2171	0.1625	-0.009392241	0.41367325	-0.058338773	-0.45845786
108.5	26.5	77.86971044808526	29.82657240565188	0.0502	0.0774	0.0994	0.0988	0.1318	0.207	0.2354	0.2174	0.2408	0.2669	0.2171	0.1625	0.01372718	0.37507904	-6.904605E-4	-0.37247476
109.5	26.5	77.86980268778002	29.82657240565188	0.0493	0.0628	0.0723	0.0838	0.1129	0.209	0.243	0.2087	0.2527	0.2669	0.2046	0.1387	0.0067563076	0.42700854	-0.009920143	-0.48540923
110.5	26.5	77.8698949274748	29.82657240565188	0.0493	0.061	0.086	0.069	0.1129	0.209	0.243	0.2666	0.2527	0.2669	0.2046	0.1387	-0.027923906	0.5887962	-0.13157895	-0.5121951
111.5	26.5	77.86998716716958	29.82657240565188	0.0469	0.0608	0.0834	0.0688	0.1235	0.2428	0.2884	0.3075	0.3155	0.2669	0.2095	0.1291	-0.05154389	0.6343343	-0.18955514	-0.5732924
112.5	26.5	77.87007940686436	29.82657240565188	0.0469	0.0543	0.0854	0.0786	0.1235	0.2428	0.2884	0.285	0.3155	0.2669	0.2095	0.1291	-0.043964937	0.56765676	-0.15267947	-0.5388769
113.5	26.5	77.87017164655913	29.82657240565188	0.044	0.062	0.0952	0.0888	0.1257	0.2325	0.2698	0.2846	0.2902	0.3033	0.2166	0.1345	-0.037427694	0.5243707	-0.13567436	-0.49868348
114.5	26.5	77.87026388625391	29.82657240565188	0.044	0.062	0.0952	0.0888	0.1257	0.2325	0.2698	0.2846	0.2902	0.3033	0.2166	0.1345	-0.037427694	0.5243707	-0.13567436	-0.49868348
115.5	26.5	77.87035612594869	29.82657240565188	0.044	0.0562	0.0861	0.0788	0.1257	0.2325	0.2698	0.2846	0.2902	0.3033	0.2166	0.1345	-0.04217905	0.5663181	-0.13567436	-0.5354734
116.5	26.5	77.87044836564347	29.82657240565188	0.0417	0.0436	0.073	0.0645	0.1133	0.2405	0.2775	0.2525	0.297	0.3033	0.2008	0.1192	-0.03409163	0.59305996	-0.1140525	-0.5514593
117.5	26.5	77.87054060533823	29.82657240565188	0.0417	0.0439	0.0716	0.056	0.1133	0.2405	0.2775	0.3028	0.297	0.3033	0.2008	0.1192	-0.06269292	0.6878484	-0.2025417	-0.6175214
35.5	27.5	77.86297695036657	29.826480165957104	0.0819	0.0914	0.115	0.1178	0.1728	0.2626	0.2837	0.2836	0.2905	0.2948	0.2535	0.1907	-0.012769723	0.41305432	-0.05604168	-0.42298043
