Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
29.5	45.5	78.08804180562117	29.902393434758146	0.0413	0.0446	0.0739	0.056	0.0977	0.2791	0.3316	0.3453	0.3615	0.3128	0.194	0.1103	0.72090703	-0.28054884	-0.6474237
30.5	45.5	78.08813404531595	29.902393434758146	0.0396	0.0424	0.0726	0.0556	0.1238	0.2754	0.3295	0.3484	0.3535	0.3128	0.21	0.1277	0.7247525	-0.24785101	-0.6551069
31.5	45.5	78.08822628501073	29.902393434758146	0.0396	0.0502	0.0744	0.0634	0.1238	0.2754	0.3295	0.3388	0.3535	0.3128	0.21	0.1277	0.684734	-0.23469391	-0.6398838
32.5	45.5	78.0883185247055	29.902393434758146	0.04	0.0569	0.0878	0.0808	0.1454	0.2421	0.2732	0.3224	0.2966	0.3128	0.2206	0.1431	0.5992064	-0.187477	-0.5719161
33.5	45.5	78.08841076440028	29.902393434758146	0.04	0.0684	0.1044	0.1032	0.1454	0.2421	0.2732	0.2766	0.2966	0.3128	0.2206	0.1431	0.45655608	-0.112630755	-0.4519685
34.5	45.5	78.08850300409506	29.902393434758146	0.0413	0.0863	0.1138	0.1268	0.1496	0.2139	0.2408	0.2432	0.2613	0.2997	0.2249	0.1566	0.3145946	-0.039094202	-0.362465
35.5	45.5	78.08859524378984	29.902393434758146	0.0413	0.0754	0.1086	0.1126	0.1496	0.2139	0.2408	0.24	0.2613	0.2997	0.2249	0.1566	0.36131594	-0.032480076	-0.37693632
36.5	45.5	78.0886874834846	29.902393434758146	0.0423	0.0819	0.1132	0.1254	0.1727	0.2429	0.2605	0.257	0.2876	0.2997	0.2619	0.1993	0.34414223	0.009443069	-0.38843867
37.5	45.5	78.08877972317939	29.902393434758146	0.0423	0.0819	0.1132	0.1254	0.1727	0.2429	0.2605	0.257	0.2876	0.2997	0.2619	0.1993	0.34414223	0.009443069	-0.38843867
38.5	45.5	78.08887196287417	29.902393434758146	0.0423	0.0951	0.1382	0.146	0.1727	0.2429	0.2605	0.28	0.2876	0.2997	0.2619	0.1993	0.314554	-0.033400983	-0.33907223
39.5	45.5	78.08896420256895	29.902393434758146	0.0428	0.089	0.1314	0.1548	0.1699	0.2451	0.2679	0.2632	0.2845	0.2997	0.247	0.1786	0.25933018	-0.031752296	-0.33400914
40.5	45.5	78.08905644226371	29.902393434758146	0.0428	0.0808	0.119	0.1312	0.1699	0.2451	0.2679	0.2751	0.2845	0.2997	0.247	0.1786	0.35417178	-0.053821106	-0.39609236
41.5	45.5	78.08914868195849	29.902393434758146	0.0429	0.0559	0.088	0.0786	0.131	0.2633	0.2972	0.3034	0.3139	0.3361	0.2214	0.1381	0.5884817	-0.15625003	-0.5503321
42.5	45.5	78.08924092165327	29.902393434758146	0.0429	0.0561	0.093	0.0821	0.131	0.2633	0.2972	0.322	0.3139	0.3361	0.2214	0.1381	0.59366494	-0.18513067	-0.5518072
43.5	45.5	78.08933316134805	29.902393434758146	0.044	0.056	0.0854	0.0762	0.1468	0.2751	0.3081	0.3115	0.3324	0.3361	0.2363	0.1581	0.60691255	-0.13727638	-0.5696649
44.5	45.5	78.08942540104282	29.902393434758146	0.044	0.0731	0.114	0.1056	0.1468	0.2751	0.3081	0.3221	0.3324	0.3361	0.2363	0.1581	0.50619596	-0.15365331	-0.47718415
45.5	45.5	78.0895176407376	29.902393434758146	0.0466	0.096	0.1332	0.147	0.1643	0.278	0.3038	0.2984	0.3263	0.3361	0.2396	0.164	0.3399192	-0.1092937	-0.38276184
46.5	45.5	78.08960988043238	29.902393434758146	0.0466	0.0666	0.1014	0.0919	0.1643	0.278	0.3038	0.2986	0.3263	0.3361	0.2396	0.164	0.5293214	-0.10962465	-0.49299997
47.5	45.5	78.08970212012716	29.902393434758146	0.0466	0.0666	0.1014	0.0919	0.1643	0.278	0.3038	0.2986	0.3263	0.3361	0.2396	0.164	0.5293214	-0.10962465	-0.49299997
