Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
67.5	15.5	77.94211860848479	29.797978100271173	0.0994	0.1072	0.129	0.1488	0.1992	0.2251	0.23	0.1932	0.2351	0.2192	0.2566	0.2447	0.1409515	0.12982458
66.5	16.5	77.94202636879001	29.797885860576397	0.0994	0.1494	0.1854	0.203	0.1992	0.2251	0.23	0.2402	0.2351	0.2192	0.2566	0.2447	0.03301126	0.08393503
67.5	16.5	77.94211860848479	29.797885860576397	0.0994	0.1338	0.1692	0.1864	0.1992	0.2251	0.23	0.2235	0.2351	0.2192	0.2566	0.2447	0.06894396	0.090509884
68.5	16.5	77.94221084817956	29.797885860576397	0.1029	0.1146	0.1424	0.1628	0.1737	0.1965	0.212	0.2041	0.2259	0.2192	0.2545	0.2566	0.1098997	0.11256473
66.5	17.5	77.94202636879001	29.79779362088162	0.1044	0.1306	0.1766	0.2092	0.242	0.2536	0.2618	0.2679	0.273	0.2192	0.284	0.2622	0.029171987	0.123035
67.5	17.5	77.94211860848479	29.79779362088162	0.1044	0.1618	0.191	0.2232	0.242	0.2536	0.2618	0.2644	0.273	0.2192	0.284	0.2622	0.035740342	0.084495515
68.5	17.5	77.94221084817956	29.79779362088162	0.1062	0.16	0.1794	0.21	0.2179	0.2205	0.2285	0.242	0.2431	0.2192	0.2559	0.2427	0.027917247	0.070796475
69.5	17.5	77.94230308787434	29.79779362088162	0.1062	0.1346	0.1582	0.1814	0.2179	0.2205	0.2285	0.2138	0.2431	0.2192	0.2559	0.2427	0.08963168	0.0819838
65.5	18.5	77.94193412909523	29.797701381186844	0.1088	0.1062	0.1544	0.1862	0.2384	0.2647	0.2663	0.2397	0.2671	0.227	0.2917	0.2639	0.097854726	0.12561637
66.5	18.5	77.94202636879001	29.797701381186844	0.1088	0.1062	0.1544	0.1862	0.2384	0.2647	0.2663	0.2397	0.2671	0.227	0.2917	0.2639	0.097854726	0.12561637
67.5	18.5	77.94211860848479	29.797701381186844	0.1088	0.115	0.1544	0.1948	0.2384	0.2647	0.2663	0.2399	0.2671	0.227	0.2917	0.2639	0.09744171	0.103749685
68.5	18.5	77.94221084817956	29.797701381186844	0.1062	0.1626	0.1954	0.2156	0.2179	0.2205	0.2285	0.2569	0.2431	0.2192	0.2559	0.2427	-0.001950111	0.08740743
69.5	18.5	77.94230308787434	29.797701381186844	0.1062	0.145	0.1792	0.1958	0.2179	0.2205	0.2285	0.233	0.2431	0.2192	0.2559	0.2427	0.046839844	0.0867537
70.5	18.5	77.94239532756912	29.797701381186844	0.1035	0.1196	0.1542	0.1772	0.1926	0.1996	0.2083	0.2037	0.2121	0.2192	0.2448	0.2403	0.09163878	0.06957207
64.5	19.5	77.94184188940045	29.797609141492067	0.1051	0.1544	0.1992	0.2348	0.2565	0.2779	0.2909	0.2906	0.2903	0.2621	0.3276	0.3024	0.05985118	0.10620481
65.5	19.5	77.94193412909523	29.797609141492067	0.1088	0.1214	0.1726	0.2076	0.2384	0.2647	0.2663	0.2567	0.2671	0.227	0.2917	0.2639	0.063822016	0.10575061
66.5	19.5	77.94202636879001	29.797609141492067	0.1088	0.1214	0.1726	0.2076	0.2384	0.2647	0.2663	0.2567	0.2671	0.227	0.2917	0.2639	0.063822016	0.10575061
67.5	19.5	77.94211860848479	29.797609141492067	0.1088	0.1248	0.1558	0.2028	0.2384	0.2647	0.2663	0.2448	0.2671	0.227	0.2917	0.2639	0.08741846	0.09383377
68.5	19.5	77.94221084817956	29.797609141492067	0.109	0.1328	0.1722	0.1908	0.1997	0.2134	0.2282	0.2448	0.2265	0.227	0.2499	0.2291	0.010309272	0.123966955
69.5	19.5	77.94230308787434	29.797609141492067	0.109	0.1382	0.1598	0.172	0.1997	0.2134	0.2282	0.2072	0.2265	0.227	0.2499	0.2291	0.09341499	0.092827
70.5	19.5	77.94239532756912	29.797609141492067	0.1058	0.1252	0.1382	0.1564	0.1888	0.2014	0.2055	0.1853	0.1996	0.227	0.2241	0.21	0.094772846	0.08457711
71.5	19.5	77.9424875672639	29.797609141492067	0.1058	0.1254	0.1632	0.1694	0.1888	0.2014	0.2055	0.2055	0.1996	0.227	0.2241	0.21	0.043296058	0.09629234
63.5	20.5	77.94174964970568	29.79751690179729	0.1081	0.151	0.1998	0.2486	0.2785	0.3025	0.311	0.309	0.3128	0.2621	0.3256	0.3022	0.02615823	0.10832134
64.5	20.5	77.94184188940045	29.79751690179729	0.1081	0.1604	0.2082	0.25	0.2785	0.3025	0.311	0.3108	0.3128	0.2621	0.3256	0.3022	0.023255834	0.10841653
65.5	20.5	77.94193412909523	29.79751690179729	0.1094	0.1596	0.1988	0.2384	0.2514	0.2568	0.2644	0.283	0.2799	0.227	0.297	0.2752	0.02413793	0.085538924
66.5	20.5	77.94202636879001	29.79751690179729	0.1094	0.1596	0.1988	0.2384	0.2514	0.2568	0.2644	0.283	0.2799	0.227	0.297	0.2752	0.02413793	0.085538924
67.5	20.5	77.94211860848479	29.79751690179729	0.1094	0.1684	0.1956	0.2278	0.2514	0.2568	0.2644	0.2689	0.2799	0.227	0.297	0.2752	0.04965539	0.08274615
68.5	20.5	77.94221084817956	29.79751690179729	0.1092	0.1224	0.1558	0.1654	0.1784	0.1943	0.2024	0.2154	0.2157	0.227	0.2313	0.2178	0.035594363	0.13130252
69.5	20.5	77.94230308787434	29.79751690179729	0.1092	0.1142	0.1334	0.159	0.1784	0.1943	0.2024	0.185	0.2157	0.227	0.2313	0.2178	0.11121786	0.07558142
70.5	20.5	77.94239532756912	29.79751690179729	0.1058	0.1188	0.138	0.1518	0.1888	0.2014	0.2055	0.1912	0.1996	0.227	0.2241	0.21	0.07921982	0.11486879
71.5	20.5	77.9424875672639	29.79751690179729	0.1058	0.1326	0.1592	0.1848	0.1888	0.2014	0.2055	0.2103	0.1996	0.227	0.2241	0.21	0.031767946	0.064540625
72.5	20.5	77.94257980695868	29.79751690179729	0.0998	0.152	0.1796	0.2096	0.1933	0.2137	0.2273	0.2332	0.2315	0.2107	0.2332	0.216	0.0	0.05329719
63.5	21.5	77.94174964970568	29.797424662102515	0.1081	0.1542	0.2096	0.2482	0.2785	0.3025	0.311	0.3212	0.3128	0.2621	0.3256	0.3022	0.0068026977	0.12820515
64.5	21.5	77.94184188940045	29.797424662102515	0.1081	0.1542	0.2078	0.252	0.2785	0.3025	0.311	0.3188	0.3128	0.2621	0.3256	0.3022	0.010552445	0.11702873
65.5	21.5	77.94193412909523	29.797424662102515	0.1094	0.1474	0.2022	0.2332	0.2514	0.2568	0.2644	0.2856	0.2799	0.227	0.297	0.2752	0.01956743	0.10100233
66.5	21.5	77.94202636879001	29.797424662102515	0.1094	0.1474	0.2022	0.2332	0.2514	0.2568	0.2644	0.2856	0.2799	0.227	0.297	0.2752	0.01956743	0.10100233
67.5	21.5	77.94211860848479	29.797424662102515	0.1094	0.151	0.1868	0.2094	0.2514	0.2568	0.2644	0.2461	0.2799	0.227	0.297	0.2752	0.093721226	0.080570795
68.5	21.5	77.94221084817956	29.797424662102515	0.1092	0.1074	0.1336	0.152	0.1784	0.1943	0.2024	0.1954	0.2157	0.227	0.2313	0.2178	0.08413404	0.12492805
69.5	21.5	77.94230308787434	29.797424662102515	0.1092	0.126	0.1482	0.1708	0.1784	0.1943	0.2024	0.1933	0.2157	0.227	0.2313	0.2178	0.089496	0.061796192
70.5	21.5	77.94239532756912	29.797424662102515	0.1066	0.1136	0.1388	0.1474	0.1791	0.185	0.1944	0.175	0.1905	0.227	0.207	0.2025	0.08376965	0.08560791
71.5	21.5	77.9424875672639	29.797424662102515	0.1066	0.1244	0.1512	0.1686	0.1791	0.185	0.1944	0.2032	0.1905	0.227	0.207	0.2025	0.009263786	0.0930608
72.5	21.5	77.94257980695868	29.797424662102515	0.102	0.1372	0.1628	0.1786	0.2004	0.2075	0.2133	0.2016	0.2227	0.2107	0.2203	0.2091	0.044323307	0.060494483
73.5	21.5	77.94267204665344	29.797424662102515	0.102	0.1518	0.1852	0.2026	0.2004	0.2075	0.2133	0.2277	0.2227	0.2107	0.2203	0.2091	-0.016517837	0.05833138
64.5	22.5	77.94184188940045	29.797332422407738	0.1051	0.1508	0.1926	0.228	0.2181	0.2508	0.2697	0.3017	0.2772	0.2621	0.2692	0.2367	-0.056927655	0.13913535
65.5	22.5	77.94193412909523	29.797332422407738	0.1052	0.152	0.1836	0.2178	0.2138	0.228	0.2401	0.2631	0.2371	0.227	0.2569	0.2349	-0.01192305	0.09419836
66.5	22.5	77.94202636879001	29.797332422407738	0.1052	0.1162	0.1488	0.1604	0.2138	0.228	0.2401	0.2063	0.2371	0.227	0.2569	0.2349	0.10924008	0.12517044
67.5	22.5	77.94211860848479	29.797332422407738	0.1052	0.1162	0.1488	0.1604	0.2138	0.228	0.2401	0.2063	0.2371	0.227	0.2569	0.2349	0.10924008	0.12517044
68.5	22.5	77.94221084817956	29.797332422407738	0.1043	0.1152	0.1406	0.1604	0.1731	0.1898	0.1854	0.1948	0.2012	0.227	0.2095	0.204	0.036359128	0.09684685
69.5	22.5	77.94230308787434	29.797332422407738	0.1043	0.115	0.1354	0.1602	0.1731	0.1898	0.1854	0.182	0.2012	0.227	0.2095	0.204	0.070242666	0.06370543
70.5	22.5	77.94239532756912	29.797332422407738	0.1033	0.0814	0.102	0.1162	0.1632	0.1748	0.1821	0.1554	0.1863	0.227	0.1865	0.2016	0.09096228	0.14432988
71.5	22.5	77.9424875672639	29.797332422407738	0.1033	0.095	0.1132	0.1262	0.1632	0.1748	0.1821	0.1536	0.1863	0.227	0.1865	0.2016	0.09673622	0.09792709
72.5	22.5	77.94257980695868	29.797332422407738	0.102	0.129	0.1486	0.169	0.2004	0.2075	0.2133	0.196	0.2227	0.2107	0.2203	0.2091	0.058371387	0.07397259
73.5	22.5	77.94267204665344	29.797332422407738	0.102	0.1318	0.1528	0.1834	0.2004	0.2075	0.2133	0.2063	0.2227	0.2107	0.2203	0.2091	0.032817625	0.05876315
74.5	22.5	77.94276428634822	29.797332422407738	0.0986	0.1456	0.1684	0.1986	0.2067	0.2292	0.2408	0.2242	0.2368	0.2107	0.2254	0.2048	0.0026690513	0.060548726
64.5	23.5	77.94184188940045	29.79724018271296	0.1051	0.1184	0.1756	0.1912	0.2181	0.2508	0.2697	0.2656	0.2772	0.2621	0.2692	0.2367	0.006731491	0.16287214
65.5	23.5	77.94193412909523	29.79724018271296	0.1052	0.1314	0.1488	0.1786	0.2138	0.228	0.2401	0.2153	0.2371	0.227	0.2569	0.2349	0.0880983	0.093170844
66.5	23.5	77.94202636879001	29.79724018271296	0.1052	0.108	0.1406	0.1506	0.2138	0.228	0.2401	0.1999	0.2371	0.227	0.2569	0.2349	0.12478111	0.1406562
67.5	23.5	77.94211860848479	29.79724018271296	0.1052	0.108	0.1406	0.1506	0.2138	0.228	0.2401	0.1999	0.2371	0.227	0.2569	0.2349	0.12478111	0.1406562
68.5	23.5	77.94221084817956	29.79724018271296	0.1043	0.1312	0.1478	0.1692	0.1731	0.1898	0.1854	0.1916	0.2012	0.227	0.2095	0.204	0.044627286	0.062084235
69.5	23.5	77.94230308787434	29.79724018271296	0.1043	0.1172	0.1426	0.1534	0.1731	0.1898	0.1854	0.1836	0.2012	0.227	0.2095	0.204	0.06588656	0.08961421
70.5	23.5	77.94239532756912	29.79724018271296	0.1033	0.1004	0.1186	0.1364	0.1632	0.1748	0.1821	0.1932	0.1863	0.227	0.1865	0.2016	-0.017645534	0.17233011
71.5	23.5	77.9424875672639	29.79724018271296	0.1033	0.0922	0.1036	0.1272	0.1632	0.1748	0.1821	0.1859	0.1863	0.227	0.1865	0.2016	0.001611158	0.18748002
72.5	23.5	77.94257980695868	29.79724018271296	0.1015	0.092	0.1042	0.1226	0.1645	0.1769	0.1807	0.1613	0.1904	0.2107	0.1888	0.1967	0.07854899	0.13631563
73.5	23.5	77.94267204665344	29.79724018271296	0.1015	0.129	0.1516	0.1692	0.1645	0.1769	0.1807	0.1949	0.1904	0.2107	0.1888	0.1967	-0.015897833	0.07058501
74.5	23.5	77.94276428634822	29.79724018271296	0.1	0.1344	0.156	0.1676	0.1691	0.1767	0.1868	0.1959	0.1773	0.2107	0.2009	0.1938	0.012600832	0.077854164
75.5	23.5	77.942856526043	29.79724018271296	0.1	0.1013	0.1406	0.1428	0.1691	0.1767	0.1868	0.1764	0.1773	0.2107	0.2009	0.1938	0.06493506	0.105263166
65.5	24.5	77.94193412909523	29.797147943018185	0.0977	0.1118	0.1334	0.1532	0.1754	0.1899	0.1974	0.1908	0.202	0.2125	0.2159	0.1949	0.06171627	0.10930231
66.5	24.5	77.94202636879001	29.797147943018185	0.0977	0.1168	0.1488	0.1616	0.1754	0.1899	0.1974	0.2026	0.202	0.2125	0.2159	0.1949	0.031780172	0.11257553
67.5	24.5	77.94211860848479	29.797147943018185	0.0977	0.1168	0.1488	0.1616	0.1754	0.1899	0.1974	0.2026	0.202	0.2125	0.2159	0.1949	0.031780172	0.11257553
