Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDWI	NDBI	PISI
15.5	35.5	77.93732214435641	29.796133306375644	0.0825	0.0901	0.104	0.1046	0.1222	0.157	0.1519	0.1648	0.172	0.1745	0.1676	0.1474	0.22345956	0.05573349	0.008423594	0.054297116
16.5	35.5	77.93741438405118	29.796133306375644	0.0825	0.0869	0.1082	0.1128	0.1684	0.1689	0.1781	0.1319	0.182	0.1745	0.2064	0.1935	0.07805474	-0.18930547	0.22021876	0.07054383
14.5	36.5	77.93722990466163	29.796041066680868	0.0825	0.0935	0.1012	0.0999	0.1222	0.157	0.1519	0.1686	0.172	0.1745	0.1676	0.1474	0.2558659	0.06708857	-0.0029743817	0.054903105
15.5	36.5	77.93732214435641	29.796041066680868	0.0825	0.1038	0.1086	0.118	0.1222	0.157	0.1519	0.1526	0.172	0.1745	0.1676	0.1474	0.12786402	0.017333329	0.046845723	0.07251686
16.5	36.5	77.93741438405118	29.796041066680868	0.0825	0.1354	0.147	0.1628	0.1684	0.1689	0.1781	0.1882	0.182	0.1745	0.2064	0.1935	0.072364666	-0.013885251	0.04612268	0.07798698
17.5	36.5	77.93750662374596	29.796041066680868	0.0825	0.1468	0.1706	0.1898	0.1684	0.1689	0.1781	0.2123	0.182	0.1745	0.2064	0.1935	0.055956252	0.046328254	-0.0140912235	0.07350451
13.5	37.5	77.93713766496685	29.79594882698609	0.0825	0.0935	0.1028	0.1104	0.1598	0.1886	0.1788	0.1582	0.189	0.1745	0.2164	0.2069	0.17795978	-0.13338813	0.15536574	0.060867503
14.5	37.5	77.93722990466163	29.79594882698609	0.0825	0.1188	0.1436	0.1574	0.1598	0.1886	0.1788	0.1788	0.189	0.1745	0.2164	0.2069	0.063652605	-0.07285455	0.09514169	0.06977916
15.5	37.5	77.93732214435641	29.79594882698609	0.0825	0.1188	0.1436	0.1574	0.1598	0.1886	0.1788	0.1788	0.189	0.1745	0.2164	0.2069	0.063652605	-0.07285455	0.09514169	0.06977916
16.5	37.5	77.93741438405118	29.79594882698609	0.0825	0.1572	0.1706	0.1984	0.2216	0.2105	0.2262	0.2294	0.2171	0.1745	0.2501	0.2514	0.07246374	-0.045757074	0.043169957	0.07221734
17.5	37.5	77.93750662374596	29.79594882698609	0.0825	0.1664	0.1942	0.223	0.2216	0.2105	0.2262	0.2481	0.2171	0.1745	0.2501	0.2514	0.05327954	-0.0066065993	0.0040144306	0.06902953
14.5	38.5	77.93722990466163	29.795856587291315	0.0825	0.1334	0.1498	0.1868	0.1598	0.1886	0.1788	0.2081	0.189	0.1745	0.2164	0.2069	0.05393771	0.0028915792	0.019552395	0.06493592
15.5	38.5	77.93732214435641	29.795856587291315	0.0825	0.1334	0.1498	0.1868	0.1598	0.1886	0.1788	0.2081	0.189	0.1745	0.2164	0.2069	0.05393771	0.0028915792	0.019552395	0.06493592
16.5	38.5	77.93741438405118	29.795856587291315	0.0825	0.152	0.1676	0.2136	0.2216	0.2105	0.2262	0.2418	0.2171	0.1745	0.2501	0.2514	0.061923586	-0.019464718	0.016873332	0.060846098
15.5	39.5	77.93732214435641	29.79576434759654	0.0825	0.131	0.1544	0.186	0.1509	0.1912	0.1917	0.2338	0.193	0.1745	0.2158	0.2062	0.11386372	0.06272725	-0.04003557	0.0482309
17.5	40.5	77.93750662374596	29.795672107901762	0.0825	0.085	0.0964	0.105	0.1693	0.1666	0.1766	0.1321	0.1779	0.1745	0.2162	0.2071	0.114297785	-0.2211085	0.24145849	0.06887265
18.5	40.5	77.93759886344074	29.795672107901762	0.0848	0.0783	0.092	0.1012	0.1241	0.1463	0.1361	0.111	0.1399	0.1974	0.1835	0.1746	0.046182856	-0.22268908	0.24617998	0.07548486
19.5	40.5	77.93769110313552	29.795672107901762	0.0848	0.0925	0.099	0.1246	0.1241	0.1463	0.1361	0.142	0.1399	0.1974	0.1835	0.1746	0.06526633	-0.10296904	0.12749617	0.069339
17.5	41.5	77.93750662374596	29.795579868206985	0.0832	0.0925	0.098	0.117	0.1376	0.1467	0.145	0.137	0.1462	0.142	0.18	0.1693	0.07874014	-0.1054522	0.13564673	0.072206505
18.5	41.5	77.93759886344074	29.795579868206985	0.0975	0.0948	0.1024	0.1288	0.1447	0.1606	0.1505	0.139	0.1548	0.1736	0.196	0.1959	0.038088102	-0.16990145	0.17014925	0.072943665
19.5	41.5	77.93769110313552	29.795579868206985	0.0975	0.1019	0.1134	0.161	0.1447	0.1606	0.1505	0.1766	0.1548	0.1736	0.196	0.1959	0.04620852	-0.05181208	0.05206656	0.05719638
18.5	42.5	77.93759886344074	29.79548762851221	0.0975	0.0948	0.1128	0.149	0.1447	0.1606	0.1505	0.1588	0.1548	0.1736	0.196	0.1959	0.03183886	-0.1045954	0.104847774	0.061588358
24.5	42.5	77.93815230160939	29.79548762851221	0.0947	0.0946	0.1116	0.1244	0.1413	0.166	0.1674	0.1536	0.1802	0.1871	0.1984	0.1678	0.105036005	-0.044181664	0.12727273	0.064406715
23.5	43.5	77.93806006191463	29.795395388817433	0.0975	0.114	0.1246	0.1376	0.1651	0.1625	0.168	0.152	0.1765	0.1736	0.1925	0.1674	0.049723726	-0.048215427	0.11756169	0.081216805
24.5	43.5	77.93815230160939	29.795395388817433	0.0947	0.1482	0.1804	0.1932	0.2101	0.2056	0.2085	0.2044	0.2024	0.1871	0.2253	0.1925	0.028169002	0.029982382	0.048638575	0.07918204
25.5	43.5	77.93824454130417	29.795395388817433	0.0947	0.1482	0.1804	0.1932	0.2101	0.2056	0.2085	0.2044	0.2024	0.1871	0.2253	0.1925	0.028169002	0.029982382	0.048638575	0.07918204
22.5	44.5	77.93796782221985	29.795303149122656	0.0975	0.1166	0.1296	0.1364	0.1651	0.1625	0.168	0.1452	0.1765	0.1736	0.1925	0.1674	0.03125	-0.07101729	0.14006513	0.08724652
23.5	44.5	77.93806006191463	29.795303149122656	0.0975	0.1694	0.1976	0.2142	0.1651	0.1625	0.168	0.2182	0.1765	0.1736	0.1925	0.1674	0.009250678	0.13174273	-0.0625761	0.08863479
24.5	44.5	77.93815230160939	29.795303149122656	0.0947	0.2026	0.2308	0.2466	0.2101	0.2056	0.2085	0.2573	0.2024	0.1871	0.2253	0.1925	0.021234347	0.14406402	-0.066307485	0.093408376
25.5	44.5	77.93824454130417	29.795303149122656	0.0947	0.1882	0.217	0.2256	0.2101	0.2056	0.2085	0.2353	0.2024	0.1871	0.2253	0.1925	0.02104578	0.10004677	-0.021710824	0.094228886
26.5	44.5	77.93833678099895	29.795303149122656	0.0947	0.1882	0.217	0.2256	0.2101	0.2056	0.2085	0.2353	0.2024	0.1871	0.2253	0.1925	0.02104578	0.10004677	-0.021710824	0.094228886
