Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
19.5	32.5	77.93769110313552	29.796410025459974	0.0553	0.087	0.1058	0.1638	0.1628	0.2192	0.2173	0.2101	0.2314	0.2623	0.2414	0.1958	0.06932449	0.12382989
20.5	32.5	77.93778334283029	29.796410025459974	0.0578	0.0798	0.1026	0.1676	0.1853	0.246	0.2617	0.2282	0.2603	0.2623	0.2831	0.2284	0.10737337	0.15310761
21.5	32.5	77.93787558252507	29.796410025459974	0.0578	0.0805	0.108	0.1608	0.1853	0.246	0.2617	0.2658	0.2603	0.2623	0.2831	0.2284	0.0315176	0.24613222
17.5	33.5	77.93750662374596	29.796317785765197	0.0594	0.0618	0.0858	0.1268	0.1642	0.2205	0.2407	0.1836	0.236	0.2692	0.2537	0.2121	0.16030185	0.18298967
18.5	33.5	77.93759886344074	29.796317785765197	0.0625	0.0825	0.1082	0.1668	0.2246	0.2521	0.2382	0.2122	0.2349	0.2623	0.3129	0.2852	0.191773	0.1197889
19.5	33.5	77.93769110313552	29.796317785765197	0.0625	0.0943	0.1148	0.1882	0.2246	0.2521	0.2382	0.2357	0.2349	0.2623	0.3129	0.2852	0.14072186	0.11205473
20.5	33.5	77.93778334283029	29.796317785765197	0.0645	0.0869	0.1158	0.1936	0.2047	0.2409	0.2476	0.2473	0.2393	0.2623	0.3078	0.273	0.108989365	0.121796325
21.5	33.5	77.93787558252507	29.796317785765197	0.0645	0.0968	0.124	0.1856	0.2047	0.2409	0.2476	0.2525	0.2393	0.2623	0.3078	0.273	0.098697126	0.15270486
26.5	33.5	77.93833678099895	29.796317785765197	0.0651	0.0749	0.0938	0.1828	0.2133	0.244	0.238	0.231	0.2238	0.2807	0.3409	0.3071	0.19216646	0.116481416
27.5	33.5	77.93842902069373	29.796317785765197	0.0651	0.0698	0.095	0.1852	0.2552	0.2762	0.2675	0.2264	0.2453	0.2807	0.3831	0.35	0.257096	0.10009717
28.5	33.5	77.9385212603885	29.796317785765197	0.0651	0.0844	0.1168	0.2002	0.2552	0.2762	0.2675	0.2322	0.2453	0.2807	0.3831	0.35	0.24524623	0.07400553
16.5	34.5	77.93741438405118	29.79622554607042	0.0594	0.0722	0.0972	0.1316	0.1642	0.2205	0.2407	0.2039	0.236	0.2692	0.2537	0.2121	0.108828664	0.21549922
17.5	34.5	77.93750662374596	29.79622554607042	0.0594	0.0778	0.0973	0.1742	0.1642	0.2205	0.2407	0.2135	0.236	0.2692	0.2537	0.2121	0.08604451	0.10136703
18.5	34.5	77.93759886344074	29.79622554607042	0.0625	0.0936	0.1132	0.1892	0.2246	0.2521	0.2382	0.2376	0.2349	0.2623	0.3129	0.2852	0.13678475	0.11340206
19.5	34.5	77.93769110313552	29.79622554607042	0.0625	0.0952	0.1138	0.1928	0.2246	0.2521	0.2382	0.2457	0.2349	0.2623	0.3129	0.2852	0.12030076	0.12063854
20.5	34.5	77.93778334283029	29.79622554607042	0.0645	0.0838	0.108	0.17	0.2047	0.2409	0.2476	0.2388	0.2393	0.2623	0.3078	0.273	0.12623489	0.16829745
24.5	34.5	77.93815230160939	29.79622554607042	0.0656	0.0588	0.0794	0.1356	0.1821	0.21	0.2262	0.1941	0.2284	0.2623	0.2923	0.2508	0.2018914	0.17743404
25.5	34.5	77.93824454130417	29.79622554607042	0.0651	0.0706	0.0932	0.1952	0.2133	0.244	0.238	0.2359	0.2238	0.2807	0.3409	0.3071	0.18203884	0.09440966
26.5	34.5	77.93833678099895	29.79622554607042	0.0651	0.0745	0.1006	0.2086	0.2133	0.244	0.238	0.2434	0.2238	0.2807	0.3409	0.3071	0.16686636	0.07699113
27.5	34.5	77.93842902069373	29.79622554607042	0.0651	0.0995	0.1184	0.2264	0.2552	0.2762	0.2675	0.2639	0.2453	0.2807	0.3831	0.35	0.18423492	0.0764838
28.5	34.5	77.9385212603885	29.79622554607042	0.0651	0.1282	0.1586	0.254	0.2552	0.2762	0.2675	0.284	0.2453	0.2807	0.3831	0.35	0.14855343	0.055762082
29.5	34.5	77.93861350008328	29.79622554607042	0.0666	0.0871	0.1084	0.2284	0.2241	0.2597	0.2647	0.2759	0.2616	0.2807	0.3528	0.3105	0.1223159	0.094189964
15.5	35.5	77.93732214435641	29.796133306375644	0.0629	0.0836	0.1098	0.156	0.2018	0.2352	0.2402	0.207	0.2428	0.2473	0.2524	0.2282	0.09882457	0.14049587
16.5	35.5	77.93741438405118	29.796133306375644	0.0679	0.0808	0.1042	0.1698	0.2296	0.246	0.2573	0.2122	0.2514	0.2473	0.3127	0.2999	0.19146505	0.11099477
