,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0994,0.1072,0.129,0.1488,0.1992,0.2251,0.23,0.1932,0.2351,0.2192,0.2566,0.2447,0.1409515,0.12982458,1
1,0.0994,0.1494,0.1854,0.203,0.1992,0.2251,0.23,0.2402,0.2351,0.2192,0.2566,0.2447,0.03301126,0.08393503,1
2,0.0994,0.1338,0.1692,0.1864,0.1992,0.2251,0.23,0.2235,0.2351,0.2192,0.2566,0.2447,0.06894396,0.090509884,1
3,0.1029,0.1146,0.1424,0.1628,0.1737,0.1965,0.212,0.2041,0.2259,0.2192,0.2545,0.2566,0.1098997,0.11256473,1
4,0.1044,0.1306,0.1766,0.2092,0.242,0.2536,0.2618,0.2679,0.273,0.2192,0.284,0.2622,0.029171987,0.123035,1
5,0.1044,0.1618,0.191,0.2232,0.242,0.2536,0.2618,0.2644,0.273,0.2192,0.284,0.2622,0.035740342,0.084495515,1
6,0.1062,0.16,0.1794,0.21,0.2179,0.2205,0.2285,0.242,0.2431,0.2192,0.2559,0.2427,0.027917247,0.070796475,1
7,0.1062,0.1346,0.1582,0.1814,0.2179,0.2205,0.2285,0.2138,0.2431,0.2192,0.2559,0.2427,0.08963168,0.0819838,1
8,0.1088,0.1062,0.1544,0.1862,0.2384,0.2647,0.2663,0.2397,0.2671,0.227,0.2917,0.2639,0.097854726,0.12561637,1
9,0.1088,0.1062,0.1544,0.1862,0.2384,0.2647,0.2663,0.2397,0.2671,0.227,0.2917,0.2639,0.097854726,0.12561637,1
10,0.1088,0.115,0.1544,0.1948,0.2384,0.2647,0.2663,0.2399,0.2671,0.227,0.2917,0.2639,0.09744171,0.103749685,1
11,0.1062,0.1626,0.1954,0.2156,0.2179,0.2205,0.2285,0.2569,0.2431,0.2192,0.2559,0.2427,-0.001950111,0.08740743,1
12,0.1062,0.145,0.1792,0.1958,0.2179,0.2205,0.2285,0.233,0.2431,0.2192,0.2559,0.2427,0.046839844,0.0867537,1
13,0.1035,0.1196,0.1542,0.1772,0.1926,0.1996,0.2083,0.2037,0.2121,0.2192,0.2448,0.2403,0.09163878,0.06957207,1
14,0.1051,0.1544,0.1992,0.2348,0.2565,0.2779,0.2909,0.2906,0.2903,0.2621,0.3276,0.3024,0.05985118,0.10620481,1
15,0.1088,0.1214,0.1726,0.2076,0.2384,0.2647,0.2663,0.2567,0.2671,0.227,0.2917,0.2639,0.063822016,0.10575061,1
16,0.1088,0.1214,0.1726,0.2076,0.2384,0.2647,0.2663,0.2567,0.2671,0.227,0.2917,0.2639,0.063822016,0.10575061,1
17,0.1088,0.1248,0.1558,0.2028,0.2384,0.2647,0.2663,0.2448,0.2671,0.227,0.2917,0.2639,0.08741846,0.09383377,1
18,0.109,0.1328,0.1722,0.1908,0.1997,0.2134,0.2282,0.2448,0.2265,0.227,0.2499,0.2291,0.010309272,0.123966955,1
19,0.109,0.1382,0.1598,0.172,0.1997,0.2134,0.2282,0.2072,0.2265,0.227,0.2499,0.2291,0.09341499,0.092827,1
20,0.1058,0.1252,0.1382,0.1564,0.1888,0.2014,0.2055,0.1853,0.1996,0.227,0.2241,0.21,0.094772846,0.08457711,1
21,0.1058,0.1254,0.1632,0.1694,0.1888,0.2014,0.2055,0.2055,0.1996,0.227,0.2241,0.21,0.043296058,0.09629234,1
