,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0489,0.0753,0.0978,0.1038,0.1284,0.2258,0.2553,0.2569,0.2701,0.2825,0.187,0.1282,-0.1574679,0.42445248
1,0.05,0.0582,0.0769,0.0754,0.1039,0.2181,0.2573,0.252,0.2698,0.2825,0.1655,0.1018,-0.20718564,0.53940135
2,0.05,0.0492,0.075,0.0618,0.1039,0.2181,0.2573,0.2566,0.2698,0.2825,0.1655,0.1018,-0.21582562,0.611809
3,0.0528,0.0484,0.0746,0.0618,0.0957,0.2132,0.254,0.2533,0.2672,0.2825,0.1572,0.0921,-0.2341048,0.60774356
4,0.0528,0.0476,0.0722,0.0604,0.0957,0.2132,0.254,0.2531,0.2672,0.2825,0.1572,0.0921,-0.23373145,0.614673
5,0.0561,0.051,0.073,0.0622,0.0943,0.2175,0.2606,0.2479,0.276,0.2705,0.1638,0.0938,-0.20427494,0.5988391
6,0.0561,0.0502,0.0723,0.0625,0.0943,0.2175,0.2606,0.2562,0.276,0.2705,0.1638,0.0938,-0.21999997,0.6077816
7,0.0561,0.0493,0.0747,0.0625,0.0943,0.2175,0.2606,0.258,0.276,0.2705,0.1638,0.0938,-0.22332856,0.6099844
8,0.0582,0.0506,0.079,0.0662,0.1206,0.2263,0.2598,0.2574,0.2814,0.2705,0.2096,0.1452,-0.102355465,0.5908529
9,0.0582,0.0602,0.0874,0.0867,0.1206,0.2263,0.2598,0.2545,0.2814,0.2705,0.2096,0.1452,-0.09674639,0.49179366
10,0.0568,0.0641,0.0996,0.1094,0.1513,0.2301,0.2542,0.2546,0.2737,0.2705,0.2566,0.1955,0.003912371,0.3989011
11,0.0568,0.0665,0.1009,0.1128,0.1513,0.2301,0.2542,0.25,0.2737,0.2705,0.2566,0.1955,0.013028015,0.37816978
12,0.0535,0.0616,0.0889,0.0954,0.1437,0.2221,0.2539,0.2499,0.2674,0.2716,0.2491,0.1801,-0.0016032037,0.44743702
13,0.0535,0.0603,0.0916,0.0903,0.1437,0.2221,0.2539,0.2603,0.2674,0.2716,0.2491,0.1801,-0.02198667,0.48488307
14,0.0505,0.06,0.0894,0.0888,0.1411,0.2239,0.2382,0.2522,0.2744,0.2716,0.2462,0.1714,-0.012038548,0.4791789
15,0.0505,0.06,0.0894,0.0888,0.1411,0.2239,0.2382,0.2522,0.2744,0.2716,0.2462,0.1714,-0.012038548,0.4791789
16,0.0505,0.0636,0.0915,0.101,0.1411,0.2239,0.2382,0.2299,0.2744,0.2716,0.2462,0.1714,0.03423649,0.38954365
17,0.0483,0.0562,0.0898,0.0786,0.1255,0.2332,0.2772,0.264,0.2941,0.2716,0.2161,0.1418,-0.09977086,0.5411559
18,0.0483,0.0476,0.0792,0.0662,0.1255,0.2332,0.2772,0.294,0.2941,0.2716,0.2161,0.1418,-0.15271513,0.63242644
19,0.0467,0.0557,0.08,0.0763,0.1084,0.2186,0.2496,0.2475,0.2578,0.2722,0.192,0.1195,-0.12627986,0.52872145
20,0.0467,0.0524,0.0778,0.0738,0.1084,0.2186,0.2496,0.2282,0.2578,0.2722,0.192,0.1195,-0.086149454,0.5112583
21,0.0468,0.0506,0.0754,0.066,0.11,0.1968,0.2256,0.2424,0.2578,0.2722,0.1899,0.1211,-0.121443465,0.57198447
22,0.0468,0.0543,0.0726,0.0683,0.11,0.1968,0.2256,0.2315,0.2578,0.2722,0.1899,0.1211,-0.09871857,0.5443629
23,0.0499,0.0524,0.0824,0.071,0.115,0.2127,0.2602,0.2426,0.2676,0.2722,0.2018,0.1324,-0.09180916,0.5471939
24,0.0499,0.0524,0.0824,0.071,0.115,0.2127,0.2602,0.2426,0.2676,0.2722,0.2018,0.1324,-0.09180916,0.5471939
25,0.0499,0.054,0.0833,0.0713,0.115,0.2127,0.2602,0.2812,0.2676,0.2722,0.2018,0.1324,-0.16438921,0.595461
26,0.055,0.0544,0.0826,0.0754,0.1185,0.2212,0.2517,0.2812,0.258,0.2389,0.2025,0.1422,-0.16270414,0.5771172
27,0.055,0.0567,0.079,0.0843,0.1185,0.2212,0.2517,0.2414,0.258,0.2389,0.2025,0.1422,-0.08763236,0.48234573
28,0.0587,0.0831,0.1078,0.1136,0.1399,0.2047,0.2229,0.2168,0.2267,0.2389,0.2013,0.1537,-0.03707249,0.31234866
29,0.0587,0.0748,0.0996,0.105,0.1399,0.2047,0.2229,0.223,0.2267,0.2389,0.2013,0.1537,-0.051143084,0.3597561
30,0.0593,0.0582,0.09,0.0824,0.1296,0.2235,0.2438,0.2532,0.2656,0.2389,0.1977,0.1461,-0.12308716,0.5089392
31,0.0593,0.0564,0.0806,0.0738,0.1296,0.2235,0.2438,0.2658,0.2656,0.2389,0.1977,0.1461,-0.14692558,0.56537104
32,0.0585,0.0539,0.0808,0.072,0.1196,0.2008,0.2295,0.2596,0.2433,0.2518,0.1884,0.1398,-0.1589286,0.5657419
33,0.0585,0.0606,0.0839,0.0746,0.1196,0.2008,0.2295,0.2436,0.2433,0.2518,0.1884,0.1398,-0.12777777,0.5311125
34,0.0585,0.0606,0.0839,0.0746,0.1196,0.2008,0.2295,0.2436,0.2433,0.2518,0.1884,0.1398,-0.12777777,0.5311125
35,0.0572,0.0678,0.0882,0.0848,0.1205,0.2179,0.2514,0.2266,0.2495,0.2518,0.1859,0.1238,-0.098666675,0.4553629
36,0.0572,0.0606,0.0827,0.082,0.1205,0.2179,0.2514,0.2431,0.2495,0.2518,0.1859,0.1238,-0.13333333,0.4955398
37,0.0541,0.0462,0.0809,0.064,0.1157,0.238,0.2778,0.2664,0.3129,0.2518,0.1854,0.1148,-0.1792829,0.6125908
38,0.0541,0.0512,0.0818,0.0664,0.1157,0.238,0.2778,0.2746,0.3129,0.2518,0.1854,0.1148,-0.19391306,0.6105572
39,0.0506,0.0567,0.0864,0.0784,0.1233,0.216,0.2494,0.2734,0.2696,0.2864,0.1986,0.1344,-0.15847461,0.5542922
40,0.0506,0.0668,0.0902,0.0944,0.1233,0.216,0.2494,0.2468,0.2696,0.2864,0.1986,0.1344,-0.10821736,0.44665885
41,0.0478,0.0607,0.0846,0.078,0.1269,0.2073,0.2423,0.2698,0.2833,0.2864,0.2052,0.1469,-0.136,0.55146635
42,0.0478,0.0516,0.0794,0.0693,0.1269,0.2073,0.2423,0.291,0.2833,0.2864,0.2052,0.1469,-0.17291416,0.61532056
43,0.0478,0.0516,0.0794,0.0693,0.1269,0.2073,0.2423,0.291,0.2833,0.2864,0.2052,0.1469,-0.17291416,0.61532056
44,0.0471,0.059,0.0893,0.0742,0.1312,0.2377,0.2721,0.3078,0.2994,0.2864,0.2155,0.148,-0.17638066,0.6115183
45,0.0471,0.0637,0.0964,0.0904,0.1312,0.2377,0.2721,0.2988,0.2994,0.2864,0.2155,0.148,-0.16196771,0.5354573
46,0.0474,0.0606,0.0922,0.0864,0.1361,0.2383,0.2749,0.2766,0.2916,0.2796,0.2201,0.1487,-0.11375076,0.5239669
47,0.0474,0.0566,0.0822,0.0755,0.1361,0.2383,0.2749,0.267,0.2916,0.2796,0.2201,0.1487,-0.096284114,0.5591241
48,0.0488,0.0456,0.0752,0.0658,0.1109,0.2266,0.2567,0.268,0.2782,0.2796,0.1858,0.1133,-0.18113707,0.60575193
49,0.0488,0.0527,0.0744,0.0614,0.1109,0.2266,0.2567,0.2641,0.2782,0.2796,0.1858,0.1133,-0.17403865,0.62273425
50,0.0531,0.0472,0.0717,0.0596,0.105,0.2358,0.2775,0.2742,0.2958,0.2731,0.1832,0.1062,-0.19895057,0.64289993
51,0.0531,0.0466,0.0705,0.0606,0.105,0.2358,0.2775,0.2811,0.2958,0.2731,0.1832,0.1062,-0.21085505,0.6453029
52,0.0531,0.0466,0.0705,0.0606,0.105,0.2358,0.2775,0.2811,0.2958,0.2731,0.1832,0.1062,-0.21085505,0.6453029
53,0.059,0.049,0.0771,0.065,0.1327,0.243,0.2785,0.2778,0.2942,0.2723,0.219,0.1474,-0.11835749,0.62077016
54,0.059,0.0761,0.0959,0.1092,0.1327,0.243,0.2785,0.2624,0.2942,0.2723,0.219,0.1474,-0.09015373,0.41227126
55,0.0629,0.0938,0.115,0.1328,0.173,0.2301,0.2515,0.2561,0.2717,0.2723,0.2264,0.1636,-0.061554395,0.3170481
56,0.0629,0.0986,0.1218,0.1364,0.173,0.2301,0.2515,0.2519,0.2717,0.2723,0.2264,0.1636,-0.053313788,0.2974504
57,0.0638,0.0998,0.1084,0.129,0.1467,0.2335,0.2658,0.2595,0.277,0.2723,0.2035,0.1328,-0.12095031,0.33590734
58,0.0638,0.0773,0.0962,0.0942,0.1467,0.2335,0.2658,0.26,0.277,0.2723,0.2035,0.1328,-0.12189858,0.4680971
59,0.0637,0.0705,0.0932,0.0826,0.1205,0.2371,0.2801,0.2717,0.2915,0.29,0.183,0.1089,-0.19507366,0.5337285
60,0.0637,0.0717,0.0922,0.0821,0.1205,0.2371,0.2801,0.2799,0.2915,0.29,0.183,0.1089,-0.2093325,0.5464089
61,0.0637,0.0717,0.0922,0.0821,0.1205,0.2371,0.2801,0.2799,0.2915,0.29,0.183,0.1089,-0.2093325,0.5464089
