Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDWI	NDBI	PISI
58.5	5.5	77.9412884512318	29.798900497218938	0.0579	0.0583	0.0644	0.0578	0.0807	0.1154	0.1177	0.1228	0.1345	0.1517	0.1125	0.0749	0.3599114	0.24228628	-0.04377392	0.05233356
59.5	5.5	77.94138069092658	29.798900497218938	0.0613	0.0597	0.0654	0.0589	0.0858	0.114	0.1248	0.1178	0.1355	0.1337	0.1135	0.0755	0.33333334	0.21883084	-0.018590568	0.056347944
2.5	6.5	77.93612302832432	29.79880825752416	0.0611	0.0604	0.0792	0.0635	0.0991	0.1573	0.1759	0.1946	0.1811	0.1835	0.1252	0.076	0.5079427	0.43828532	-0.21701062	0.0128765805
48.5	6.5	77.94036605428403	29.79880825752416	0.0607	0.0623	0.0761	0.065	0.0893	0.1311	0.1357	0.1544	0.1538	0.1645	0.1111	0.0698	0.40747496	0.3773417	-0.16308852	0.037487756
49.5	6.5	77.9404582939788	29.79880825752416	0.0607	0.0616	0.0706	0.0594	0.0893	0.1311	0.1357	0.147	0.1538	0.1645	0.1111	0.0698	0.4244186	0.35608858	-0.13909335	0.041158218
50.5	6.5	77.94055053367359	29.79880825752416	0.0607	0.0622	0.0768	0.0646	0.0967	0.136	0.1483	0.1484	0.1557	0.1645	0.1241	0.0814	0.39342722	0.29155785	-0.08917429	0.040846843
51.5	6.5	77.94064277336837	29.79880825752416	0.0607	0.0672	0.0836	0.0709	0.0967	0.136	0.1483	0.156	0.1557	0.1645	0.1241	0.0814	0.3750551	0.3142376	-0.113887906	0.040584236
52.5	6.5	77.94073501306313	29.79880825752416	0.0571	0.0678	0.0822	0.0713	0.098	0.136	0.1436	0.145	0.1571	0.1363	0.1266	0.0822	0.34073046	0.27640843	-0.067746684	0.047384262
53.5	6.5	77.94082725275791	29.79880825752416	0.0571	0.0678	0.0822	0.0713	0.098	0.136	0.1436	0.145	0.1571	0.1363	0.1266	0.0822	0.34073046	0.27640843	-0.067746684	0.047384262
54.5	6.5	77.9409194924527	29.79880825752416	0.0571	0.0641	0.0843	0.0756	0.098	0.136	0.1436	0.1504	0.1571	0.1363	0.1266	0.0822	0.33097345	0.29320723	-0.08592058	0.04125632
55.5	6.5	77.94101173214747	29.79880825752416	0.0571	0.061	0.0776	0.0678	0.0886	0.123	0.1335	0.1444	0.1431	0.1363	0.1199	0.0813	0.3609802	0.27957466	-0.09269768	0.0421578
56.5	6.5	77.94110397184224	29.79880825752416	0.0579	0.0597	0.0689	0.0651	0.0884	0.118	0.1281	0.1352	0.1373	0.1517	0.1172	0.0784	0.34997502	0.26591757	-0.07131534	0.046369046
57.5	6.5	77.94119621153702	29.79880825752416	0.0579	0.0538	0.0689	0.0636	0.0807	0.1154	0.1177	0.1317	0.1345	0.1517	0.1125	0.0749	0.34869426	0.27492738	-0.07862407	0.043543015
58.5	6.5	77.9412884512318	29.79880825752416	0.0579	0.0575	0.0686	0.0613	0.0807	0.1154	0.1177	0.1314	0.1345	0.1517	0.1125	0.0749	0.3637779	0.273873	-0.07749081	0.046746098
2.5	7.5	77.93612302832432	29.798716017829385	0.0611	0.0594	0.0764	0.0639	0.1022	0.1674	0.1853	0.1996	0.1956	0.1835	0.1294	0.077	0.5149905	0.44323933	-0.21337385	0.009189882
3.5	7.5	77.9362152680191	29.798716017829385	0.0611	0.059	0.0789	0.0647	0.0996	0.1669	0.1775	0.1974	0.1906	0.1835	0.1324	0.0814	0.5062953	0.41606888	-0.19708914	0.010123898
4.5	7.5	77.93630750771386	29.798716017829385	0.0611	0.0607	0.0785	0.0671	0.0996	0.1669	0.1775	0.1892	0.1906	0.1835	0.1324	0.0814	0.47639483	0.398374	-0.17661689	0.01621924
49.5	7.5	77.9404582939788	29.798716017829385	0.0607	0.0603	0.0776	0.0659	0.0893	0.1311	0.1357	0.1577	0.1538	0.1645	0.1111	0.0698	0.4105546	0.38637364	-0.17336309	0.033956807
50.5	7.5	77.94055053367359	29.798716017829385	0.0607	0.0626	0.0788	0.0703	0.0967	0.136	0.1483	0.1664	0.1557	0.1645	0.1241	0.0814	0.40599915	0.34301856	-0.14561102	0.03085152
51.5	7.5	77.94064277336837	29.798716017829385	0.0607	0.0649	0.0838	0.0738	0.0967	0.136	0.1483	0.1654	0.1557	0.1645	0.1241	0.0814	0.38294315	0.34035656	-0.14265975	0.033309184
52.5	7.5	77.94073501306313	29.798716017829385	0.0571	0.0677	0.0829	0.072	0.098	0.136	0.1436	0.1525	0.1571	0.1363	0.1266	0.0822	0.35857463	0.29953134	-0.0927983	0.043001086
53.5	7.5	77.94082725275791	29.798716017829385	0.0571	0.0667	0.0816	0.0759	0.098	0.136	0.1436	0.1494	0.1571	0.1363	0.1266	0.0822	0.32623166	0.29015544	-0.08260869	0.04395974
54.5	7.5	77.9409194924527	29.798716017829385	0.0571	0.0667	0.0816	0.0759	0.098	0.136	0.1436	0.1494	0.1571	0.1363	0.1266	0.0822	0.32623166	0.29015544	-0.08260869	0.04395974
55.5	7.5	77.94101173214747	29.798716017829385	0.0571	0.0605	0.0752	0.0668	0.0886	0.123	0.1335	0.1427	0.1431	0.1363	0.1199	0.0813	0.3622912	0.27410716	-0.08682406	0.04272315
56.5	7.5	77.94110397184224	29.798716017829385	0.0571	0.0578	0.0686	0.0614	0.0886	0.123	0.1335	0.1388	0.1431	0.1363	0.1199	0.0813	0.38661337	0.2612449	-0.07305756	0.042747963
57.5	7.5	77.94119621153702	29.798716017829385	0.0571	0.0544	0.0709	0.0619	0.0835	0.1203	0.1276	0.1305	0.1379	0.1363	0.1169	0.0762	0.35654888	0.26269957	-0.054971732	0.04472273
58.5	7.5	77.9412884512318	29.798716017829385	0.0571	0.0579	0.0677	0.0612	0.0835	0.1203	0.1276	0.1362	0.1379	0.1363	0.1169	0.0762	0.3799392	0.28248584	-0.07625444	0.044320982
2.5	8.5	77.93612302832432	29.79862377813461	0.0611	0.0594	0.0779	0.0649	0.1022	0.1674	0.1853	0.2036	0.1956	0.1835	0.1294	0.077	0.51657355	0.45117605	-0.22282283	0.0068958774
3.5	8.5	77.9362152680191	29.79862377813461	0.0611	0.059	0.0785	0.0661	0.0996	0.1669	0.1775	0.1974	0.1906	0.1835	0.1324	0.0814	0.4982922	0.41606888	-0.19708914	0.010123898
4.5	8.5	77.93630750771386	29.79862377813461	0.0611	0.0607	0.0774	0.0662	0.0996	0.1669	0.1775	0.182	0.1906	0.1835	0.1324	0.0814	0.4665592	0.38192862	-0.15776078	0.02034844
