Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDBI	NDVI
60.5	2.5	77.94147293062134	29.799177216303267	0.0723	0.0645	0.0791	0.0635	0.1048	0.2275	0.2646	0.2475	0.2768	0.2557	0.1746	0.0986	-0.17270789	0.5916399
59.5	3.5	77.94138069092658	29.79908497660849	0.0723	0.0657	0.08	0.0628	0.0988	0.2305	0.2751	0.2864	0.2988	0.2557	0.1641	0.0836	-0.2714761	0.6403207
60.5	3.5	77.94147293062134	29.79908497660849	0.0723	0.0634	0.0781	0.0628	0.0988	0.2305	0.2751	0.2604	0.2988	0.2557	0.1641	0.0836	-0.2268551	0.6113861
61.5	3.5	77.94156517031612	29.79908497660849	0.0723	0.0623	0.0789	0.0625	0.0981	0.204	0.2386	0.2598	0.2549	0.2557	0.153	0.0825	-0.2587209	0.6121626
58.5	4.5	77.9412884512318	29.798992736913714	0.0678	0.0644	0.0796	0.0604	0.1048	0.2168	0.2552	0.2666	0.2763	0.2541	0.1778	0.1047	-0.19982001	0.630581
59.5	4.5	77.94138069092658	29.798992736913714	0.0723	0.0623	0.0801	0.0597	0.0988	0.2305	0.2751	0.2592	0.2988	0.2557	0.1641	0.0836	-0.22466335	0.62558794
60.5	4.5	77.94147293062134	29.798992736913714	0.0723	0.0629	0.0796	0.063	0.0988	0.2305	0.2751	0.2676	0.2988	0.2557	0.1641	0.0836	-0.2397498	0.6188748
61.5	4.5	77.94156517031612	29.798992736913714	0.0723	0.0622	0.0806	0.06	0.0981	0.204	0.2386	0.268	0.2549	0.2557	0.153	0.0825	-0.27315918	0.63414633
62.5	4.5	77.9416574100109	29.798992736913714	0.0723	0.0622	0.0806	0.06	0.0981	0.204	0.2386	0.268	0.2549	0.2557	0.153	0.0825	-0.27315918	0.63414633
57.5	5.5	77.94119621153702	29.798900497218938	0.0678	0.0616	0.0809	0.0647	0.1	0.2251	0.2668	0.2698	0.2865	0.2541	0.1641	0.086	-0.24360451	0.613154
58.5	5.5	77.9412884512318	29.798900497218938	0.0678	0.0599	0.0772	0.0584	0.1	0.2251	0.2668	0.2602	0.2865	0.2541	0.1641	0.086	-0.22649066	0.6333961
59.5	5.5	77.94138069092658	29.798900497218938	0.0723	0.0618	0.0808	0.0593	0.0981	0.242	0.2874	0.2868	0.304	0.2557	0.1658	0.0833	-0.2673442	0.65732443
60.5	5.5	77.94147293062134	29.798900497218938	0.0723	0.0629	0.0808	0.0608	0.0981	0.242	0.2874	0.277	0.304	0.2557	0.1658	0.0833	-0.25112918	0.6400237
61.5	5.5	77.94156517031612	29.798900497218938	0.0723	0.0634	0.0802	0.0604	0.0919	0.2018	0.2369	0.251	0.2556	0.2557	0.1479	0.0807	-0.25846073	0.6120745
62.5	5.5	77.9416574100109	29.798900497218938	0.0723	0.0642	0.0753	0.0595	0.0919	0.2018	0.2369	0.2043	0.2556	0.2557	0.1479	0.0807	-0.16013628	0.54890066
56.5	6.5	77.94110397184224	29.79880825752416	0.0678	0.0655	0.0786	0.0641	0.1088	0.2079	0.2421	0.2442	0.246	0.2541	0.1731	0.1056	-0.17038105	0.5841713
57.5	6.5	77.94119621153702	29.79880825752416	0.0678	0.0644	0.08	0.0616	0.1	0.2251	0.2668	0.2678	0.2865	0.2541	0.1641	0.086	-0.24010186	0.62598664
58.5	6.5	77.9412884512318	29.79880825752416	0.0678	0.0637	0.0761	0.0606	0.1	0.2251	0.2668	0.2786	0.2865	0.2541	0.1641	0.086	-0.25864017	0.6426887
59.5	6.5	77.94138069092658	29.79880825752416	0.0723	0.064	0.0808	0.0618	0.0981	0.242	0.2874	0.3038	0.304	0.2557	0.1658	0.0833	-0.29386708	0.6619256
60.5	6.5	77.94147293062134	29.79880825752416	0.0723	0.0634	0.0796	0.0613	0.0981	0.242	0.2874	0.2964	0.304	0.2557	0.1658	0.0833	-0.28256166	0.6572547
61.5	6.5	77.94156517031612	29.79880825752416	0.0723	0.0641	0.0806	0.0623	0.0919	0.2018	0.2369	0.2544	0.2556	0.2557	0.1479	0.0807	-0.26472783	0.60656774
55.5	7.5	77.94101173214747	29.798716017829385	0.0691	0.0634	0.0815	0.0624	0.0982	0.2231	0.2652	0.2657	0.2746	0.2868	0.1522	0.0767	-0.2715961	0.6196282
56.5	7.5	77.94110397184224	29.798716017829385	0.0691	0.0634	0.0799	0.0635	0.0982	0.2231	0.2652	0.2845	0.2746	0.2868	0.1522	0.0767	-0.302954	0.63505745
57.5	7.5	77.94119621153702	29.798716017829385	0.0691	0.0637	0.0795	0.0593	0.1008	0.2424	0.2834	0.27	0.2995	0.2868	0.162	0.0804	-0.25000003	0.6398421
58.5	7.5	77.9412884512318	29.798716017829385	0.0691	0.0648	0.0781	0.0616	0.1008	0.2424	0.2834	0.2746	0.2995	0.2868	0.162	0.0804	-0.25790197	0.6335515
59.5	7.5	77.94138069092658	29.798716017829385	0.0828	0.0666	0.0781	0.0616	0.106	0.2311	0.2715	0.2802	0.2944	0.252	0.1614	0.0863	-0.26902172	0.6395553
