Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
35.5	34.5	77.86297695036657	29.82583448809367	0.0747	0.0996	0.1446	0.1668	0.2025	0.2566	0.2771	0.2752	0.2963	0.2767	0.3293	0.2706	-0.0012348836	0.24524887	0.08949541	-0.3111005
36.5	34.5	77.86306919006134	29.82583448809367	0.0747	0.0955	0.1362	0.156	0.2025	0.2566	0.2771	0.2686	0.2963	0.2767	0.3293	0.2706	-8.084927E-4	0.26519075	0.101522	-0.3270751
33.5	35.5	77.86279247097701	29.825742248398893	0.0642	0.0797	0.1136	0.1306	0.1789	0.2244	0.2475	0.2494	0.2678	0.2767	0.3063	0.2536	-0.0027406623	0.31263158	0.10239339	-0.37410468
34.5	35.5	77.86288471067179	29.825742248398893	0.0642	0.1044	0.1382	0.1552	0.1789	0.2244	0.2475	0.2771	0.2678	0.2767	0.3063	0.2536	0.0016076331	0.2819801	0.05005145	-0.334457
35.5	35.5	77.86297695036657	29.825742248398893	0.0694	0.1078	0.1484	0.1682	0.2023	0.2477	0.2723	0.2829	0.2905	0.2767	0.3319	0.2799	0.0010666064	0.25426736	0.07970071	-0.31184793
36.5	35.5	77.86306919006134	29.825742248398893	0.0694	0.0995	0.1378	0.1558	0.2023	0.2477	0.2723	0.2719	0.2905	0.2767	0.3319	0.2799	5.757514E-4	0.27145195	0.09937066	-0.32731268
32.5	36.5	77.86270023128223	29.825650008704116	0.0642	0.0766	0.1078	0.1306	0.1789	0.2244	0.2475	0.2224	0.2678	0.2767	0.3063	0.2536	0.010204324	0.2600566	0.15869117	-0.34706238
33.5	36.5	77.86279247097701	29.825650008704116	0.0642	0.0766	0.1078	0.1306	0.1789	0.2244	0.2475	0.2224	0.2678	0.2767	0.3063	0.2536	0.010204324	0.2600566	0.15869117	-0.34706238
34.5	36.5	77.86288471067179	29.825650008704116	0.0642	0.0874	0.1202	0.1382	0.1789	0.2244	0.2475	0.2509	0.2678	0.2767	0.3063	0.2536	0.0027069272	0.28964278	0.099425726	-0.35219616
35.5	36.5	77.86297695036657	29.825650008704116	0.0694	0.0962	0.1368	0.1504	0.2023	0.2477	0.2723	0.2745	0.2905	0.2767	0.3319	0.2799	-0.0036187198	0.29206875	0.094656974	-0.33479214
36.5	36.5	77.86306919006134	29.825650008704116	0.0694	0.0935	0.1362	0.1512	0.2023	0.2477	0.2723	0.2753	0.2905	0.2767	0.3319	0.2799	-0.006289345	0.29097304	0.093214765	-0.3380316
32.5	37.5	77.86270023128223	29.82555776900934	0.0589	0.0769	0.109	0.1334	0.1584	0.1905	0.2078	0.2146	0.2288	0.2767	0.2825	0.2304	0.01492338	0.23333335	0.13659224	-0.3263288
33.5	37.5	77.86279247097701	29.82555776900934	0.0589	0.0769	0.109	0.1334	0.1584	0.1905	0.2078	0.2146	0.2288	0.2767	0.2825	0.2304	0.01492338	0.23333335	0.13659224	-0.3263288
34.5	37.5	77.86288471067179	29.82555776900934	0.0589	0.0786	0.1082	0.1298	0.1584	0.1905	0.2078	0.2172	0.2288	0.2767	0.2825	0.2304	0.014824919	0.25187317	0.13067842	-0.33497235
35.5	37.5	77.86297695036657	29.82555776900934	0.0633	0.0828	0.1158	0.13	0.1743	0.2154	0.2305	0.2458	0.2518	0.2767	0.3016	0.247	0.0018634588	0.30814266	0.10193644	-0.35951328
36.5	37.5	77.86306919006134	29.82555776900934	0.0633	0.0864	0.129	0.1404	0.1743	0.2154	0.2305	0.2626	0.2518	0.2767	0.3016	0.247	-0.0048222207	0.3032258	0.06912443	-0.3411645
33.5	38.5	77.86279247097701	29.825465529314563	0.0589	0.0778	0.1096	0.1318	0.1584	0.1905	0.2078	0.207	0.2288	0.2767	0.2825	0.2304	0.020019257	0.22195987	0.15423901	-0.3076437
34.5	38.5	77.86288471067179	29.825465529314563	0.0589	0.0778	0.1096	0.1318	0.1584	0.1905	0.2078	0.207	0.2288	0.2767	0.2825	0.2304	0.020019257	0.22195987	0.15423901	-0.3076437
35.5	38.5	77.86297695036657	29.825465529314563	0.0633	0.0776	0.1076	0.1256	0.1743	0.2154	0.2305	0.214	0.2518	0.2767	0.3016	0.247	0.015840922	0.26030627	0.16989915	-0.33084577
36.5	38.5	77.86306919006134	29.825465529314563	0.0633	0.083	0.1102	0.1262	0.1743	0.2154	0.2305	0.2294	0.2518	0.2767	0.3016	0.247	0.011432701	0.2902137	0.13596989	-0.35100114
34.5	39.5	77.86288471067179	29.825373289619787	0.0527	0.0751	0.1056	0.1262	0.1513	0.1937	0.2123	0.2036	0.2377	0.2858	0.2681	0.2097	0.019757316	0.23468769	0.13673943	-0.31694698
35.5	39.5	77.86297695036657	29.825373289619787	0.0563	0.0763	0.1052	0.127	0.1545	0.1844	0.1983	0.201	0.2103	0.2858	0.2704	0.2188	0.02223146	0.22560975	0.14722101	-0.3128674
35.5	40.5	77.86297695036657	29.82528104992501	0.0563	0.0742	0.1012	0.124	0.1545	0.1844	0.1983	0.2002	0.2103	0.2858	0.2704	0.2188	0.020969933	0.23504013	0.14917123	-0.32846716
9.5	103.5	77.86057871830238	29.819469949154094	0.0514	0.0726	0.1028	0.1226	0.1479	0.1789	0.1908	0.1864	0.2042	0.2562	0.2452	0.2089	0.027573522	0.2064725	0.13623725	-0.28907332
10.5	103.5	77.86067095799716	29.819469949154094	0.0497	0.0722	0.0974	0.1136	0.1392	0.1891	0.207	0.2008	0.2197	0.2268	0.2277	0.1825	0.01898744	0.2773537	0.06277712	-0.34674713
8.5	104.5	77.8604864786076	29.819377709459317	0.0514	0.0724	0.1036	0.1266	0.1479	0.1789	0.1908	0.1914	0.2042	0.2562	0.2452	0.2089	0.024542179	0.20377362	0.12322489	-0.29762712
9.5	104.5	77.86057871830238	29.819377709459317	0.0514	0.0715	0.1014	0.1202	0.1479	0.1789	0.1908	0.1858	0.2042	0.2562	0.2452	0.2089	0.027016502	0.21437909	0.137819	-0.29387185
10.5	104.5	77.86067095799716	29.819377709459317	0.0497	0.0739	0.1007	0.1252	0.1392	0.1891	0.207	0.1868	0.2197	0.2268	0.2277	0.1825	0.028409077	0.19743589	0.09867308	-0.29947826
11.5	104.5	77.86076319769194	29.819377709459317	0.0497	0.0733	0.1038	0.1236	0.1392	0.1891	0.207	0.2009	0.2197	0.2268	0.2277	0.1825	0.019831205	0.23821265	0.06252915	-0.31867412
12.5	104.5	77.8608554373867	29.819377709459317	0.0497	0.0733	0.1038	0.1236	0.1392	0.1891	0.207	0.2009	0.2197	0.2268	0.2277	0.1825	0.019831205	0.23821265	0.06252915	-0.31867412
8.5	105.5	77.8604864786076	29.81928546976454	0.0526	0.0716	0.1024	0.1194	0.1441	0.1802	0.1931	0.187	0.2098	0.2562	0.2436	0.2071	0.026410215	0.22062664	0.13144447	-0.29232898
9.5	105.5	77.86057871830238	29.81928546976454	0.0526	0.0738	0.1056	0.1216	0.1441	0.1802	0.1931	0.1918	0.2098	0.2562	0.2436	0.2071	0.025459658	0.22399488	0.11897106	-0.28984532
10.5	105.5	77.86067095799716	29.81928546976454	0.0525	0.0771	0.1058	0.129	0.1523	0.1726	0.1893	0.1904	0.2038	0.2268	0.2454	0.2162	0.028965918	0.19223548	0.12620467	-0.28561783
11.5	105.5	77.86076319769194	29.81928546976454	0.0525	0.0722	0.1046	0.1312	0.1523	0.1726	0.1893	0.1947	0.2038	0.2268	0.2454	0.2162	0.022485789	0.19484505	0.11520108	-0.30103576
12.5	105.5	77.8608554373867	29.81928546976454	0.0525	0.0722	0.1046	0.1312	0.1523	0.1726	0.1893	0.1947	0.2038	0.2268	0.2454	0.2162	0.022485789	0.19484505	0.11520108	-0.30103576
13.5	105.5	77.86094767708148	29.81928546976454	0.0519	0.0722	0.1026	0.1252	0.1423	0.1832	0.1985	0.1937	0.2207	0.2268	0.2334	0.1955	0.02305929	0.21480086	0.092952475	-0.30745867
8.5	106.5	77.8604864786076	29.819193230069764	0.0526	0.0659	0.0986	0.1136	0.1441	0.1802	0.1931	0.1998	0.2098	0.2562	0.2436	0.2071	0.014399978	0.27504787	0.09878213	-0.33914208
9.5	106.5	77.86057871830238	29.819193230069764	0.0526	0.0728	0.1078	0.1284	0.1441	0.1802	0.1931	0.2003	0.2098	0.2562	0.2436	0.2071	0.019765716	0.21874048	0.0975445	-0.3002272
10.5	106.5	77.86067095799716	29.819193230069764	0.0525	0.0771	0.1066	0.1294	0.1523	0.1726	0.1893	0.1921	0.2038	0.2268	0.2454	0.2162	0.027990969	0.19502334	0.121828556	-0.28624037
11.5	106.5	77.86076319769194	29.819193230069764	0.0525	0.0746	0.1072	0.1286	0.1523	0.1726	0.1893	0.1946	0.2038	0.2268	0.2454	0.2162	0.024509223	0.20420791	0.11545454	-0.28959578
12.5	106.5	77.8608554373867	29.819193230069764	0.0519	0.0772	0.1062	0.1266	0.1423	0.1832	0.1985	0.1892	0.2207	0.2268	0.2334	0.1955	0.029736044	0.19822673	0.10459064	-0.28097492
13.5	106.5	77.86094767708148	29.819193230069764	0.0519	0.0772	0.1062	0.1266	0.1423	0.1832	0.1985	0.1892	0.2207	0.2268	0.2334	0.1955	0.029736044	0.19822673	0.10459064	-0.28097492
14.5	106.5	77.86103991677626	29.819193230069764	0.0519	0.0798	0.107	0.122	0.1423	0.1832	0.1985	0.1915	0.2207	0.2268	0.2334	0.1955	0.030546917	0.22169057	0.09861146	-0.28308207
9.5	107.5	77.86057871830238	29.819100990374988	0.0495	0.0728	0.0982	0.1156	0.1265	0.209	0.2334	0.2106	0.2578	0.2562	0.227	0.164	0.01385866	0.29123238	0.037477136	-0.36398965
10.5	107.5	77.86067095799716	29.819100990374988	0.0509	0.0775	0.1062	0.1278	0.1465	0.1844	0.2044	0.1998	0.2194	0.2268	0.2367	0.1951	0.023902701	0.2197802	0.08453608	-0.30588233
11.5	107.5	77.86076319769194	29.819100990374988	0.0509	0.0756	0.1062	0.1282	0.1465	0.1844	0.2044	0.1923	0.2194	0.2268	0.2367	0.1951	0.026647465	0.20000003	0.103496484	-0.28844222
12.5	107.5	77.8608554373867	29.819100990374988	0.0514	0.0764	0.105	0.1272	0.1547	0.1726	0.1922	0.1907	0.2064	0.2268	0.2457	0.2156	0.02822043	0.19974831	0.12603118	-0.28982076
13.5	107.5	77.86094767708148	29.819100990374988	0.0514	0.0764	0.105	0.1272	0.1547	0.1726	0.1922	0.1907	0.2064	0.2268	0.2457	0.2156	0.02822043	0.19974831	0.12603118	-0.28982076
14.5	107.5	77.86103991677626	29.819100990374988	0.0514	0.0766	0.1086	0.1284	0.1547	0.1726	0.1922	0.1906	0.2064	0.2268	0.2457	0.2156	0.028441625	0.19498432	0.12628928	-0.27406415
15.5	107.5	77.86113215647104	29.819100990374988	0.0511	0.0744	0.1058	0.1288	0.1487	0.1817	0.1996	0.1914	0.2108	0.2268	0.2411	0.2096	0.026180577	0.1955028	0.11491328	-0.28802153
