Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
20.5	62.5	77.86159335494492	29.82325177663993	0.0784	0.0846	0.1038	0.1172	0.1348	0.15	0.1572	0.1659	0.169	0.1797	0.2289	0.2116	0.049160667	0.17202403	0.15957445	-0.23025587
21.5	62.5	77.8616855946397	29.82325177663993	0.0784	0.0846	0.1038	0.1172	0.1348	0.15	0.1572	0.1659	0.169	0.1797	0.2289	0.2116	0.049160667	0.17202403	0.15957445	-0.23025587
18.5	63.5	77.86140887555537	29.823159536945152	0.0784	0.0815	0.1021	0.12	0.131	0.1502	0.1595	0.1638	0.1713	0.1797	0.2271	0.2069	0.0478255	0.15433405	0.16193399	-0.23204212
19.5	63.5	77.86150111525015	29.823159536945152	0.0784	0.0857	0.1052	0.1172	0.131	0.1502	0.1595	0.1643	0.1713	0.1797	0.2271	0.2069	0.05097939	0.16731791	0.16044968	-0.21929498
20.5	63.5	77.86159335494492	29.823159536945152	0.0784	0.0819	0.1052	0.1164	0.1348	0.15	0.1572	0.1616	0.169	0.1797	0.2289	0.2116	0.049414884	0.1625899	0.17234316	-0.21139428
21.5	63.5	77.8616855946397	29.823159536945152	0.0784	0.0819	0.1052	0.1164	0.1348	0.15	0.1572	0.1616	0.169	0.1797	0.2289	0.2116	0.049414884	0.1625899	0.17234316	-0.21139428
22.5	63.5	77.86177783433448	29.823159536945152	0.0784	0.0804	0.103	0.118	0.1348	0.15	0.1572	0.1641	0.169	0.1797	0.2289	0.2116	0.046752326	0.16341725	0.16488548	-0.2287533
17.5	64.5	77.86131663586059	29.823067297250375	0.0695	0.0835	0.1034	0.1188	0.1354	0.1525	0.1623	0.1678	0.1771	0.1903	0.2282	0.2043	0.0471699	0.17096998	0.15252528	-0.23746312
18.5	64.5	77.86140887555537	29.823067297250375	0.0784	0.0844	0.1052	0.1212	0.1346	0.1494	0.1559	0.1662	0.1692	0.1797	0.2381	0.2199	0.04882478	0.15657619	0.17783827	-0.22476049
19.5	64.5	77.86150111525015	29.823067297250375	0.0784	0.0832	0.1052	0.12	0.1346	0.1494	0.1559	0.1634	0.1692	0.1797	0.2381	0.2199	0.049447544	0.15314043	0.18605234	-0.21667907
20.5	64.5	77.86159335494492	29.823067297250375	0.0784	0.0844	0.1052	0.117	0.1315	0.1435	0.152	0.1618	0.1644	0.1797	0.229	0.2134	0.05134818	0.16068867	0.17195497	-0.211985
21.5	64.5	77.8616855946397	29.823067297250375	0.0784	0.0844	0.1052	0.117	0.1315	0.1435	0.152	0.1618	0.1644	0.1797	0.229	0.2134	0.05134818	0.16068867	0.17195497	-0.211985
22.5	64.5	77.86177783433448	29.823067297250375	0.0784	0.0834	0.1044	0.118	0.1315	0.1435	0.152	0.1616	0.1644	0.1797	0.229	0.2134	0.050643686	0.15593703	0.17255507	-0.21503757
17.5	65.5	77.86131663586059	29.8229750575556	0.0695	0.0844	0.1052	0.1218	0.1354	0.1525	0.1623	0.1678	0.1771	0.1903	0.2282	0.2043	0.04790718	0.15883978	0.15252528	-0.22930402
18.5	65.5	77.86140887555537	29.8229750575556	0.0784	0.0841	0.1056	0.12	0.1346	0.1494	0.1559	0.171	0.1692	0.1797	0.2381	0.2199	0.04582622	0.17525776	0.16401859	-0.23644254
19.5	65.5	77.86150111525015	29.8229750575556	0.0784	0.0815	0.106	0.1226	0.1346	0.1494	0.1559	0.1686	0.1692	0.1797	0.2381	0.2199	0.045072705	0.15796703	0.17088766	-0.22796793
20.5	65.5	77.86159335494492	29.8229750575556	0.0784	0.0834	0.1038	0.1186	0.1315	0.1435	0.152	0.1644	0.1644	0.1797	0.229	0.2134	0.049037885	0.16183743	0.16420947	-0.22595078
21.5	65.5	77.8616855946397	29.8229750575556	0.0784	0.0802	0.1002	0.1166	0.1315	0.1435	0.152	0.1651	0.1644	0.1797	0.229	0.2134	0.046014994	0.17216896	0.1621416	-0.24462871
22.5	65.5	77.86177783433448	29.8229750575556	0.0784	0.0802	0.1002	0.1166	0.1315	0.1435	0.152	0.1651	0.1644	0.1797	0.229	0.2134	0.046014994	0.17216896	0.1621416	-0.24462871
17.5	66.5	77.86131663586059	29.822882817860823	0.0695	0.0824	0.1017	0.1196	0.1276	0.142	0.1513	0.1633	0.1633	0.1903	0.2239	0.2111	0.048849534	0.15447153	0.1565083	-0.23245281
18.5	66.5	77.86140887555537	29.822882817860823	0.0784	0.0868	0.1064	0.1188	0.1337	0.1481	0.1564	0.17	0.166	0.1797	0.231	0.2209	0.04861156	0.17728533	0.15211971	-0.23010132
19.5	66.5	77.86150111525015	29.822882817860823	0.0784	0.0846	0.1056	0.1238	0.1337	0.1481	0.1564	0.166	0.166	0.1797	0.231	0.2209	0.049103323	0.14561763	0.16372798	-0.22238584
20.5	66.5	77.86159335494492	29.822882817860823	0.0784	0.0836	0.105	0.1196	0.1291	0.149	0.1524	0.1633	0.163	0.1797	0.2122	0.195	0.049832575	0.15447153	0.13022639	-0.21729407
21.5	66.5	77.8616855946397	29.822882817860823	0.0784	0.0845	0.1011	0.1182	0.1291	0.149	0.1524	0.1641	0.163	0.1797	0.2122	0.195	0.050111048	0.16259302	0.12782353	-0.23755659
22.5	66.5	77.86177783433448	29.822882817860823	0.0784	0.0845	0.1011	0.1182	0.1291	0.149	0.1524	0.1641	0.163	0.1797	0.2122	0.195	0.050111048	0.16259302	0.12782353	-0.23755659
17.5	67.5	77.86131663586059	29.822790578166046	0.0695	0.0788	0.0979	0.1126	0.1276	0.142	0.1513	0.1537	0.1633	0.1903	0.2239	0.2111	0.051406015	0.1543372	0.18591104	-0.22178057
