,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.0858,0.0897,0.1013,0.1124,0.1136,0.1274,0.1328,0.1378,0.1425,0.1676,0.1675,0.1552,0.06945394,0.10151875,0.0972814,0
1,0.0862,0.084,0.0947,0.1013,0.1242,0.1514,0.1486,0.1454,0.1623,0.1638,0.172,0.154,0.060425896,0.17875963,0.08380593,0
2,0.0862,0.1009,0.1214,0.1294,0.1242,0.1514,0.1486,0.1585,0.1623,0.1638,0.172,0.154,0.06675753,0.10107677,0.040847216,0
3,0.0862,0.0948,0.1136,0.116,0.1338,0.1795,0.1843,0.199,0.2003,0.1638,0.1705,0.1399,0.03853366,0.26349208,-0.07713127,0
4,0.0862,0.0653,0.0897,0.083,0.1338,0.1795,0.1843,0.2151,0.2003,0.1638,0.1705,0.1399,0.005133909,0.4431399,-0.11566392,0
5,0.0862,0.0761,0.0881,0.0905,0.1029,0.1468,0.1661,0.1895,0.1762,0.1638,0.1614,0.1306,0.028662868,0.35357144,-0.08007979,0
6,0.0862,0.0636,0.0808,0.0689,0.1029,0.1468,0.1661,0.2197,0.1762,0.1638,0.1614,0.1306,0.0011031766,0.5225225,-0.1529782,0
7,0.0862,0.0675,0.0819,0.0844,0.1029,0.1468,0.1661,0.1322,0.1762,0.1638,0.1614,0.1306,0.0544793,0.2206833,0.09945504,0
8,0.0878,0.0854,0.1003,0.1074,0.1264,0.1396,0.1377,0.1377,0.1494,0.1603,0.1793,0.16,0.06598873,0.123623036,0.13123025,0
9,0.0878,0.0999,0.1152,0.1256,0.1264,0.1396,0.1377,0.1696,0.1494,0.1603,0.1793,0.16,0.059572484,0.14905149,0.027801665,0
10,0.0858,0.0925,0.1042,0.114,0.1338,0.137,0.1448,0.1416,0.1532,0.1676,0.1843,0.1732,0.0695684,0.10798121,0.13102181,0
11,0.0858,0.0915,0.1074,0.11,0.1338,0.137,0.1448,0.1424,0.1532,0.1676,0.1843,0.1732,0.068290405,0.12836766,0.12825225,0
12,0.0862,0.0974,0.1182,0.1278,0.1408,0.1547,0.1572,0.1754,0.1711,0.1638,0.1961,0.1785,0.05419818,0.15699208,0.055720035,0
13,0.0862,0.111,0.122,0.136,0.1408,0.1547,0.1572,0.1834,0.1711,0.1638,0.1961,0.1785,0.060751297,0.14840324,0.03346506,0
14,0.0862,0.0901,0.1072,0.1064,0.1251,0.138,0.148,0.1678,0.1582,0.1638,0.1764,0.1533,0.05257662,0.22392413,0.024985507,0
15,0.0862,0.0811,0.0993,0.101,0.1251,0.138,0.148,0.1656,0.1582,0.1638,0.1764,0.1533,0.04646552,0.24231057,0.031578958,0
16,0.0862,0.0863,0.1082,0.1084,0.1212,0.1338,0.1416,0.1562,0.1445,0.1638,0.1704,0.1532,0.056116257,0.18065006,0.04347822,0
17,0.0862,0.0863,0.1082,0.1084,0.1212,0.1338,0.1416,0.1562,0.1445,0.1638,0.1704,0.1532,0.056116257,0.18065006,0.04347822,0
18,0.0862,0.0854,0.0971,0.106,0.1029,0.1468,0.1661,0.1512,0.1762,0.1638,0.1614,0.1306,0.058246482,0.17573872,0.032629587,0
19,0.0878,0.0935,0.1044,0.1154,0.1264,0.1396,0.1377,0.1622,0.1494,0.1603,0.1793,0.16,0.0585735,0.16858791,0.05007318,0
20,0.0878,0.0941,0.1124,0.112,0.1264,0.1396,0.1377,0.1509,0.1494,0.1603,0.1793,0.16,0.06554557,0.14796501,0.086008444,0
21,0.0878,0.0871,0.1005,0.1088,0.1292,0.142,0.1485,0.1464,0.1593,0.1603,0.1825,0.1675,0.06239192,0.14733543,0.1097598,0
22,0.0858,0.1092,0.129,0.1236,0.1326,0.1507,0.1512,0.16,0.1637,0.1676,0.1955,0.1864,0.07269664,0.12834978,0.099859364,0
23,0.0858,0.0879,0.1028,0.1098,0.1338,0.137,0.1448,0.1378,0.1532,0.1676,0.1843,0.1732,0.06797938,0.11308558,0.14436515,0
24,0.0858,0.1015,0.1118,0.1224,0.1338,0.137,0.1448,0.1622,0.1532,0.1676,0.1843,0.1732,0.0651271,0.1398454,0.063780665,0
25,0.0862,0.1108,0.1318,0.144,0.1408,0.1547,0.1572,0.1932,0.1711,0.1638,0.1961,0.1785,0.054967154,0.1459075,0.007449241,0
26,0.0862,0.0888,0.1066,0.1224,0.1408,0.1547,0.1572,0.1663,0.1711,0.1638,0.1961,0.1785,0.052371908,0.15206096,0.08222958,0
27,0.0862,0.0827,0.093,0.097,0.1251,0.138,0.148,0.1356,0.1582,0.1638,0.1764,0.1533,0.06498124,0.16595012,0.13076924,0
28,0.0862,0.0783,0.0908,0.101,0.1251,0.138,0.148,0.1221,0.1582,0.1638,0.1764,0.1533,0.06911901,0.09457642,0.18190955,0
29,0.0862,0.0897,0.104,0.1116,0.1212,0.1338,0.1416,0.1456,0.1445,0.1638,0.1704,0.1532,0.06498063,0.13219288,0.078480974,0
30,0.0862,0.0897,0.104,0.1116,0.1212,0.1338,0.1416,0.1456,0.1445,0.1638,0.1704,0.1532,0.06498063,0.13219288,0.078480974,0
31,0.0862,0.0941,0.1106,0.119,0.1212,0.1338,0.1416,0.1495,0.1445,0.1638,0.1704,0.1532,0.06634847,0.11359402,0.065332904,0
32,0.0878,0.0905,0.1023,0.11,0.1268,0.1313,0.1352,0.1548,0.1458,0.1603,0.1738,0.1617,0.0603598,0.16918428,0.057821084,0
33,0.0878,0.1042,0.123,0.1282,0.1268,0.1313,0.1352,0.1512,0.1458,0.1603,0.1738,0.1617,0.07364744,0.08231927,0.06953849,0
34,0.0878,0.0897,0.0937,0.1028,0.111,0.1213,0.125,0.1278,0.1397,0.1603,0.1698,0.1557,0.075188935,0.10841286,0.14112902,0
35,0.0878,0.0796,0.0852,0.0966,0.111,0.1213,0.125,0.1342,0.1397,0.1603,0.1698,0.1557,0.06324462,0.16291162,0.11710523,0
36,0.0878,0.0733,0.0866,0.0884,0.1199,0.1339,0.134,0.135,0.148,0.1603,0.1703,0.1553,0.057624854,0.20859447,0.11562397,0
37,0.0858,0.1386,0.1578,0.1692,0.146,0.1604,0.1633,0.2175,0.176,0.1676,0.2038,0.1808,0.06380487,0.124903016,-0.032518417,0
38,0.0858,0.098,0.114,0.1302,0.146,0.1604,0.1633,0.1639,0.176,0.1676,0.2038,0.1808,0.061284944,0.11458689,0.10851235,0
39,0.0858,0.0954,0.114,0.1234,0.1365,0.1425,0.1537,0.1608,0.1573,0.1676,0.1944,0.1782,0.060932882,0.13159744,0.094594605,0
40,0.0858,0.1066,0.118,0.1364,0.1365,0.1425,0.1537,0.1806,0.1573,0.1676,0.1944,0.1782,0.05875262,0.13943219,0.036799986,0
41,0.0862,0.1072,0.1218,0.1382,0.1413,0.1559,0.1608,0.1736,0.1717,0.1638,0.1971,0.1855,0.06325863,0.113534324,0.06339357,0
42,0.0862,0.093,0.111,0.1184,0.1413,0.1559,0.1608,0.1594,0.1717,0.1638,0.1971,0.1855,0.0597697,0.1475882,0.105750345,0
43,0.0862,0.0912,0.1048,0.1138,0.1184,0.1323,0.133,0.161,0.1536,0.1638,0.1774,0.1645,0.057377543,0.17176129,0.04846334,0
44,0.0862,0.0929,0.1126,0.1144,0.1184,0.1323,0.133,0.1524,0.1536,0.1638,0.1774,0.1645,0.06370228,0.1424288,0.07580349,0
45,0.0862,0.0915,0.1076,0.1152,0.1236,0.1313,0.1317,0.1486,0.1441,0.1638,0.1736,0.1615,0.0647347,0.12661107,0.077591576,0
46,0.0862,0.0915,0.1076,0.1152,0.1236,0.1313,0.1317,0.1486,0.1441,0.1638,0.1736,0.1615,0.0647347,0.12661107,0.077591576,0
47,0.0862,0.0934,0.1088,0.1226,0.1236,0.1313,0.1317,0.1522,0.1441,0.1638,0.1736,0.1615,0.06422658,0.10771471,0.06568448,0
48,0.0878,0.0938,0.1013,0.112,0.1274,0.1393,0.1382,0.1384,0.1535,0.1603,0.1835,0.171,0.07246856,0.1054313,0.14010563,0
49,0.0878,0.095,0.1158,0.1218,0.1268,0.1313,0.1352,0.1473,0.1458,0.1603,0.1738,0.1617,0.06834745,0.094760336,0.08252881,0
50,0.0878,0.0882,0.0984,0.1004,0.111,0.1213,0.125,0.13,0.1397,0.1603,0.1698,0.1557,0.072698444,0.1284722,0.13275519,0
51,0.0878,0.0844,0.0946,0.0958,0.111,0.1213,0.125,0.1165,0.1397,0.1603,0.1698,0.1557,0.07732773,0.097503535,0.18616836,0
52,0.0878,0.0869,0.0982,0.0952,0.1199,0.1339,0.134,0.1234,0.148,0.1603,0.1703,0.1553,0.075418584,0.12900275,0.15968676,0
53,0.0858,0.1078,0.1242,0.1324,0.146,0.1604,0.1633,0.1914,0.176,0.1676,0.2038,0.1808,0.053541854,0.18221124,0.031376485,0
54,0.0858,0.1078,0.1242,0.1324,0.146,0.1604,0.1633,0.1914,0.176,0.1676,0.2038,0.1808,0.053541854,0.18221124,0.031376485,0
55,0.0858,0.0896,0.1098,0.125,0.146,0.1604,0.1633,0.1648,0.176,0.1676,0.2038,0.1808,0.053887516,0.1373361,0.105805725,0
