,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0785,0.0886,0.1116,0.1244,0.1388,0.1669,0.1778,0.1836,0.1868,0.192,0.2245,0.2048,0.042286526,0.19220778,0.10022055
1,0.0785,0.0844,0.1108,0.1158,0.1388,0.1669,0.1778,0.1908,0.1868,0.192,0.2245,0.2048,0.03471668,0.24461839,0.08114617
2,0.0785,0.0843,0.1072,0.1118,0.1306,0.1627,0.1713,0.1869,0.1808,0.192,0.2111,0.1914,0.036871403,0.25142285,0.060804002
3,0.0785,0.081,0.1058,0.11,0.1306,0.1627,0.1713,0.178,0.1808,0.192,0.2111,0.1914,0.039272197,0.23611112,0.08506809
4,0.0785,0.0833,0.1034,0.1152,0.1324,0.1627,0.1665,0.1855,0.1772,0.192,0.1921,0.1664,0.036855113,0.23378782,0.017478833
5,0.0785,0.0852,0.1066,0.1102,0.1324,0.1627,0.1665,0.183,0.1772,0.192,0.1921,0.1664,0.03984534,0.24829467,0.02426021
6,0.0785,0.0852,0.1066,0.1102,0.1324,0.1627,0.1665,0.183,0.1772,0.192,0.1921,0.1664,0.03984534,0.24829467,0.02426021
7,0.0737,0.0732,0.0926,0.0918,0.1165,0.1749,0.1993,0.1898,0.2094,0.2046,0.1622,0.1198,0.026115146,0.34801137,-0.07840906
8,0.0737,0.065,0.0872,0.0747,0.1165,0.1749,0.1993,0.2326,0.2094,0.2046,0.1622,0.1198,-0.005148104,0.5138301,-0.17831813
9,0.0737,0.0691,0.0891,0.0706,0.1076,0.1865,0.2045,0.2216,0.2099,0.2046,0.1503,0.1033,0.004519122,0.5167693,-0.1917182
10,0.0737,0.0695,0.0901,0.0717,0.1076,0.1865,0.2045,0.2122,0.2099,0.2046,0.1503,0.1033,0.010237698,0.49489257,-0.17075863
11,0.0737,0.0669,0.0908,0.0731,0.1163,0.1682,0.1835,0.1972,0.1888,0.2046,0.1703,0.1248,0.01671028,0.4591195,-0.07319726
12,0.0737,0.0705,0.0919,0.0807,0.1163,0.1682,0.1835,0.194,0.1888,0.2046,0.1703,0.1248,0.021494597,0.41244996,-0.065056264
13,0.082,0.0764,0.1023,0.1,0.1553,0.1909,0.2009,0.2059,0.2134,0.2162,0.2354,0.2001,0.019503228,0.34619156,0.066847965
14,0.082,0.0949,0.12,0.1396,0.1553,0.1909,0.2009,0.2251,0.2134,0.2162,0.2354,0.2001,0.02364723,0.23443928,0.022367015
