Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
30.5	16.5	77.86251575189269	29.827494802599645	0.0948	0.106	0.123	0.1316	0.1781	0.2072	0.2153	0.1821	0.2208	0.2474	0.2358	0.2113	0.05740085	0.1609818	0.12849964	-0.19370696
31.5	16.5	77.86260799158747	29.827494802599645	0.0942	0.112	0.1358	0.1524	0.1987	0.2218	0.2273	0.1948	0.2377	0.2474	0.2409	0.2147	0.0550326	0.12211982	0.10580672	-0.1784634
27.5	17.5	77.86223903280836	29.82740256290487	0.0859	0.1416	0.1696	0.1832	0.1862	0.2486	0.2669	0.27	0.2734	0.2474	0.2608	0.2219	0.03615371	0.19152693	-0.017332342	-0.22838947
28.5	17.5	77.86233127250313	29.82740256290487	0.0937	0.1096	0.1478	0.1548	0.1658	0.1925	0.2036	0.2382	0.2082	0.2474	0.2306	0.1914	0.028176624	0.21221374	-0.016211594	-0.23419689
29.5	17.5	77.8624235121979	29.82740256290487	0.0937	0.1096	0.1478	0.1548	0.1658	0.1925	0.2036	0.2382	0.2082	0.2474	0.2306	0.1914	0.028176624	0.21221374	-0.016211594	-0.23419689
30.5	17.5	77.86251575189269	29.82740256290487	0.0937	0.107	0.1276	0.141	0.1658	0.1925	0.2036	0.1918	0.2082	0.2474	0.2306	0.1914	0.0526571	0.15264422	0.09185606	-0.20100188
31.5	17.5	77.86260799158747	29.82740256290487	0.0942	0.1074	0.1282	0.1396	0.1663	0.187	0.1888	0.1789	0.1972	0.2474	0.2113	0.1847	0.06038293	0.12339093	0.08303434	-0.16509284
32.5	17.5	77.86270023128223	29.82740256290487	0.0942	0.1112	0.1392	0.1562	0.1663	0.187	0.1888	0.2014	0.1972	0.2474	0.2113	0.1847	0.05059214	0.12639818	0.02398838	-0.18261889
29.5	18.5	77.8624235121979	29.827310323210092	0.0937	0.0933	0.1254	0.1378	0.1658	0.1925	0.2036	0.2155	0.2082	0.2474	0.2306	0.1914	0.027842112	0.21992643	0.03384892	-0.26430035
30.5	18.5	77.86251575189269	29.827310323210092	0.0937	0.1122	0.1418	0.1518	0.1658	0.1925	0.2036	0.1924	0.2082	0.2474	0.2306	0.1914	0.056572843	0.11795464	0.09030735	-0.15140632
31.5	18.5	77.86260799158747	29.827310323210092	0.0942	0.1086	0.1276	0.1426	0.1663	0.187	0.1888	0.1768	0.1972	0.2474	0.2113	0.1847	0.06257032	0.10707576	0.08889462	-0.16162944
32.5	18.5	77.86270023128223	29.827310323210092	0.0942	0.1066	0.1332	0.1456	0.1663	0.187	0.1888	0.1854	0.1972	0.2474	0.2113	0.1847	0.055999823	0.12024166	0.06528865	-0.16384177
30.5	19.5	77.86251575189269	29.827218083515316	0.0866	0.0974	0.1238	0.135	0.1676	0.2084	0.2159	0.2078	0.2446	0.2474	0.2395	0.195	0.03561678	0.21236871	0.07086966	-0.25331724
31.5	19.5	77.86260799158747	29.827218083515316	0.088	0.1158	0.13	0.151	0.1703	0.1983	0.2131	0.2005	0.2138	0.2474	0.2164	0.1867	0.054876614	0.14082505	0.038138647	-0.21331318
32.5	19.5	77.86270023128223	29.827218083515316	0.088	0.0961	0.1226	0.1356	0.1703	0.1983	0.2131	0.175	0.2138	0.2474	0.2164	0.1867	0.053362623	0.12685125	0.10577415	-0.17607528
33.5	19.5	77.86279247097701	29.827218083515316	0.0871	0.1126	0.1338	0.15	0.1686	0.1951	0.2031	0.1974	0.2186	0.2506	0.2198	0.1877	0.05403302	0.13644212	0.053691257	-0.192029
32.5	20.5	77.86270023128223	29.82712584382054	0.088	0.1102	0.1304	0.1476	0.1703	0.1983	0.2131	0.1885	0.2138	0.2474	0.2164	0.1867	0.05717109	0.12169	0.06890589	-0.18218878
33.5	20.5	77.86279247097701	29.82712584382054	0.0871	0.1072	0.1288	0.1448	0.1686	0.1951	0.2031	0.186	0.2186	0.2506	0.2198	0.1877	0.056147236	0.12454654	0.08329224	-0.18170266
33.5	21.5	77.86279247097701	29.827033604125763	0.0804	0.1072	0.1312	0.141	0.1569	0.177	0.1858	0.1824	0.1953	0.2521	0.2002	0.1645	0.058211837	0.12801485	0.04652379	-0.16326532
34.5	21.5	77.86288471067179	29.827033604125763	0.0804	0.105	0.126	0.1374	0.1569	0.177	0.1858	0.1788	0.1953	0.2521	0.2002	0.1645	0.058474198	0.1309298	0.056464393	-0.17322834
33.5	22.5	77.86279247097701	29.826941364430986	0.0804	0.1116	0.1372	0.1458	0.1569	0.177	0.1858	0.1831	0.1953	0.2521	0.2002	0.1645	0.061414868	0.11340835	0.04461259	-0.14330316
