Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
33.5	20.5	77.86279247097701	29.82712584382054	0.0821	0.0982	0.131	0.1394	0.1243	0.1358	0.1337	0.1667	0.1467	0.1376	0.1595	0.1562	0.05984299	0.089186534	-0.022072356	-0.11991941
34.5	20.5	77.86288471067179	29.82712584382054	0.0821	0.107	0.1356	0.1576	0.1243	0.1358	0.1337	0.1954	0.1467	0.1376	0.1595	0.1562	0.0505925	0.10708215	-0.101155244	-0.18066464
31.5	21.5	77.86260799158747	29.827033604125763	0.0804	0.1082	0.141	0.158	0.1531	0.1686	0.163	0.2002	0.1821	0.1387	0.1894	0.1771	0.048822735	0.11781127	-0.02772075	-0.17350528
32.5	21.5	77.86270023128223	29.827033604125763	0.0804	0.1222	0.1592	0.1838	0.1531	0.1686	0.163	0.241	0.1821	0.1387	0.1894	0.1771	0.03689274	0.1346516	-0.11988846	-0.2043978
33.5	21.5	77.86279247097701	29.827033604125763	0.0781	0.1204	0.1566	0.1732	0.1462	0.1349	0.1559	0.23	0.1456	0.1454	0.1723	0.1591	0.041726675	0.14087303	-0.14342533	-0.18986033
11.5	50.5	77.86076319769194	29.824358652977246	0.0699	0.0959	0.1188	0.132	0.1384	0.1775	0.1942	0.2128	0.2102	0.1781	0.1978	0.1521	0.031520482	0.23433875	-0.036531907	-0.28347406
13.5	51.5	77.86094767708148	29.82426641328247	0.07	0.0816	0.1052	0.1076	0.1281	0.1707	0.1844	0.1823	0.204	0.1886	0.1849	0.1376	0.03729767	0.25767505	0.007080608	-0.2681739
13.5	52.5	77.86094767708148	29.824174173587693	0.07	0.0939	0.1174	0.124	0.1246	0.1744	0.189	0.2148	0.2017	0.1886	0.1762	0.135	0.028735083	0.26800475	-0.09872122	-0.2931969
14.5	52.5	77.86103991677626	29.824174173587693	0.07	0.0854	0.1082	0.1076	0.1268	0.1731	0.1879	0.2144	0.2054	0.1886	0.1805	0.1335	0.022001283	0.331677	-0.0858445	-0.32920024
15.5	53.5	77.86113215647104	29.824081933892916	0.07	0.0857	0.1046	0.1086	0.1268	0.1731	0.1879	0.2076	0.2054	0.1886	0.1805	0.1335	0.02614684	0.31309298	-0.069827355	-0.32991672
15.5	54.5	77.86113215647104	29.82398969419814	0.07	0.0959	0.1164	0.123	0.1238	0.1688	0.1825	0.211	0.1962	0.1886	0.1746	0.1296	0.032552782	0.26347303	-0.09439831	-0.28894317
16.5	55.5	77.86122439616581	29.823897454503363	0.07	0.0968	0.1186	0.1198	0.1327	0.1888	0.2086	0.209	0.2192	0.1886	0.1873	0.1406	0.034437057	0.27128956	-0.054756522	-0.2759463
17.5	56.5	77.86131663586059	29.823805214808587	0.0708	0.1004	0.118	0.1284	0.1285	0.1715	0.1806	0.209	0.1937	0.1825	0.1842	0.1349	0.037386175	0.23888561	-0.063072234	-0.27828747
61.5	86.5	77.86537518243075	29.821038023965293	0.0749	0.098	0.1342	0.1532	0.1742	0.1925	0.2054	0.2311	0.2108	0.1946	0.2527	0.2366	0.022745753	0.2027062	0.044646565	-0.26526138
62.5	86.5	77.86546742212553	29.821038023965293	0.0749	0.096	0.1284	0.139	0.1531	0.1776	0.1854	0.2208	0.1986	0.1946	0.2224	0.2008	0.027014403	0.22734852	0.0036101022	-0.2646048
63.5	86.5	77.86555966182031	29.821038023965293	0.0749	0.096	0.1284	0.139	0.1531	0.1776	0.1854	0.2208	0.1986	0.1946	0.2224	0.2008	0.027014403	0.22734852	0.0036101022	-0.2646048
64.5	86.5	77.86565190151508	29.821038023965293	0.0749	0.1015	0.126	0.135	0.1531	0.1776	0.1854	0.1988	0.1986	0.1946	0.2224	0.2008	0.044136997	0.1911324	0.056030385	-0.22413792
