Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
90.5	33.5	77.86805013357927	29.825926727788445	0.0846	0.1062	0.136	0.1582	0.1611	0.2195	0.2442	0.2453	0.2451	0.2379	0.2327	0.1995	0.021319496	0.21586122	-0.026359811	-0.2866509
91.5	33.5	77.86814237327405	29.825926727788445	0.0834	0.086	0.1096	0.115	0.1306	0.1834	0.2005	0.1872	0.2297	0.2379	0.2188	0.1699	0.038092006	0.23891461	0.07783251	-0.2614555
92.5	33.5	77.86823461296883	29.825926727788445	0.0834	0.0628	0.0826	0.0802	0.1306	0.1834	0.2005	0.1852	0.2297	0.2379	0.2188	0.1699	0.020233555	0.39562926	0.08316828	-0.38312176
93.5	33.5	77.8683268526636	29.825926727788445	0.081	0.0984	0.1322	0.1406	0.1651	0.1874	0.1987	0.1966	0.2164	0.2239	0.2195	0.1751	0.042859174	0.16607358	0.055034846	-0.19586375
94.5	33.5	77.86841909235838	29.825926727788445	0.081	0.1192	0.152	0.1686	0.1651	0.1874	0.1987	0.2154	0.2164	0.2239	0.2195	0.1751	0.049116742	0.12187501	0.009427477	-0.17256397
95.5	33.5	77.86851133205316	29.825926727788445	0.0788	0.0774	0.1006	0.1094	0.1485	0.1846	0.2048	0.2039	0.2266	0.2239	0.2385	0.1854	0.021469433	0.30162784	0.07820977	-0.33924466
96.5	33.5	77.86860357174794	29.825926727788445	0.0788	0.079	0.1058	0.1118	0.1485	0.1846	0.2048	0.2044	0.2266	0.2239	0.2385	0.1854	0.022493402	0.29285264	0.07699254	-0.31785944
97.5	33.5	77.8686958114427	29.825926727788445	0.0788	0.079	0.1058	0.1118	0.1485	0.1846	0.2048	0.2044	0.2266	0.2239	0.2385	0.1854	0.022493402	0.29285264	0.07699254	-0.31785944
98.5	33.5	77.86878805113749	29.825926727788445	0.0782	0.0731	0.0978	0.1094	0.1506	0.1828	0.1896	0.2288	0.2244	0.2239	0.2316	0.1797	0.0036667213	0.35304555	0.006081674	-0.40110224
99.5	33.5	77.86888029083227	29.825926727788445	0.0782	0.0878	0.1224	0.1288	0.1506	0.1828	0.1896	0.1994	0.2244	0.2239	0.2316	0.1797	0.032569867	0.2151127	0.07471	-0.23927903
