Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
92.5	35.5	77.86823461296883	29.825742248398893	0.0858	0.0897	0.1013	0.1124	0.1136	0.1274	0.1328	0.1378	0.1425	0.1676	0.1675	0.1552	0.06945394	0.10151875	0.0972814	-0.15265577
93.5	35.5	77.8683268526636	29.825742248398893	0.0862	0.084	0.0947	0.1013	0.1242	0.1514	0.1486	0.1454	0.1623	0.1638	0.172	0.154	0.060425896	0.17875963	0.08380593	-0.21116202
94.5	35.5	77.86841909235838	29.825742248398893	0.0862	0.1009	0.1214	0.1294	0.1242	0.1514	0.1486	0.1585	0.1623	0.1638	0.172	0.154	0.06675753	0.10107677	0.040847216	-0.13254735
95.5	35.5	77.86851133205316	29.825742248398893	0.0862	0.0948	0.1136	0.116	0.1338	0.1795	0.1843	0.199	0.2003	0.1638	0.1705	0.1399	0.03853366	0.26349208	-0.07713127	-0.27319258
96.5	35.5	77.86860357174794	29.825742248398893	0.0862	0.0653	0.0897	0.083	0.1338	0.1795	0.1843	0.2151	0.2003	0.1638	0.1705	0.1399	0.005133909	0.4431399	-0.11566392	-0.41141734
97.5	35.5	77.8686958114427	29.825742248398893	0.0862	0.0761	0.0881	0.0905	0.1029	0.1468	0.1661	0.1895	0.1762	0.1638	0.1614	0.1306	0.028662868	0.35357144	-0.08007979	-0.36527377
98.5	35.5	77.86878805113749	29.825742248398893	0.0862	0.0636	0.0808	0.0689	0.1029	0.1468	0.1661	0.2197	0.1762	0.1638	0.1614	0.1306	0.0011031766	0.5225225	-0.1529782	-0.4622296
99.5	35.5	77.86888029083227	29.825742248398893	0.0862	0.0675	0.0819	0.0844	0.1029	0.1468	0.1661	0.1322	0.1762	0.1638	0.1614	0.1306	0.0544793	0.2206833	0.09945504	-0.23493695
100.5	35.5	77.86897253052705	29.825742248398893	0.0878	0.0854	0.1003	0.1074	0.1264	0.1396	0.1377	0.1377	0.1494	0.1603	0.1793	0.16	0.06598873	0.123623036	0.13123025	-0.15714288
101.5	35.5	77.86906477022181	29.825742248398893	0.0878	0.0999	0.1152	0.1256	0.1264	0.1396	0.1377	0.1696	0.1494	0.1603	0.1793	0.16	0.059572484	0.14905149	0.027801665	-0.19101124
91.5	36.5	77.86814237327405	29.825650008704116	0.0858	0.0925	0.1042	0.114	0.1338	0.137	0.1448	0.1416	0.1532	0.1676	0.1843	0.1732	0.0695684	0.10798121	0.13102181	-0.15215622
92.5	36.5	77.86823461296883	29.825650008704116	0.0858	0.0915	0.1074	0.11	0.1338	0.137	0.1448	0.1424	0.1532	0.1676	0.1843	0.1732	0.068290405	0.12836766	0.12825225	-0.14011207
93.5	36.5	77.8683268526636	29.825650008704116	0.0862	0.0974	0.1182	0.1278	0.1408	0.1547	0.1572	0.1754	0.1711	0.1638	0.1961	0.1785	0.05419818	0.15699208	0.055720035	-0.1948229
94.5	36.5	77.86841909235838	29.825650008704116	0.0862	0.111	0.122	0.136	0.1408	0.1547	0.1572	0.1834	0.1711	0.1638	0.1961	0.1785	0.060751297	0.14840324	0.03346506	-0.20104781
95.5	36.5	77.86851133205316	29.825650008704116	0.0862	0.0901	0.1072	0.1064	0.1251	0.138	0.148	0.1678	0.1582	0.1638	0.1764	0.1533	0.05257662	0.22392413	0.024985507	-0.22036363
96.5	36.5	77.86860357174794	29.825650008704116	0.0862	0.0811	0.0993	0.101	0.1251	0.138	0.148	0.1656	0.1582	0.1638	0.1764	0.1533	0.04646552	0.24231057	0.031578958	-0.25028315
