Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
44.5	7.5	77.86380710761955	29.828324959852633	0.043	0.057	0.1046	0.0681	0.1463	0.2825	0.3088	0.3331	0.3296	0.3278	0.2039	0.1123	-0.06933845	0.66051847	-0.2405959	-0.52204704
45.5	7.5	77.86389934731433	29.828324959852633	0.043	0.057	0.1046	0.0681	0.1463	0.2825	0.3088	0.3331	0.3296	0.3278	0.2039	0.1123	-0.06933845	0.66051847	-0.2405959	-0.52204704
43.5	8.5	77.86371486792478	29.828232720157857	0.048	0.0566	0.1048	0.0702	0.1626	0.3104	0.3447	0.3452	0.355	0.3278	0.209	0.1144	-0.076605484	0.6620125	-0.24575964	-0.53422225
44.5	8.5	77.86380710761955	29.828232720157857	0.0471	0.0588	0.1074	0.0694	0.1659	0.3139	0.338	0.3509	0.3459	0.3278	0.2135	0.1184	-0.07807218	0.6697597	-0.24344437	-0.53131133
45.5	8.5	77.86389934731433	29.828232720157857	0.0471	0.0588	0.1074	0.0694	0.1659	0.3139	0.338	0.3509	0.3459	0.3278	0.2135	0.1184	-0.07807218	0.6697597	-0.24344437	-0.53131133
46.5	8.5	77.86399158700911	29.828232720157857	0.0471	0.0574	0.1052	0.0674	0.1659	0.3139	0.338	0.326	0.3459	0.3278	0.2135	0.1184	-0.064938925	0.6573462	-0.20852643	-0.5120594
42.5	9.5	77.86362262823	29.82814048046308	0.048	0.0538	0.1066	0.0677	0.1626	0.3104	0.3447	0.35	0.355	0.3278	0.209	0.1144	-0.08165204	0.6758439	-0.25223613	-0.5330705
43.5	9.5	77.86371486792478	29.82814048046308	0.048	0.056	0.11	0.0687	0.1626	0.3104	0.3447	0.338	0.355	0.3278	0.209	0.1144	-0.0729678	0.66215885	-0.2358318	-0.5089286
44.5	9.5	77.86380710761955	29.82814048046308	0.0471	0.0549	0.1028	0.0683	0.1659	0.3139	0.338	0.3345	0.3459	0.3278	0.2135	0.1184	-0.07186168	0.6608739	-0.22080296	-0.52984226
45.5	9.5	77.86389934731433	29.82814048046308	0.0471	0.0549	0.1028	0.0683	0.1659	0.3139	0.338	0.3345	0.3459	0.3278	0.2135	0.1184	-0.07186168	0.6608739	-0.22080296	-0.52984226
46.5	9.5	77.86399158700911	29.82814048046308	0.0471	0.0566	0.1026	0.0698	0.1659	0.3139	0.338	0.3344	0.3459	0.3278	0.2135	0.1184	-0.070411675	0.6546264	-0.22066072	-0.5304348
41.5	10.5	77.86353038853522	29.828048240768304	0.0564	0.0555	0.1058	0.0668	0.1634	0.3018	0.3314	0.3465	0.3485	0.2974	0.2147	0.124	-0.07825215	0.67674816	-0.2348539	-0.5321689
42.5	10.5	77.86362262823	29.828048240768304	0.0544	0.0526	0.1062	0.0689	0.1699	0.3053	0.3268	0.3344	0.3514	0.2974	0.2157	0.1193	-0.07368848	0.6583189	-0.21577895	-0.5179301
43.5	10.5	77.86371486792478	29.828048240768304	0.0544	0.0579	0.1078	0.0672	0.1699	0.3053	0.3268	0.324	0.3514	0.2974	0.2157	0.1193	-0.06338232	0.65644175	-0.20066704	-0.50069475
44.5	10.5	77.86380710761955	29.828048240768304	0.053	0.0568	0.1026	0.0633	0.1656	0.2895	0.3233	0.3265	0.3295	0.2974	0.228	0.1326	-0.06571719	0.67521805	-0.1776375	-0.5217898
45.5	10.5	77.86389934731433	29.828048240768304	0.053	0.0536	0.1036	0.0692	0.1656	0.2895	0.3233	0.3309	0.3295	0.2974	0.228	0.1326	-0.07086204	0.6540865	-0.18411167	-0.52313006
46.5	10.5	77.86399158700911	29.828048240768304	0.053	0.0536	0.1036	0.0692	0.1656	0.2895	0.3233	0.3309	0.3295	0.2974	0.228	0.1326	-0.07086204	0.6540865	-0.18411167	-0.52313006
42.5	11.5	77.86362262823	29.827956001073527	0.0544	0.0588	0.105	0.0677	0.1699	0.3053	0.3268	0.3216	0.3514	0.2974	0.2157	0.1193	-0.061268635	0.6521962	-0.19709657	-0.5077356
43.5	11.5	77.86371486792478	29.827956001073527	0.0544	0.059	0.1066	0.0683	0.1699	0.3053	0.3268	0.3271	0.3514	0.2974	0.2157	0.1193	-0.06425905	0.65452707	-0.20523214	-0.50841594
43.5	12.5	77.86371486792478	29.82786376137875	0.0597	0.0568	0.1036	0.0722	0.1487	0.2703	0.2901	0.2975	0.3074	0.2974	0.2216	0.1371	-0.0490857	0.609413	-0.14621463	-0.4834206
12.5	57.5	77.8608554373867	29.82371297511381	0.0386	0.0409	0.0597	0.0463	0.0881	0.2425	0.2904	0.2832	0.3031	0.309	0.1515	0.0774	-0.053909916	0.7189681	-0.30296755	-0.65179354
10.5	58.5	77.86067095799716	29.823620735419034	0.0339	0.0396	0.0586	0.0454	0.0916	0.2495	0.2888	0.2862	0.3007	0.3004	0.1338	0.0667	-0.056695372	0.7261761	-0.36285713	-0.6600928
11.5	58.5	77.86076319769194	29.823620735419034	0.0339	0.0396	0.0586	0.0454	0.0916	0.2495	0.2888	0.2862	0.3007	0.3004	0.1338	0.0667	-0.056695372	0.7261761	-0.36285713	-0.6600928
12.5	58.5	77.8608554373867	29.823620735419034	0.0364	0.0385	0.0623	0.0457	0.0904	0.2433	0.292	0.2862	0.309	0.309	0.141	0.0715	-0.057596494	0.7246159	-0.33988762	-0.6424677
