Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	PISI	NDVI	NDBI	NDWI
51.5	5.5	77.864452785483	29.828509439242186	0.0661	0.068	0.0954	0.0778	0.1163	0.1609	0.1668	0.1924	0.1802	0.1902	0.1621	0.1265	0.020364206	0.42413026	-0.08547247	-0.3370396
50.5	6.5	77.86436054578822	29.82841719954741	0.0661	0.068	0.0929	0.0759	0.1145	0.1679	0.1879	0.1961	0.197	0.1902	0.1453	0.0854	0.018242255	0.44191173	-0.14879905	-0.35709342
51.5	6.5	77.864452785483	29.82841719954741	0.0661	0.0698	0.0954	0.0795	0.113	0.1648	0.1792	0.1912	0.1897	0.1902	0.1467	0.0876	0.022526955	0.41263393	-0.13169579	-0.3342638
52.5	6.5	77.86454502517776	29.82841719954741	0.0661	0.0669	0.0919	0.0789	0.113	0.1648	0.1792	0.1824	0.1897	0.1902	0.1467	0.0876	0.025198078	0.39609644	-0.10847769	-0.32993075
50.5	7.5	77.86436054578822	29.828324959852633	0.0661	0.0642	0.0938	0.0786	0.1145	0.1679	0.1879	0.1926	0.197	0.1902	0.1453	0.0854	0.01713654	0.42035398	-0.13998224	-0.34497204
51.5	7.5	77.864452785483	29.828324959852633	0.0661	0.068	0.0946	0.0771	0.113	0.1648	0.1792	0.187	0.1897	0.1902	0.1467	0.0876	0.0234611	0.41613027	-0.12076719	-0.32812503
52.5	7.5	77.86454502517776	29.828324959852633	0.0661	0.0649	0.0935	0.0794	0.113	0.1648	0.1792	0.1889	0.1897	0.1902	0.1467	0.0876	0.019831937	0.4081252	-0.12574494	-0.33781868
53.5	7.5	77.86463726487254	29.828324959852633	0.0721	0.0684	0.0946	0.0774	0.1117	0.1526	0.1682	0.1886	0.1798	0.1797	0.1564	0.1132	0.02287118	0.41804513	-0.093333356	-0.33192092
50.5	8.5	77.86436054578822	29.828232720157857	0.0661	0.0703	0.0921	0.0762	0.108	0.1508	0.168	0.1939	0.1761	0.1902	0.1435	0.0882	0.021388106	0.43576452	-0.1493776	-0.35594407
51.5	8.5	77.864452785483	29.828232720157857	0.0661	0.0684	0.0894	0.0761	0.1063	0.1637	0.1819	0.1908	0.1908	0.1902	0.1409	0.0878	0.021609485	0.42974895	-0.15043713	-0.36188436
52.5	8.5	77.86454502517776	29.828232720157857	0.0661	0.0662	0.0916	0.0747	0.1063	0.1637	0.1819	0.1938	0.1908	0.1902	0.1409	0.0878	0.01808674	0.44357544	-0.15805198	-0.35809392
53.5	8.5	77.86463726487254	29.828232720157857	0.0721	0.0658	0.0901	0.0724	0.1018	0.1732	0.1896	0.1985	0.2062	0.1797	0.1398	0.0903	0.015063609	0.46548542	-0.17351466	-0.3756064
27.5	108.5	77.86223903280836	29.81900875068021	0.0553	0.0538	0.0737	0.0544	0.094	0.2143	0.2372	0.2368	0.2574	0.2416	0.1252	0.0653	-0.016731838	0.62637365	-0.3082873	-0.5252818
28.5	108.5	77.86233127250313	29.81900875068021	0.0553	0.0559	0.0763	0.0523	0.0966	0.2071	0.2334	0.2514	0.2427	0.2416	0.1292	0.0695	-0.023384616	0.6555812	-0.32107198	-0.5343301
29.5	108.5	77.8624235121979	29.81900875068021	0.0553	0.0575	0.0737	0.0499	0.0966	0.2071	0.2334	0.2509	0.2427	0.2416	0.1292	0.0695	-0.02178715	0.6682181	-0.32017893	-0.5459026
30.5	108.5	77.86251575189269	29.81900875068021	0.0586	0.0516	0.0739	0.0504	0.0951	0.1867	0.2093	0.2391	0.2191	0.1798	0.1285	0.0783	-0.019853124	0.65181345	-0.3008705	-0.5277955
26.5	109.5	77.86214679311358	29.818916510985435	0.0553	0.0528	0.0731	0.0514	0.089	0.1877	0.2149	0.2374	0.2196	0.2064	0.1213	0.0642	-0.017895138	0.64404434	-0.3236688	-0.52914655
27.5	109.5	77.86223903280836	29.818916510985435	0.0553	0.0552	0.0732	0.0544	0.089	0.1877	0.2149	0.2332	0.2196	0.2064	0.1213	0.0642	-0.01352036	0.62169677	-0.31565586	-0.5221932
28.5	109.5	77.86233127250313	29.818916510985435	0.0553	0.0561	0.0739	0.0507	0.0935	0.2169	0.2406	0.2486	0.2508	0.2064	0.1184	0.0631	-0.021614984	0.66120946	-0.3547684	-0.5417054
29.5	109.5	77.8624235121979	29.818916510985435	0.0553	0.053	0.0749	0.0488	0.0935	0.2169	0.2406	0.2535	0.2508	0.2064	0.1184	0.0631	-0.026964659	0.6771419	-0.36326972	-0.543849
30.5	109.5	77.86251575189269	29.818916510985435	0.0563	0.0506	0.0722	0.0503	0.0909	0.1929	0.214	0.2404	0.223	0.1824	0.1205	0.0719	-0.02141788	0.6539388	-0.332225	-0.5380678
31.5	109.5	77.86260799158747	29.818916510985435	0.0563	0.0525	0.0715	0.0516	0.0909	0.1929	0.214	0.2133	0.223	0.1824	0.1205	0.0719	-0.004319554	0.61041903	-0.27801082	-0.49789324
25.5	110.5	77.8620545534188	29.81882427129066	0.0553	0.0554	0.0728	0.0587	0.0913	0.1778	0.1922	0.1773	0.202	0.2064	0.1196	0.0657	0.018702125	0.5025424	-0.19434156	-0.41783285
26.5	110.5	77.86214679311358	29.81882427129066	0.0553	0.0528	0.0703	0.0512	0.089	0.1877	0.2149	0.2114	0.2196	0.2064	0.1213	0.0642	-0.0029841415	0.6100533	-0.27081457	-0.5008875
27.5	110.5	77.86223903280836	29.81882427129066	0.0553	0.053	0.0737	0.0509	0.089	0.1877	0.2149	0.2409	0.2196	0.2064	0.1213	0.0642	-0.019738548	0.6511309	-0.3302043	-0.5314685
28.5	110.5	77.86233127250313	29.81882427129066	0.0553	0.0511	0.0739	0.0507	0.0935	0.2169	0.2406	0.2588	0.2508	0.2064	0.1184	0.0631	-0.031560678	0.6723748	-0.37221634	-0.5557559
29.5	110.5	77.8624235121979	29.81882427129066	0.0553	0.0493	0.0739	0.0483	0.0935	0.2169	0.2406	0.2534	0.2508	0.2064	0.1184	0.0631	-0.029938338	0.6798144	-0.36309844	-0.5484265
30.5	110.5	77.86251575189269	29.81882427129066	0.0563	0.0517	0.0706	0.0483	0.0909	0.1929	0.214	0.248	0.223	0.1824	0.1205	0.0719	-0.024875358	0.67397904	-0.34599727	-0.55681103
31.5	110.5	77.86260799158747	29.81882427129066	0.0563	0.0518	0.0694	0.0504	0.0909	0.1929	0.214	0.2071	0.223	0.1824	0.1205	0.0719	-0.0013372911	0.6085437	-0.26434678	-0.49801087
24.5	111.5	77.86196231372402	29.818732031595882	0.0553	0.0538	0.0736	0.0629	0.0917	0.1425	0.1511	0.1604	0.1636	0.2064	0.1209	0.0713	0.027083559	0.43663234	-0.1404195	-0.37094018
25.5	111.5	77.8620545534188	29.818732031595882	0.0553	0.0569	0.0724	0.0638	0.0917	0.1425	0.1511	0.1616	0.1636	0.2064	0.1209	0.0713	0.028934883	0.4338953	-0.14407079	-0.38119653
26.5	111.5	77.86214679311358	29.818732031595882	0.0553	0.0556	0.0719	0.0594	0.0874	0.1522	0.1718	0.1714	0.1788	0.2064	0.1192	0.0663	0.022249622	0.48526862	-0.17962834	-0.4089601
27.5	111.5	77.86223903280836	29.818732031595882	0.0553	0.0509	0.0702	0.055	0.0874	0.1522	0.1718	0.1898	0.1788	0.2064	0.1192	0.0663	0.007846984	0.5506536	-0.22847895	-0.45999998
28.5	111.5	77.86233127250313	29.818732031595882	0.0553	0.0491	0.0727	0.0537	0.0878	0.1847	0.2079	0.2249	0.2223	0.2064	0.1159	0.0626	-0.013757434	0.61450106	-0.3198357	-0.5114247
29.5	111.5	77.8624235121979	29.818732031595882	0.0553	0.0495	0.0699	0.0475	0.0878	0.1847	0.2079	0.2541	0.2223	0.2064	0.1159	0.0626	-0.030175947	0.68501323	-0.3735135	-0.5685185
30.5	111.5	77.86251575189269	29.818732031595882	0.0563	0.0526	0.0722	0.0483	0.0842	0.1809	0.2065	0.252	0.2151	0.1824	0.1199	0.0687	-0.026432082	0.67832166	-0.355203	-0.55459595
23.5	112.5	77.86187007402926	29.818639791901106	0.0626	0.0606	0.076	0.0651	0.096	0.1412	0.156	0.1643	0.1648	0.175	0.1312	0.0856	0.030417474	0.4324324	-0.11201352	-0.36745733
24.5	112.5	77.86196231372402	29.818639791901106	0.0553	0.0562	0.0724	0.0645	0.0917	0.1425	0.1511	0.1594	0.1636	0.2064	0.1209	0.0713	0.02962314	0.42384997	-0.13735285	-0.37532353
25.5	112.5	77.8620545534188	29.818639791901106	0.0553	0.0579	0.0724	0.0639	0.0917	0.1425	0.1511	0.1648	0.1636	0.2064	0.1209	0.0713	0.027918879	0.44118932	-0.1536577	-0.38954467
26.5	112.5	77.86214679311358	29.818639791901106	0.0553	0.0552	0.0744	0.0619	0.0874	0.1522	0.1718	0.163	0.1788	0.2064	0.1192	0.0663	0.026739338	0.44953313	-0.15520908	-0.37320977
27.5	112.5	77.86223903280836	29.818639791901106	0.0553	0.0548	0.0713	0.0603	0.0874	0.1522	0.1718	0.163	0.1788	0.2064	0.1192	0.0663	0.026411658	0.4599194	-0.15520908	-0.39137858
28.5	112.5	77.86233127250313	29.818639791901106	0.0553	0.0536	0.0717	0.058	0.0878	0.1847	0.2079	0.1859	0.2223	0.2064	0.1159	0.0626	0.012295467	0.5243953	-0.23194169	-0.443323
29.5	112.5	77.8624235121979	29.818639791901106	0.0553	0.0507	0.0673	0.0503	0.0878	0.1847	0.2079	0.222	0.2223	0.2064	0.1159	0.0626	-0.010783561	0.63055456	-0.31399822	-0.534739
22.5	113.5	77.86177783433448	29.81854755220633	0.0626	0.0573	0.0763	0.0639	0.0926	0.1358	0.1472	0.1618	0.161	0.175	0.1231	0.0728	0.029147863	0.43376163	-0.13583714	-0.3590928
23.5	113.5	77.86187007402926	29.81854755220633	0.0553	0.055	0.0744	0.0633	0.0942	0.1377	0.1469	0.1594	0.1593	0.2064	0.1228	0.0715	0.028640099	0.43152225	-0.12969525	-0.3635586
24.5	113.5	77.86196231372402	29.81854755220633	0.0553	0.055	0.0744	0.0633	0.0942	0.1377	0.1469	0.1594	0.1593	0.2064	0.1228	0.0715	0.028640099	0.43152225	-0.12969525	-0.3635586
25.5	113.5	77.8620545534188	29.81854755220633	0.0553	0.0571	0.0738	0.0625	0.0942	0.1377	0.1469	0.161	0.1593	0.2064	0.1228	0.0715	0.029442823	0.44071588	-0.13460183	-0.3713799
26.5	113.5	77.86214679311358	29.81854755220633	0.0553	0.0534	0.0745	0.0622	0.0929	0.1358	0.1465	0.1599	0.1612	0.2064	0.1229	0.0714	0.027042631	0.43989193	-0.13083449	-0.36433443
27.5	113.5	77.86223903280836	29.81854755220633	0.0553	0.0555	0.0704	0.0622	0.0929	0.1358	0.1465	0.1603	0.1612	0.2064	0.1229	0.0714	0.02853355	0.4408989	-0.13206215	-0.38968357
28.5	113.5	77.86233127250313	29.81854755220633	0.0553	0.0566	0.0703	0.0603	0.0919	0.1397	0.1551	0.1653	0.1674	0.2064	0.1188	0.0647	0.026567172	0.46542552	-0.16367476	-0.4032258
22.5	114.5	77.86177783433448	29.818455312511553	0.0626	0.0559	0.0719	0.0628	0.0926	0.1358	0.1472	0.1559	0.161	0.175	0.1231	0.0728	0.03138463	0.42569733	-0.11756274	-0.3687445
23.5	114.5	77.86187007402926	29.818455312511553	0.0553	0.0565	0.0756	0.0656	0.0942	0.1377	0.1469	0.159	0.1593	0.2064	0.1228	0.0715	0.030098302	0.41585037	-0.12845989	-0.3554987
24.5	114.5	77.86196231372402	29.818455312511553	0.0553	0.0565	0.0756	0.0656	0.0942	0.1377	0.1469	0.159	0.1593	0.2064	0.1228	0.0715	0.030098302	0.41585037	-0.12845989	-0.3554987
25.5	114.5	77.8620545534188	29.818455312511553	0.0553	0.0557	0.0744	0.0625	0.0942	0.1377	0.1469	0.1601	0.1593	0.2064	0.1228	0.0715	0.028812092	0.43845463	-0.13184871	-0.36545843
26.5	114.5	77.86214679311358	29.818455312511553	0.0553	0.0544	0.0739	0.0644	0.0929	0.1358	0.1465	0.1641	0.1612	0.2064	0.1229	0.0714	0.025453128	0.43632385	-0.14355402	-0.3789916
27.5	114.5	77.86223903280836	29.818455312511553	0.0553	0.0582	0.0756	0.0628	0.0929	0.1358	0.1465	0.1614	0.1612	0.2064	0.1229	0.0714	0.030114539	0.43978593	-0.13542034	-0.36202535
22.5	115.5	77.86177783433448	29.818363072816776	0.0605	0.0558	0.0726	0.0625	0.0907	0.1332	0.1443	0.1591	0.1603	0.1771	0.1184	0.0696	0.02946751	0.43592057	-0.14666666	-0.37332758
23.5	115.5	77.86187007402926	29.818363072816776	0.0557	0.0584	0.0739	0.0629	0.0952	0.137	0.1486	0.1607	0.1604	0.1774	0.1214	0.0705	0.030679835	0.43738818	-0.13931228	-0.36999145
24.5	115.5	77.86196231372402	29.818363072816776	0.0557	0.0584	0.0739	0.0629	0.0952	0.137	0.1486	0.1607	0.1604	0.1774	0.1214	0.0705	0.030679835	0.43738818	-0.13931228	-0.36999145
25.5	115.5	77.8620545534188	29.818363072816776	0.0557	0.0534	0.0755	0.0636	0.0952	0.137	0.1486	0.1574	0.1604	0.1774	0.1214	0.0705	0.02847638	0.42443436	-0.12912482	-0.35165307
26.5	115.5	77.86214679311358	29.818363072816776	0.0557	0.0534	0.0738	0.0646	0.0926	0.138	0.1471	0.1528	0.1649	0.1774	0.1221	0.0712	0.031114483	0.40570375	-0.11167694	-0.34863195
23.5	116.5	77.86187007402926	29.818270833122	0.0557	0.0588	0.0732	0.0636	0.0952	0.137	0.1486	0.1593	0.1604	0.1774	0.1214	0.0705	0.03181041	0.42934048	-0.1350196	-0.37032256
24.5	116.5	77.86196231372402	29.818270833122	0.0557	0.0588	0.0732	0.0636	0.0952	0.137	0.1486	0.1593	0.1604	0.1774	0.1214	0.0705	0.03181041	0.42934048	-0.1350196	-0.37032256
23.5	117.5	77.86187007402926	29.818178593427223	0.0557	0.0599	0.0758	0.063	0.1011	0.1482	0.1649	0.162	0.1724	0.1774	0.1336	0.0767	0.03116308	0.44	-0.096075796	-0.3624895
91.5	130.5	77.86814237327405	29.81697947739513	0.0635	0.0681	0.1009	0.0902	0.1281	0.1685	0.1836	0.191	0.1957	0.2004	0.1559	0.0968	0.021249019	0.35846373	-0.101181895	-0.30866733
90.5	131.5	77.86805013357927	29.816887237700353	0.0635	0.0703	0.1005	0.0885	0.1281	0.1685	0.1836	0.2008	0.1957	0.2004	0.1559	0.0968	0.017430957	0.38817835	-0.12587608	-0.3328908
91.5	131.5	77.86814237327405	29.816887237700353	0.0635	0.067	0.104	0.0924	0.1281	0.1685	0.1836	0.2019	0.1957	0.2004	0.1559	0.0968	0.014096748	0.37206933	-0.12856345	-0.32003924
88.5	132.5	77.86786565418973	29.816794998005577	0.0622	0.0686	0.0966	0.0871	0.1314	0.1791	0.1886	0.1984	0.2064	0.2088	0.1489	0.0866	0.017414715	0.3898424	-0.14252809	-0.34508476
89.5	132.5	77.8679578938845	29.816794998005577	0.0622	0.0676	0.0978	0.087	0.1314	0.1791	0.1886	0.1974	0.2064	0.2088	0.1489	0.0866	0.017169015	0.38818568	-0.14005198	-0.33739838
90.5	132.5	77.86805013357927	29.816794998005577	0.0635	0.0677	0.1018	0.0892	0.1355	0.1842	0.197	0.2032	0.212	0.2004	0.1548	0.0901	0.013924641	0.3898769	-0.13519554	-0.332459
91.5	132.5	77.86814237327405	29.816794998005577	0.0635	0.0677	0.1023	0.091	0.1355	0.1842	0.197	0.2064	0.212	0.2004	0.1548	0.0901	0.012089435	0.3880296	-0.14285716	-0.3372206
92.5	132.5	77.86823461296883	29.816794998005577	0.0635	0.0685	0.103	0.0924	0.135	0.1762	0.1866	0.2092	0.2063	0.2004	0.1674	0.1053	0.011139001	0.3872679	-0.11099308	-0.34016654
87.5	133.5	77.86777341449495	29.8167027583108	0.0622	0.0676	0.0996	0.0902	0.137	0.1838	0.1883	0.2025	0.2102	0.2088	0.1511	0.0892	0.014244167	0.3836693	-0.145362	-0.3406157
88.5	133.5	77.86786565418973	29.8167027583108	0.0622	0.0667	0.1005	0.0876	0.1314	0.1791	0.1886	0.199	0.2064	0.2088	0.1489	0.0866	0.015514136	0.38869506	-0.1440069	-0.32888147
89.5	133.5	77.8679578938845	29.8167027583108	0.0622	0.0681	0.1002	0.088	0.1314	0.1791	0.1886	0.2047	0.2064	0.2088	0.1489	0.0866	0.013392072	0.39870173	-0.15780541	-0.34273532
90.5	133.5	77.86805013357927	29.8167027583108	0.0635	0.0705	0.1023	0.0912	0.1355	0.1842	0.197	0.2156	0.212	0.2004	0.1548	0.0901	0.009107002	0.40547588	-0.16414687	-0.35640135
91.5	133.5	77.86814237327405	29.8167027583108	0.0635	0.0703	0.1038	0.092	0.1355	0.1842	0.197	0.2116	0.212	0.2004	0.1548	0.0901	0.011237155	0.3939394	-0.15502186	-0.34178823
92.5	133.5	77.86823461296883	29.8167027583108	0.0635	0.0689	0.106	0.0941	0.135	0.1762	0.1866	0.2065	0.2063	0.2004	0.1674	0.1053	0.013015131	0.37391883	-0.10457339	-0.3216
93.5	133.5	77.8683268526636	29.8167027583108	0.0635	0.0689	0.106	0.0941	0.135	0.1762	0.1866	0.2065	0.2063	0.2004	0.1674	0.1053	0.013015131	0.37391883	-0.10457339	-0.3216
87.5	134.5	77.86777341449495	29.816610518616024	0.0627	0.0681	0.1004	0.0868	0.1347	0.1785	0.1887	0.2004	0.202	0.1986	0.1489	0.0868	0.015858121	0.39554316	-0.1474377	-0.33244678
88.5	134.5	77.86786565418973	29.816610518616024	0.0627	0.0671	0.1026	0.0875	0.1377	0.186	0.1984	0.2012	0.2087	0.1986	0.1537	0.0869	0.014580127	0.3938344	-0.13384052	-0.3245556
89.5	134.5	77.8679578938845	29.816610518616024	0.0627	0.0705	0.107	0.091	0.1377	0.186	0.1984	0.2151	0.2087	0.1986	0.1537	0.0869	0.009393748	0.40542307	-0.16648594	-0.33561006
90.5	134.5	77.86805013357927	29.816610518616024	0.062	0.0731	0.1104	0.0948	0.1413	0.1837	0.2007	0.228	0.2129	0.2114	0.1594	0.0937	0.0041255206	0.41263938	-0.17707795	-0.34751773
91.5	134.5	77.86814237327405	29.816610518616024	0.062	0.0705	0.1056	0.0961	0.1413	0.1837	0.2007	0.2135	0.2129	0.2114	0.1594	0.0937	0.010311355	0.37919894	-0.14507909	-0.3381385
