,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0538,0.0597,0.0733,0.0561,0.0828,0.1486,0.175,0.1901,0.1731,0.1471,0.1181,0.0652,0.54427296,-0.23361452,1
1,0.0511,0.0579,0.0705,0.0552,0.0795,0.137,0.1653,0.178,0.1701,0.1398,0.1177,0.0672,0.52658665,-0.2039229,1
2,0.0508,0.0591,0.069,0.0548,0.0798,0.1528,0.1739,0.1817,0.1822,0.1611,0.1127,0.0597,0.5365751,-0.23437501,1
3,0.0508,0.0581,0.068,0.0525,0.0798,0.1528,0.1739,0.1619,0.1822,0.1611,0.1127,0.0597,0.5102612,-0.1791697,1
4,0.0494,0.0544,0.0642,0.053,0.0748,0.132,0.1521,0.1461,0.165,0.1597,0.1082,0.06,0.46760422,-0.14903657,1
5,0.0494,0.0544,0.0642,0.053,0.0748,0.132,0.1521,0.1461,0.165,0.1597,0.1082,0.06,0.46760422,-0.14903657,1
6,0.0508,0.0597,0.0684,0.057,0.0795,0.1481,0.1742,0.1984,0.186,0.1611,0.1147,0.064,0.5536414,-0.26732677,1
7,0.0508,0.0591,0.0694,0.0529,0.0798,0.1528,0.1739,0.2112,0.1822,0.1611,0.1127,0.0597,0.59939414,-0.3041062,1
8,0.0508,0.0583,0.0664,0.0542,0.0798,0.1528,0.1739,0.1983,0.1822,0.1611,0.1127,0.0597,0.5706931,-0.27524117,1
9,0.0494,0.0554,0.0634,0.0538,0.0748,0.132,0.1521,0.1672,0.165,0.1597,0.1082,0.06,0.51312214,-0.21423385,1
10,0.0494,0.0554,0.0634,0.0538,0.0748,0.132,0.1521,0.1672,0.165,0.1597,0.1082,0.06,0.51312214,-0.21423385,1
11,0.0494,0.0579,0.067,0.0557,0.0748,0.132,0.1521,0.1556,0.165,0.1597,0.1082,0.06,0.4727875,-0.17968157,1
12,0.0508,0.0574,0.0647,0.0549,0.0735,0.1316,0.1507,0.1557,0.1585,0.1611,0.1029,0.0575,0.47863245,-0.20417634,1
13,0.0508,0.0586,0.0684,0.0561,0.0768,0.1463,0.1694,0.1762,0.1798,0.1611,0.1141,0.0602,0.5170039,-0.21391664,1
14,0.0508,0.0559,0.0685,0.0562,0.0768,0.1463,0.1694,0.1885,0.1798,0.1611,0.1141,0.0602,0.54066205,-0.24586913,1
15,0.0508,0.0551,0.0662,0.0526,0.0765,0.1489,0.1676,0.1669,0.1873,0.1611,0.1118,0.061,0.52072895,-0.1977036,1
16,0.0508,0.0532,0.0641,0.0537,0.0765,0.1489,0.1676,0.1782,0.1873,0.1611,0.1118,0.061,0.53686935,-0.22896554,1
17,0.0494,0.0544,0.0638,0.0524,0.0756,0.1428,0.1645,0.1805,0.1749,0.1597,0.1079,0.0585,0.55002147,-0.2517337,1
