,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0678,0.0803,0.0969,0.0999,0.1306,0.1551,0.1671,0.1736,0.1841,0.1636,0.2007,0.1551,0.26946986,0.07240181
1,0.0678,0.0923,0.1158,0.1256,0.1306,0.1551,0.1671,0.186,0.1841,0.1636,0.2007,0.1551,0.19383828,0.038013954
2,0.0734,0.0898,0.112,0.1212,0.1459,0.1808,0.1908,0.2176,0.2149,0.1843,0.2328,0.1838,0.28453365,0.03374779
3,0.0734,0.0889,0.1108,0.1164,0.1459,0.1808,0.1908,0.2216,0.2149,0.1843,0.2328,0.1838,0.31124258,0.02464791
4,0.0734,0.1017,0.1278,0.143,0.156,0.1847,0.1938,0.2326,0.2234,0.1843,0.2281,0.179,0.23855163,-0.009767748
5,0.0734,0.111,0.1372,0.1426,0.156,0.1847,0.1938,0.2231,0.2234,0.1843,0.2281,0.179,0.2201258,0.011081549
6,0.0734,0.1036,0.1224,0.1386,0.1613,0.1881,0.1875,0.1901,0.2056,0.1843,0.2022,0.1617,0.1566778,0.030843733
7,0.0734,0.119,0.1314,0.1312,0.1613,0.1881,0.1875,0.1924,0.2056,0.1843,0.2022,0.1617,0.18912235,0.024835281
8,0.0734,0.119,0.1314,0.1312,0.1613,0.1881,0.1875,0.1924,0.2056,0.1843,0.2022,0.1617,0.18912235,0.024835281
9,0.0645,0.0762,0.0948,0.0974,0.1153,0.1548,0.1689,0.1832,0.1839,0.2231,0.1833,0.1316,0.30577335,0.00027285592
10,0.0645,0.0719,0.0819,0.0822,0.1153,0.1548,0.1689,0.1594,0.1839,0.2231,0.1833,0.1316,0.31953645,0.0697403
11,0.0645,0.0732,0.0843,0.0794,0.0993,0.1539,0.1674,0.171,0.1896,0.2231,0.1521,0.0951,0.3658147,-0.058495842
12,0.0645,0.0675,0.0792,0.067,0.0993,0.1539,0.1674,0.2093,0.1896,0.2231,0.1521,0.0951,0.5150199,-0.15827338
13,0.0645,0.0638,0.0768,0.0628,0.0999,0.1898,0.2183,0.2489,0.2327,0.2231,0.1393,0.0804,0.59704846,-0.28232867
14,0.0645,0.0637,0.0801,0.0641,0.0999,0.1898,0.2183,0.2492,0.2327,0.2231,0.1393,0.0804,0.59080756,-0.28288287
15,0.06,0.0683,0.0813,0.0636,0.0977,0.2058,0.2369,0.2391,0.2412,0.2228,0.1336,0.0778,0.57978195,-0.2830695
16,0.06,0.0649,0.0811,0.0633,0.0977,0.2058,0.2369,0.2446,0.2412,0.2228,0.1336,0.0778,0.58882755,-0.2934955
17,0.06,0.0649,0.0811,0.0633,0.0977,0.2058,0.2369,0.2446,0.2412,0.2228,0.1336,0.0778,0.58882755,-0.2934955
18,0.06,0.063,0.0782,0.0601,0.0957,0.1987,0.2276,0.2486,0.237,0.2228,0.1304,0.0744,0.6106252,-0.31187335
19,0.06,0.066,0.0792,0.0625,0.0957,0.1987,0.2276,0.2383,0.237,0.2228,0.1304,0.0744,0.5844415,-0.29264984
20,0.06,0.0622,0.0761,0.0626,0.0786,0.1487,0.1733,0.2129,0.1755,0.2228,0.1096,0.0637,0.5455535,-0.3203101
21,0.06,0.058,0.0683,0.0579,0.0786,0.1487,0.1733,0.151,0.1755,0.2228,0.1096,0.0637,0.44566777,-0.15886414
