Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
99.5	4.5	78.09449858425553	29.90617526224398	0.081	0.1372	0.159	0.1744	0.1892	0.2474	0.2726	0.285	0.2827	0.2902	0.2365	0.1884	0.2407488	-0.09300096	-0.2837838
100.5	4.5	78.09459082395031	29.90617526224398	0.079	0.1372	0.1494	0.1616	0.1825	0.2502	0.2788	0.2564	0.281	0.2902	0.235	0.1873	0.22679426	-0.043549024	-0.26367667
101.5	4.5	78.09468306364508	29.90617526224398	0.079	0.1372	0.1494	0.1616	0.1825	0.2502	0.2788	0.2564	0.281	0.2902	0.235	0.1873	0.22679426	-0.043549024	-0.26367667
102.5	4.5	78.09477530333986	29.90617526224398	0.079	0.122	0.1544	0.1622	0.1825	0.2502	0.2788	0.2503	0.281	0.2902	0.235	0.1873	0.21357572	-0.03152687	-0.23696561
21.5	5.5	78.08730388806296	29.906083022549204	0.0649	0.1034	0.1312	0.1366	0.1644	0.1963	0.2085	0.2113	0.228	0.2555	0.2266	0.1774	0.21471687	0.034939498	-0.23386861
98.5	5.5	78.09440634456075	29.906083022549204	0.081	0.0941	0.1294	0.1302	0.1892	0.2474	0.2726	0.2413	0.2827	0.2902	0.2365	0.1884	0.29905787	-0.010046058	-0.30186135
99.5	5.5	78.09449858425553	29.906083022549204	0.081	0.1248	0.172	0.1808	0.1892	0.2474	0.2726	0.295	0.2827	0.2902	0.2365	0.1884	0.24001677	-0.11006584	-0.26338327
100.5	5.5	78.09459082395031	29.906083022549204	0.079	0.134	0.1678	0.1722	0.1825	0.2502	0.2788	0.3073	0.281	0.2902	0.235	0.1873	0.28175184	-0.13332105	-0.2936224
101.5	5.5	78.09468306364508	29.906083022549204	0.079	0.134	0.1678	0.1722	0.1825	0.2502	0.2788	0.3073	0.281	0.2902	0.235	0.1873	0.28175184	-0.13332105	-0.2936224
19.5	6.5	78.08711940867342	29.905990782854428	0.0717	0.0954	0.1126	0.1252	0.1527	0.22	0.242	0.2041	0.2507	0.2555	0.2313	0.1673	0.23959914	0.06247129	-0.28891695
20.5	6.5	78.08721164836818	29.905990782854428	0.0698	0.1076	0.121	0.1278	0.1683	0.1953	0.2224	0.202	0.2347	0.2555	0.2303	0.1852	0.22498484	0.06546377	-0.25077403
21.5	6.5	78.08730388806296	29.905990782854428	0.0698	0.1406	0.1688	0.1766	0.1683	0.1953	0.2224	0.2461	0.2347	0.2555	0.2303	0.1852	0.16441922	-0.033165406	-0.18630995
97.5	6.5	78.09431410486597	29.905990782854428	0.0768	0.1054	0.1298	0.1286	0.1669	0.2465	0.2635	0.2408	0.2731	0.2902	0.2188	0.1655	0.30373576	-0.04786771	-0.29951426
98.5	6.5	78.09440634456075	29.905990782854428	0.082	0.1172	0.1438	0.1522	0.1856	0.2364	0.2634	0.2336	0.2799	0.2902	0.2359	0.177	0.21099016	0.0048988163	-0.23794381
99.5	6.5	78.09449858425553	29.905990782854428	0.082	0.1136	0.1478	0.1582	0.1856	0.2364	0.2634	0.2636	0.2799	0.2902	0.2359	0.177	0.24988146	-0.05545544	-0.28147787
100.5	6.5	78.09459082395031	29.905990782854428	0.0797	0.0809	0.1146	0.1072	0.1531	0.278	0.3227	0.3076	0.332	0.2902	0.2348	0.168	0.4831244	-0.13421829	-0.4571293
18.5	7.5	78.08702716897864	29.90589854315965	0.0717	0.1008	0.1264	0.1322	0.1527	0.22	0.242	0.2293	0.2507	0.2555	0.2313	0.1673	0.26860306	0.004342139	-0.28928876
19.5	7.5	78.08711940867342	29.90589854315965	0.0717	0.1008	0.1264	0.1322	0.1527	0.22	0.242	0.2293	0.2507	0.2555	0.2313	0.1673	0.26860306	0.004342139	-0.28928876
20.5	7.5	78.08721164836818	29.90589854315965	0.0698	0.108	0.1332	0.1334	0.1683	0.1953	0.2224	0.2214	0.2347	0.2555	0.2303	0.1852	0.24802707	0.019703347	-0.24873093
21.5	7.5	78.08730388806296	29.90589854315965	0.0698	0.1448	0.1708	0.1766	0.1683	0.1953	0.2224	0.249	0.2347	0.2555	0.2303	0.1852	0.17011279	-0.039015237	-0.18627918
22.5	7.5	78.08739612775774	29.90589854315965	0.0664	0.1274	0.1504	0.1538	0.1562	0.2046	0.2395	0.2442	0.2602	0.2788	0.2358	0.1831	0.2271357	-0.017500017	-0.23770909
96.5	7.5	78.0942218651712	29.90589854315965	0.0768	0.0786	0.1078	0.106	0.1669	0.2465	0.2635	0.3136	0.2731	0.2902	0.2188	0.1655	0.4947569	-0.17806163	-0.4883721
97.5	7.5	78.09431410486597	29.90589854315965	0.0768	0.104	0.1212	0.1202	0.1669	0.2465	0.2635	0.299	0.2731	0.2902	0.2188	0.1655	0.4265267	-0.15488607	-0.42313182
98.5	7.5	78.09440634456075	29.90589854315965	0.082	0.1376	0.162	0.172	0.1856	0.2364	0.2634	0.251	0.2799	0.2902	0.2359	0.177	0.18676119	-0.031012503	-0.21549635
99.5	7.5	78.09449858425553	29.90589854315965	0.082	0.1348	0.154	0.1576	0.1856	0.2364	0.2634	0.2709	0.2799	0.2902	0.2359	0.177	0.26441076	-0.069060795	-0.27512357
16.5	8.5	78.08684268958908	29.905806303464875	0.0731	0.1058	0.1396	0.1426	0.1632	0.2586	0.274	0.2666	0.2957	0.2878	0.2307	0.1667	0.3030303	-0.072189845	-0.3126539
17.5	8.5	78.08693492928386	29.905806303464875	0.0746	0.1042	0.1396	0.139	0.1657	0.2432	0.2676	0.283	0.2848	0.2878	0.2346	0.1747	0.3412322	-0.093508504	-0.339328
18.5	8.5	78.08702716897864	29.905806303464875	0.0746	0.0803	0.1102	0.1108	0.1657	0.2432	0.2676	0.237	0.2848	0.2878	0.2346	0.1747	0.36285222	-0.0050890814	-0.36520737
19.5	8.5	78.08711940867342	29.905806303464875	0.0746	0.0803	0.1102	0.1108	0.1657	0.2432	0.2676	0.237	0.2848	0.2878	0.2346	0.1747	0.36285222	-0.0050890814	-0.36520737
20.5	8.5	78.08721164836818	29.905806303464875	0.0743	0.0886	0.1124	0.1188	0.1605	0.2162	0.2351	0.2263	0.2482	0.2878	0.227	0.1735	0.31150392	0.0015442244	-0.3362858
21.5	8.5	78.08730388806296	29.905806303464875	0.0743	0.0978	0.1146	0.1224	0.1605	0.2162	0.2351	0.2409	0.2482	0.2878	0.227	0.1735	0.3261767	-0.029707195	-0.35527423
22.5	8.5	78.08739612775774	29.905806303464875	0.0716	0.1338	0.1496	0.1588	0.1828	0.2323	0.2512	0.2272	0.2593	0.2679	0.238	0.1798	0.17720206	0.02321583	-0.2059448
23.5	8.5	78.08748836745252	29.905806303464875	0.0716	0.1532	0.1562	0.165	0.1828	0.2323	0.2512	0.2474	0.2593	0.2679	0.238	0.1798	0.19980599	-0.019365462	-0.22596629
95.5	8.5	78.09412962547643	29.905806303464875	0.0662	0.1312	0.154	0.1564	0.1795	0.228	0.2464	0.2397	0.2637	0.2938	0.2231	0.1707	0.21030046	-0.03586862	-0.21767844
96.5	8.5	78.0942218651712	29.905806303464875	0.0741	0.0974	0.131	0.1282	0.173	0.2442	0.2628	0.2608	0.2798	0.2902	0.236	0.1811	0.34087408	-0.04991949	-0.3312915
97.5	8.5	78.09431410486597	29.905806303464875	0.0741	0.0955	0.118	0.1174	0.173	0.2442	0.2628	0.2814	0.2798	0.2902	0.236	0.1811	0.4112337	-0.08774641	-0.40911368
98.5	8.5	78.09440634456075	29.905806303464875	0.078	0.1074	0.1336	0.139	0.17	0.2351	0.2548	0.2724	0.2842	0.2902	0.2375	0.1797	0.32425863	-0.06844478	-0.34187192
