Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
103.5	2.5	78.09486754303464	29.906359741633533	0.0776	0.0976	0.119	0.1422	0.1827	0.2018	0.2025	0.2187	0.2284	0.1986	0.267	0.226	0.2119701	0.09944407	-0.29523245
104.5	2.5	78.09495978272942	29.906359741633533	0.0776	0.0988	0.1218	0.1448	0.1827	0.2018	0.2025	0.2147	0.2284	0.1986	0.267	0.226	0.19443668	0.10857379	-0.27607727
102.5	3.5	78.09477530333986	29.906267501938757	0.0757	0.0976	0.1238	0.1346	0.1661	0.1923	0.209	0.2282	0.2195	0.2008	0.261	0.2203	0.2579934	0.06704825	-0.2965909
103.5	3.5	78.09486754303464	29.906267501938757	0.0776	0.109	0.1286	0.1464	0.1827	0.2018	0.2025	0.228	0.2284	0.1986	0.267	0.226	0.2179487	0.078787856	-0.27874368
104.5	3.5	78.09495978272942	29.906267501938757	0.0776	0.1172	0.1528	0.1592	0.1827	0.2018	0.2025	0.2249	0.2284	0.1986	0.267	0.226	0.17104922	0.085586466	-0.19089228
105.5	3.5	78.09505202242418	29.906267501938757	0.0776	0.0999	0.1152	0.1354	0.1624	0.1887	0.2022	0.1993	0.2147	0.1986	0.2514	0.2104	0.19091727	0.11559793	-0.2674086
101.5	4.5	78.09468306364508	29.90617526224398	0.0782	0.0927	0.1194	0.1312	0.1658	0.1882	0.1861	0.1838	0.2081	0.2059	0.2457	0.2088	0.16698411	0.14412108	-0.21240103
102.5	4.5	78.09477530333986	29.90617526224398	0.0782	0.1017	0.1218	0.1316	0.1658	0.1882	0.1861	0.2095	0.2081	0.2059	0.2457	0.2088	0.22837874	0.079525486	-0.26471478
103.5	4.5	78.09486754303464	29.90617526224398	0.0763	0.1236	0.1422	0.1746	0.1694	0.1989	0.2089	0.2385	0.2193	0.1889	0.2528	0.2092	0.15468408	0.02910643	-0.2529551
104.5	4.5	78.09495978272942	29.90617526224398	0.0763	0.1144	0.1488	0.147	0.1694	0.1989	0.2089	0.2213	0.2193	0.1889	0.2528	0.2092	0.20173773	0.06644164	-0.19589302
105.5	4.5	78.09505202242418	29.90617526224398	0.0763	0.112	0.1396	0.1566	0.1619	0.185	0.196	0.2186	0.2182	0.1889	0.2335	0.1894	0.16524522	0.032957308	-0.22054721
100.5	5.5	78.09459082395031	29.906083022549204	0.0782	0.0944	0.1116	0.1252	0.1658	0.1882	0.1861	0.1756	0.2081	0.2059	0.2457	0.2088	0.1675532	0.16638973	-0.22284126
101.5	5.5	78.09468306364508	29.906083022549204	0.0782	0.0944	0.1116	0.1252	0.1658	0.1882	0.1861	0.1756	0.2081	0.2059	0.2457	0.2088	0.1675532	0.16638973	-0.22284126
