Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	NDVI	NDBI	NDWI
74.5	14.5	78.09219259188612	29.905252865296216	0.0538	0.0597	0.0733	0.0561	0.0828	0.1486	0.175	0.1901	0.1731	0.1471	0.1181	0.0652	0.54427296	-0.23361452	-0.44343206
75.5	14.5	78.0922848315809	29.905252865296216	0.0511	0.0579	0.0705	0.0552	0.0795	0.137	0.1653	0.178	0.1701	0.1398	0.1177	0.0672	0.52658665	-0.2039229	-0.43259558
73.5	15.5	78.09210035219134	29.90516062560144	0.0508	0.0591	0.069	0.0548	0.0798	0.1528	0.1739	0.1817	0.1822	0.1611	0.1127	0.0597	0.5365751	-0.23437501	-0.4495413
74.5	15.5	78.09219259188612	29.90516062560144	0.0508	0.0581	0.068	0.0525	0.0798	0.1528	0.1739	0.1619	0.1822	0.1611	0.1127	0.0597	0.5102612	-0.1791697	-0.4084384
75.5	15.5	78.0922848315809	29.90516062560144	0.0494	0.0544	0.0642	0.053	0.0748	0.132	0.1521	0.1461	0.165	0.1597	0.1082	0.06	0.46760422	-0.14903657	-0.38944367
76.5	15.5	78.09237707127568	29.90516062560144	0.0494	0.0544	0.0642	0.053	0.0748	0.132	0.1521	0.1461	0.165	0.1597	0.1082	0.06	0.46760422	-0.14903657	-0.38944367
72.5	16.5	78.09200811249657	29.905068385906663	0.0508	0.0597	0.0684	0.057	0.0795	0.1481	0.1742	0.1984	0.186	0.1611	0.1147	0.064	0.5536414	-0.26732677	-0.48725638
73.5	16.5	78.09210035219134	29.905068385906663	0.0508	0.0591	0.0694	0.0529	0.0798	0.1528	0.1739	0.2112	0.1822	0.1611	0.1127	0.0597	0.59939414	-0.3041062	-0.5053457
74.5	16.5	78.09219259188612	29.905068385906663	0.0508	0.0583	0.0664	0.0542	0.0798	0.1528	0.1739	0.1983	0.1822	0.1611	0.1127	0.0597	0.5706931	-0.27524117	-0.4983
75.5	16.5	78.0922848315809	29.905068385906663	0.0494	0.0554	0.0634	0.0538	0.0748	0.132	0.1521	0.1672	0.165	0.1597	0.1082	0.06	0.51312214	-0.21423385	-0.4501301
76.5	16.5	78.09237707127568	29.905068385906663	0.0494	0.0554	0.0634	0.0538	0.0748	0.132	0.1521	0.1672	0.165	0.1597	0.1082	0.06	0.51312214	-0.21423385	-0.4501301
77.5	16.5	78.09246931097044	29.905068385906663	0.0494	0.0579	0.067	0.0557	0.0748	0.132	0.1521	0.1556	0.165	0.1597	0.1082	0.06	0.4727875	-0.17968157	-0.39802334
70.5	17.5	78.09182363310701	29.904976146211887	0.0508	0.0574	0.0647	0.0549	0.0735	0.1316	0.1507	0.1557	0.1585	0.1611	0.1029	0.0575	0.47863245	-0.20417634	-0.41288567
71.5	17.5	78.09191587280179	29.904976146211887	0.0508	0.0586	0.0684	0.0561	0.0768	0.1463	0.1694	0.1762	0.1798	0.1611	0.1141	0.0602	0.5170039	-0.21391664	-0.44071952
72.5	17.5	78.09200811249657	29.904976146211887	0.0508	0.0559	0.0685	0.0562	0.0768	0.1463	0.1694	0.1885	0.1798	0.1611	0.1141	0.0602	0.54066205	-0.24586913	-0.4669261
