B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDWI,NDVI,output
0.1523,0.224,0.2486,0.273,0.2911,0.2891,0.2872,0.3,0.2936,0.2476,0.3742,0.3826,-0.09369305,0.047120437,0
0.1523,0.2066,0.2496,0.271,0.2911,0.2891,0.2872,0.2902,0.2936,0.2476,0.3742,0.3826,-0.075213045,0.0342124,0
0.1523,0.2158,0.2508,0.2754,0.2953,0.2896,0.2899,0.2877,0.2921,0.2476,0.375,0.3912,-0.068523645,0.02184334,0
0.1523,0.2168,0.2496,0.268,0.2953,0.2896,0.2899,0.2809,0.2921,0.2476,0.375,0.3912,-0.059000958,0.02350154,0
0.1523,0.2168,0.2496,0.268,0.2963,0.2914,0.299,0.2809,0.2989,0.2476,0.3854,0.3985,-0.059000958,0.02350154,0
0.1523,0.2264,0.2578,0.2822,0.2963,0.2914,0.299,0.294,0.2989,0.2476,0.3854,0.3985,-0.06560346,0.020478984,0
0.1506,0.1686,0.201,0.2168,0.2878,0.2756,0.2871,0.2298,0.2852,0.2329,0.3542,0.3592,-0.06685235,0.029108815,0
0.1506,0.2138,0.2402,0.257,0.2878,0.2756,0.2871,0.2736,0.2852,0.2329,0.3542,0.3592,-0.06500586,0.03128536,0
0.1506,0.2258,0.2608,0.2796,0.2878,0.2756,0.2871,0.3018,0.2852,0.2329,0.3542,0.3592,-0.07287595,0.038183726,0
0.1506,0.2174,0.2536,0.2724,0.2878,0.2756,0.2871,0.2888,0.2852,0.2329,0.3542,0.3592,-0.064896755,0.02922311,0
0.1496,0.2146,0.2482,0.27,0.295,0.2951,0.296,0.2824,0.2948,0.2823,0.3868,0.4049,-0.06445535,0.022447504,0
0.1496,0.2262,0.2558,0.2758,0.295,0.2951,0.296,0.2938,0.2948,0.2823,0.3868,0.4049,-0.06914117,0.031601135,0
0.1506,0.1762,0.2076,0.221,0.2314,0.2314,0.2343,0.2336,0.2371,0.2329,0.2666,0.2545,-0.058930207,0.027716683,0
0.1506,0.1956,0.2272,0.2426,0.2878,0.2756,0.2871,0.258,0.2852,0.2329,0.3542,0.3592,-0.06347895,0.030763071,0
0.1506,0.215,0.2452,0.2648,0.2878,0.2756,0.2871,0.2746,0.2852,0.2329,0.3542,0.3592,-0.05656023,0.018168312,0
0.1506,0.2194,0.2544,0.2758,0.2878,0.2756,0.2871,0.2924,0.2852,0.2329,0.3542,0.3592,-0.06949522,0.029215088,0
0.1506,0.2116,0.2464,0.268,0.2878,0.2756,0.2871,0.281,0.2852,0.2329,0.3542,0.3592,-0.065604836,0.023679383,0
0.1506,0.1962,0.2252,0.2398,0.263,0.262,0.2607,0.2533,0.2549,0.2329,0.3089,0.3123,-0.05872521,0.027377823,0
0.1506,0.2126,0.2408,0.2552,0.263,0.262,0.2607,0.2718,0.2549,0.2329,0.3089,0.3123,-0.06047604,0.031499077,0
0.1506,0.2062,0.2402,0.2574,0.263,0.262,0.2607,0.2718,0.2549,0.2329,0.3089,0.3123,-0.061718777,0.027210893,0
0.1506,0.1776,0.206,0.2276,0.263,0.262,0.2607,0.2391,0.2549,0.2329,0.3089,0.3123,-0.074365295,0.0246411,0
