B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDWI,NDVI,output1
0.0682,0.0729,0.0881,0.1008,0.1143,0.1262,0.1262,0.1378,0.1411,0.158,0.1877,0.179,-0.22000882,0.15507123,0
0.0682,0.0812,0.0928,0.0987,0.1067,0.1115,0.1176,0.1324,0.1313,0.158,0.1801,0.1644,-0.17584372,0.14582433,0
0.0682,0.0798,0.0916,0.0993,0.1067,0.1115,0.1176,0.1316,0.1313,0.158,0.1801,0.1644,-0.1792115,0.13988744,0
0.0682,0.0818,0.0928,0.1054,0.1067,0.1115,0.1176,0.1401,0.1313,0.158,0.1801,0.1644,-0.20309147,0.14134419,0
0.0682,0.0764,0.0918,0.105,0.1067,0.1115,0.1176,0.1478,0.1313,0.158,0.1801,0.1644,-0.23372288,0.1693038,0
0.0682,0.0724,0.0866,0.0916,0.0966,0.1137,0.126,0.1451,0.1457,0.158,0.1769,0.1492,-0.25248167,0.2260245,0
0.0682,0.0572,0.0661,0.0755,0.0966,0.1137,0.126,0.1638,0.1457,0.158,0.1769,0.1492,-0.42496738,0.36899292,0
0.0682,0.039,0.0541,0.0467,0.0799,0.1501,0.1638,0.2354,0.1838,0.158,0.161,0.1128,-0.6262522,0.66891176,0
0.0682,0.039,0.0541,0.0467,0.0799,0.1501,0.1638,0.2354,0.1838,0.158,0.161,0.1128,-0.6262522,0.66891176,0
0.0477,0.0378,0.0579,0.0473,0.1004,0.1801,0.2019,0.2446,0.2011,0.2195,0.1631,0.1075,-0.61719006,0.67591643,0
0.0477,0.0746,0.1064,0.0988,0.1004,0.1801,0.2019,0.2126,0.2011,0.2195,0.1631,0.1075,-0.33291537,0.36544633,0
0.0477,0.0839,0.1042,0.0989,0.1217,0.1993,0.2316,0.2377,0.2193,0.2195,0.1807,0.1294,-0.39046505,0.41235888,0
0.0477,0.0679,0.0948,0.0821,0.1217,0.1993,0.2316,0.2979,0.2193,0.2195,0.1807,0.1294,-0.51718867,0.56789476,0
0.0477,0.046,0.0821,0.0559,0.1156,0.2544,0.2856,0.3625,0.3043,0.2195,0.1807,0.1169,-0.6306793,0.7327916,0
0.0477,0.0397,0.0769,0.0424,0.1156,0.2544,0.2856,0.3987,0.3043,0.2195,0.1807,0.1169,-0.676619,0.8077533,0
0.073,0.0724,0.0828,0.0885,0.1297,0.1371,0.1383,0.113,0.1438,0.1473,0.1643,0.1469,-0.154239,0.12158808,0
0.073,0.0924,0.1082,0.1098,0.1297,0.1371,0.1383,0.1379,0.1438,0.1473,0.1643,0.1469,-0.120682634,0.11344365,0
0.0775,0.0638,0.0742,0.086,0.1297,0.1371,0.1383,0.1456,0.1438,0.1542,0.1643,0.1469,-0.3248408,0.25734025,0
0.0775,0.0532,0.068,0.0704,0.1297,0.1371,0.1383,0.1932,0.1438,0.1542,0.1643,0.1469,-0.4793262,0.4658574,0
0.0775,0.0464,0.0623,0.0752,0.1119,0.1187,0.1256,0.1501,0.1342,0.1542,0.1689,0.1397,-0.41337097,0.33244562,0
0.0775,0.059,0.0679,0.0744,0.1119,0.1187,0.1256,0.1129,0.1342,0.1542,0.1689,0.1397,-0.24889378,0.20555258,0
0.0775,0.0755,0.0907,0.112,0.1002,0.1106,0.1132,0.1343,0.1343,0.1542,0.1669,0.1521,-0.19377775,0.090539955,0
0.0775,0.0755,0.0907,0.112,0.1002,0.1106,0.1132,0.1343,0.1343,0.1542,0.1669,0.1521,-0.19377775,0.090539955,0
0.084,0.0791,0.0971,0.114,0.1278,0.1243,0.1367,0.1406,0.1348,0.1922,0.179,0.1518,-0.18300378,0.1044776,0
0.084,0.0944,0.117,0.1396,0.1278,0.1243,0.1367,0.1522,0.1348,0.1922,0.179,0.1518,-0.13075781,0.04318028,0
0.084,0.1092,0.1086,0.1274,0.1855,0.1989,0.2038,0.1596,0.2032,0.1922,0.2155,0.196,-0.19015662,0.11219515,0
0.084,0.0996,0.11,0.1324,0.1855,0.1989,0.2038,0.1909,0.2032,0.1922,0.2155,0.196,-0.26886007,0.18094647,0
0.084,0.0903,0.1226,0.139,0.1777,0.186,0.2005,0.2345,0.2079,0.1922,0.2425,0.2114,-0.31335762,0.25568944,0
0.084,0.0955,0.1196,0.136,0.1777,0.186,0.2005,0.1799,0.2079,0.1922,0.2425,0.2114,-0.20133558,0.13896802,0
0.0682,0.1054,0.1318,0.1534,0.1532,0.1708,0.1691,0.1902,0.1788,0.158,0.2205,0.2102,-0.18136647,0.10710127,0
