Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	tco3	tcwv	msl	NDWI	NDVI
214.5	4.5	78.19245637726416	29.97919413092107	0.1523	0.224	0.2486	0.273	0.2911	0.2891	0.2872	0.3	0.2936	0.2476	0.3742	0.3826	0.092	1.97	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.590176	0.0055363574	101355.445	-0.09369305	0.047120437
215.5	4.5	78.1925485442477	29.97919413092107	0.1523	0.2066	0.2496	0.271	0.2911	0.2891	0.2872	0.2902	0.2936	0.2476	0.3742	0.3826	0.092	1.97	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.58949	0.005536343	101355.46	-0.075213045	0.0342124
210.5	5.5	78.19208770933004	29.979101963937534	0.1523	0.2158	0.2508	0.2754	0.2953	0.2896	0.2899	0.2877	0.2921	0.2476	0.375	0.3912	0.092	2.104	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.592213	0.005536396	101355.39	-0.068523645	0.02184334
211.5	5.5	78.19217987631357	29.979101963937534	0.1523	0.2168	0.2496	0.268	0.2953	0.2896	0.2899	0.2809	0.2921	0.2476	0.375	0.3912	0.092	2.062	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.591528	0.005536381	101355.41	-0.059000958	0.02350154
212.5	5.5	78.19227204329711	29.979101963937534	0.1523	0.2168	0.2496	0.268	0.2963	0.2914	0.299	0.2809	0.2989	0.2476	0.3854	0.3985	0.092	2.062	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.591528	0.005536381	101355.41	-0.059000958	0.02350154
213.5	5.5	78.19236421028063	29.979101963937534	0.1523	0.2264	0.2578	0.2822	0.2963	0.2914	0.299	0.294	0.2989	0.2476	0.3854	0.3985	0.092	2.062	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.590841	0.0055363667	101355.42	-0.06560346	0.020478984
206.5	6.5	78.1917190413959	29.979009796954003	0.1506	0.1686	0.201	0.2168	0.2878	0.2756	0.2871	0.2298	0.2852	0.2329	0.3542	0.3592	0.092	1.265	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.594933	0.005536449	101355.32	-0.06685235	0.029108815
207.5	6.5	78.19181120837943	29.979009796954003	0.1506	0.2138	0.2402	0.257	0.2878	0.2756	0.2871	0.2736	0.2852	0.2329	0.3542	0.3592	0.092	2.062	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.594248	0.0055364342	101355.336	-0.06500586	0.03128536
208.5	6.5	78.19190337536297	29.979009796954003	0.1506	0.2258	0.2608	0.2796	0.2878	0.2756	0.2871	0.3018	0.2852	0.2329	0.3542	0.3592	0.092	2.062	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.593563	0.00553642	101355.34	-0.07287595	0.038183726
209.5	6.5	78.1919955423465	29.979009796954003	0.1506	0.2174	0.2536	0.2724	0.2878	0.2756	0.2871	0.2888	0.2852	0.2329	0.3542	0.3592	0.092	2.104	NaN	NaN	5	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.592876	0.0055364054	101355.36	-0.064896755	0.02922311
