Pixel-X	Pixel-Y	Longitude	Latitude	B1	B2	B3	B4	B5	B6	B7	B8	B8A	B9	B11	B12	quality_aot	quality_wvp	quality_cloud_confidence	quality_snow_confidence	quality_scene_classification	view_zenith_mean	view_azimuth_mean	sun_zenith	sun_azimuth	view_zenith_B1	view_azimuth_B1	view_zenith_B2	view_azimuth_B2	view_zenith_B3	view_azimuth_B3	view_zenith_B4	view_azimuth_B4	view_zenith_B5	view_azimuth_B5	view_zenith_B6	view_azimuth_B6	view_zenith_B7	view_azimuth_B7	view_zenith_B8	view_azimuth_B8	view_zenith_B8A	view_azimuth_B8A	view_zenith_B9	view_azimuth_B9	view_zenith_B10	view_azimuth_B10	view_zenith_B11	view_azimuth_B11	view_zenith_B12	view_azimuth_B12	tco3	tcwv	msl	NDWI	NDVI
190.5	5.5	78.19024436965937	29.979101963937534	0.0439	0.0497	0.0605	0.0387	0.0304	0.0249	0.0255	0.0318	0.02	0.1868	0.0377	0.0321	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.604574	0.0055366624	101355.14	0.31094256	-0.0978723
191.5	5.5	78.1903365366429	29.979101963937534	0.0439	0.0514	0.0613	0.0363	0.0304	0.0249	0.0255	0.0262	0.02	0.1868	0.0377	0.0321	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.60389	0.0055366475	101355.16	0.40114284	-0.1616
192.5	5.5	78.19042870362644	29.979101963937534	0.0444	0.0517	0.0628	0.0375	0.0352	0.024	0.0249	0.0235	0.0243	0.0734	0.0211	0.0163	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.603203	0.005536633	101355.17	0.4553882	-0.22950824
193.5	5.5	78.19052087060996	29.979101963937534	0.0444	0.0485	0.062	0.0398	0.0352	0.024	0.0249	0.0225	0.0243	0.0734	0.0211	0.0163	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.602518	0.0055366186	101355.18	0.4674556	-0.2776886
194.5	5.5	78.1906130375935	29.979101963937534	0.0444	0.0485	0.062	0.0398	0.0389	0.0252	0.0275	0.0225	0.0246	0.0734	0.0183	0.0157	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.602518	0.0055366186	101355.18	0.4674556	-0.2776886
195.5	5.5	78.19070520457703	29.979101963937534	0.0444	0.0483	0.0592	0.0412	0.0389	0.0252	0.0275	0.0258	0.0246	0.0734	0.0183	0.0157	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.601831	0.005536604	101355.195	0.39294118	-0.22985074
196.5	5.5	78.19079737156056	29.979101963937534	0.0444	0.0429	0.0579	0.0425	0.0455	0.0221	0.0282	0.0221	0.0234	0.0734	0.0225	0.0165	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.601147	0.00553659	101355.21	0.44750002	-0.3157895
197.5	5.5	78.1908895385441	29.979101963937534	0.0444	0.0407	0.057	0.043	0.0455	0.0221	0.0282	0.025	0.0234	0.0734	0.0225	0.0165	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.60046	0.0055365753	101355.23	0.3902439	-0.2647059
198.5	5.5	78.19098170552763	29.979101963937534	0.0421	0.043	0.0564	0.0449	0.0612	0.0439	0.0459	0.024	0.0376	0.0372	0.0327	0.0263	0.092	1.265	NaN	NaN	6	6.884944	294.49924	50.1821	164.145	6.98657	298.685	6.77315	288.356	6.80177	290.736	6.83857	292.92	6.86253	294.089	6.88965	295.264	6.91948	296.424	6.78596	289.545	6.95245	297.585	7.02594	299.851	6.82537	292.206	6.88412	295.035	6.95872	297.794	21.599775	0.0055365604	101355.24	0.40298507	-0.30333817
190.5	6.5	78.19024436965937	29.979009796954003	0.0471	0.0467	0.0601	0.0372	0.0306	0.023	0.0262	0.0234	0.0198	0.0857	0.0188	0.0173	0.092	1.265	NaN	NaN	6	6.503149	295.00412	50.1932	164.083	6.60979	299.423	6.38606	288.506	6.41589	291.028	6.45442	293.338	6.47955	294.575	6.508	295.816	6.53934	297.041	6.3994	289.767	6.57393	298.264	6.65118	300.65	6.44065	292.586	6.50221	295.575	6.58052	298.485	21.604551	0.0055366573	101355.125	0.43952098	-0.2277228
